Month,Points,Rank,PD
2010-01-01,1379,698,
2010-02-01,1379,703,0.0
2010-03-01,1369,734,-10.0
2010-04-01,1359,772,-10.0
2010-05-01,1384,688,25.0
2010-06-01,1384,689,0.0
2010-07-01,1396,646,12.0
2010-08-01,1403,601,7.0
2010-09-01,1389,678,-14.0
2010-10-01,1402,600,13.0
2010-11-01,1392,675,-10.0
2010-12-01,1395,662,3.0
2011-01-01,1395,661,0.0
2011-02-01,1395,657,0.0
2011-03-01,1404,599,9.0
2011-04-01,1404,603,0.0
2011-05-01,1394,673,-10.0
2011-06-01,1379,727,-15.0
2011-07-01,1389,695,10.0
2011-08-01,1380,724,-9.0
2011-09-01,1371,767,-9.0
2011-10-01,1387,696,16.0
2011-11-01,1374,764,-13.0
2011-12-01,1370,776,-4.0
2012-01-01,1370,778,0.0
2012-02-01,1370,777,0.0
2012-03-01,1358,819,-12.0
2012-04-01,1356,837,-2.0
2012-05-01,1340,1051,-16.0
2012-06-01,1341,1045,1.0
2012-07-01,1356,833,15.0
2012-08-01,1354,852,-2.0
2012-09-01,1365,811,11.0
2012-10-01,1354,857,-11.0
2012-11-01,1363,809,9.0
2012-12-01,1366,796,3.0
2013-01-01,1366,799,0.0
2013-02-01,1366,808,0.0
2013-03-01,1352,870,-14.0
2013-04-01,1356,846,4.0
2013-05-01,1360,835,4.0
2013-06-01,1360,834,0.0
2013-07-01,1362,822,2.0
2013-08-01,1372,775,10.0
2013-09-01,1375,765,3.0
2013-10-01,1377,753,2.0
2013-11-01,1399,645,22.0
2013-12-01,1405,601,6.0
2014-01-01,1405,602,0.0
2014-02-01,1405,605,0.0
2014-03-01,1408,593,3.0
2014-04-01,1417,555,9.0
2014-05-01,1416,554,-1.0
2014-06-01,1416,553,0.0
2014-07-01,1404,613,-12.0
2014-08-01,1393,671,-11.0
2014-09-01,1392,671,-1.0
2014-10-01,1404,611,12.0
2014-11-01,1406,595,2.0
2014-12-01,1398,641,-8.0
2015-01-01,1398,641,0.0
2015-02-01,1398,646,0.0
2015-03-01,1397,649,-1.0
2015-04-01,1385,700,-12.0
2015-05-01,1359,842,-26.0
2015-06-01,1362,828,3.0
2015-07-01,1366,798,4.0
2015-08-01,1362,822,-4.0
2015-09-01,1364,812,2.0
2015-10-01,1364,811,0.0
2015-11-01,1356,875,-8.0
2015-12-01,1356,875,0.0
2016-01-01,1356,873,0.0
2016-02-01,1361,833,5.0
2016-03-01,1349,997,-12.0
2016-04-01,1342,1047,-7.0
2016-05-01,1340,1061,-2.0
2016-06-01,1346,1015,6.0
2016-07-01,1334,1094,-12.0
2016-08-01,1336,1088,2.0
2016-09-01,1321,1203,-15.0
2016-10-01,1322,1188,1.0
2016-11-01,1318,1212,-4.0
2016-12-01,1318,1214,0.0
2017-01-01,1318,1213,0.0
2017-02-01,1322,1187,4.0
2017-03-01,1313,1272,-9.0
2017-04-01,1302,1356,-11.0
2017-05-01,1294,1553,-8.0
2017-06-01,1284,1662,-10.0
2017-07-01,1286,1636,2.0
2017-08-01,1272,1769,-14.0
2017-09-01,1264,1835,-8.0
2017-10-01,1281,1673,17.0
2017-11-01,1292,1581,11.0
2017-12-01,1298,1510,6.0
2018-01-01,1298,1508,0.0
2018-02-01,1298,1507,0.0
2018-03-01,1298,1502,0.0
2018-04-01,1298,1499,0.0
2018-05-01,1298,1502,0.0
2018-06-01,1298,1497,0.0
2018-07-01,1298,1492,0.0
2018-08-01,1298,1485,0.0
2018-09-01,1298,1487,0.0
2018-10-01,1298,1483,0.0
2018-11-01,1298,1487,0.0
2018-12-01,1298,1492,0.0
2019-01-01,1298,1489,0.0
2019-02-01,1298,1487,0.0
2019-03-01,1298,1491,0.0
2019-04-01,1298,1490,0.0
2019-05-01,1298,1489,0.0
2019-06-01,1298,1487,0.0
2019-07-01,1298,1480,0.0
2019-08-01,1298,1470,0.0
2019-09-01,1298,1471,0.0
2019-10-01,1298,1468,0.0
2019-11-01,1298,1469,0.0
2019-12-01,1298,1463,0.0
2020-01-01,1298,1462,0.0
2020-02-01,1298,1458,0.0
2020-03-01,1298,1458,0.0
2020-04-01,1298,1459,0.0
2020-05-01,1298,1461,0.0
2020-06-01,1298,1464,0.0
2020-07-01,1298,1462,0.0
2020-08-01,1298,1458,0.0
2020-09-01,1298,1459,0.0
2020-10-01,1298,1452,0.0
2020-11-01,1298,1443,0.0
2020-12-01,1298,1447,0.0
2021-01-01,1298,1451,0.0
2021-02-01,1298,1456,0.0
2021-03-01,1298,1448,0.0
2021-04-01,1298,1451,0.0
2021-05-01,1298,1450,0.0
