Month,Points,Rank,PD
2010-01-01,1300,1276,
2010-02-01,1300,1272,0.0
2010-03-01,1300,1273,0.0
2010-04-01,1300,1274,0.0
2010-05-01,1300,1273,0.0
2010-06-01,1300,1274,0.0
2010-07-01,1300,1283,0.0
2010-08-01,1300,1282,0.0
2010-09-01,1300,1281,0.0
2010-10-01,1300,1281,0.0
2010-11-01,1300,1286,0.0
2010-12-01,1300,1287,0.0
2011-01-01,1300,1289,0.0
2011-02-01,1300,1281,0.0
2011-03-01,1291,1705,-9.0
2011-04-01,1286,1729,-5.0
2011-05-01,1270,1803,-16.0
2011-06-01,1251,1934,-19.0
2011-07-01,1246,2495,-5.0
2011-08-01,1247,2474,1.0
2011-09-01,1246,2478,-1.0
2011-10-01,1246,2469,0.0
2011-11-01,1255,1890,9.0
2011-12-01,1252,1914,-3.0
2012-01-01,1252,1919,0.0
2012-02-01,1252,1910,0.0
2012-03-01,1252,1905,0.0
2012-04-01,1252,1908,0.0
2012-05-01,1252,1918,0.0
2012-06-01,1252,1920,0.0
2012-07-01,1252,1920,0.0
2012-08-01,1252,1920,0.0
2012-09-01,1252,1918,0.0
2012-10-01,1252,1919,0.0
2012-11-01,1252,1918,0.0
2012-12-01,1252,1923,0.0
2013-01-01,1252,1921,0.0
2013-02-01,1252,1923,0.0
2013-03-01,1252,1935,0.0
2013-04-01,1252,1938,0.0
2013-05-01,1252,1937,0.0
2013-06-01,1252,1935,0.0
2013-07-01,1252,1935,0.0
2013-08-01,1252,1937,0.0
2013-09-01,1252,1950,0.0
2013-10-01,1252,1945,0.0
2013-11-01,1252,1948,0.0
2013-12-01,1252,1945,0.0
2014-01-01,1252,1947,0.0
2014-02-01,1252,1954,0.0
2014-03-01,1252,1952,0.0
2014-04-01,1252,1948,0.0
2014-05-01,1252,1941,0.0
2014-06-01,1252,1945,0.0
2014-07-01,1252,1946,0.0
2014-08-01,1252,1959,0.0
2014-09-01,1252,1965,0.0
2014-10-01,1252,1971,0.0
2014-11-01,1252,1966,0.0
2014-12-01,1252,1972,0.0
2015-01-01,1252,1972,0.0
2015-02-01,1252,1969,0.0
2015-03-01,1252,1972,0.0
2015-04-01,1252,1975,0.0
2015-05-01,1252,1969,0.0
2015-06-01,1252,1968,0.0
2015-07-01,1252,1967,0.0
2015-08-01,1252,1971,0.0
2015-09-01,1252,1972,0.0
2015-10-01,1252,1971,0.0
2015-11-01,1252,1973,0.0
2015-12-01,1252,1975,0.0
2016-01-01,1252,1971,0.0
2016-02-01,1250,2008,-2.0
2016-03-01,1252,1979,2.0
2016-04-01,1255,1939,3.0
2016-05-01,1245,2262,-10.0
2016-06-01,1245,2254,0.0
2016-07-01,1245,2262,0.0
2016-08-01,1230,2418,-15.0
2016-09-01,1232,2402,2.0
2016-10-01,1221,2503,-11.0
2016-11-01,1215,2546,-6.0
2016-12-01,1215,2544,0.0
2017-01-01,1215,2545,0.0
2017-02-01,1215,2544,0.0
2017-03-01,1215,2545,0.0
2017-04-01,1215,2545,0.0
2017-05-01,1215,2543,0.0
2017-06-01,1215,2539,0.0
2017-07-01,1215,2541,0.0
2017-08-01,1215,2543,0.0
2017-09-01,1215,2540,0.0
2017-10-01,1215,2542,0.0
2017-11-01,1215,2537,0.0
2017-12-01,1215,2536,0.0
2018-01-01,1215,2535,0.0
2018-02-01,1215,2529,0.0
2018-03-01,1215,2527,0.0
2018-04-01,1215,2522,0.0
2018-05-01,1215,2519,0.0
2018-06-01,1215,2517,0.0
2018-07-01,1215,2514,0.0
2018-08-01,1215,2515,0.0
2018-09-01,1215,2518,0.0
2018-10-01,1215,2512,0.0
2018-11-01,1215,2510,0.0
2018-12-01,1215,2510,0.0
2019-01-01,1215,2510,0.0
2019-02-01,1215,2508,0.0
2019-03-01,1215,2508,0.0
2019-04-01,1215,2504,0.0
2019-05-01,1215,2505,0.0
2019-06-01,1215,2505,0.0
2019-07-01,1215,2504,0.0
2019-08-01,1215,2503,0.0
2019-09-01,1215,2502,0.0
2019-10-01,1215,2497,0.0
2019-11-01,1215,2497,0.0
2019-12-01,1215,2496,0.0
2020-01-01,1215,2495,0.0
2020-02-01,1215,2491,0.0
2020-03-01,1215,2491,0.0
2020-04-01,1215,2491,0.0
2020-05-01,1215,2490,0.0
2020-06-01,1215,2487,0.0
2020-07-01,1215,2489,0.0
2020-08-01,1215,2486,0.0
2020-09-01,1215,2488,0.0
2020-10-01,1215,2487,0.0
2020-11-01,1215,2484,0.0
2020-12-01,1215,2483,0.0
2021-01-01,1215,2480,0.0
2021-02-01,1211,2497,-4.0
2021-03-01,1227,2357,16.0
2021-04-01,1245,2128,18.0
2021-05-01,1270,1752,25.0
