Month,Points,Rank,PD
2010-01-01,1500,221,
2010-02-01,1500,227,0.0
2010-03-01,1479,331,-21.0
2010-04-01,1478,330,-1.0
2010-05-01,1484,317,6.0
2010-06-01,1484,319,0.0
2010-07-01,1499,284,15.0
2010-08-01,1513,203,14.0
2010-09-01,1505,226,-8.0
2010-10-01,1493,301,-12.0
2010-11-01,1508,222,15.0
2010-12-01,1511,211,3.0
2011-01-01,1511,208,0.0
2011-02-01,1511,212,0.0
2011-03-01,1502,232,-9.0
2011-04-01,1500,239,-2.0
2011-05-01,1520,197,20.0
2011-06-01,1515,200,-5.0
2011-07-01,1502,237,-13.0
2011-08-01,1501,243,-1.0
2011-09-01,1506,230,5.0
2011-10-01,1493,304,-13.0
2011-11-01,1475,341,-18.0
2011-12-01,1478,334,3.0
2012-01-01,1478,332,0.0
2012-02-01,1478,330,0.0
2012-03-01,1479,333,1.0
2012-04-01,1477,331,-2.0
2012-05-01,1465,372,-12.0
2012-06-01,1444,464,-21.0
2012-07-01,1434,498,-10.0
2012-08-01,1439,480,5.0
2012-09-01,1444,463,5.0
2012-10-01,1445,456,1.0
2012-11-01,1429,514,-16.0
2012-12-01,1428,518,-1.0
2013-01-01,1428,514,0.0
2013-02-01,1428,521,0.0
2013-03-01,1437,492,9.0
2013-04-01,1424,528,-13.0
2013-05-01,1444,466,20.0
2013-06-01,1444,469,0.0
2013-07-01,1444,463,0.0
2013-08-01,1452,419,8.0
2013-09-01,1456,399,4.0
2013-10-01,1454,404,-2.0
2013-11-01,1458,403,4.0
2013-12-01,1469,360,11.0
2014-01-01,1469,359,0.0
2014-02-01,1472,346,3.0
2014-03-01,1480,329,8.0
2014-04-01,1465,371,-15.0
2014-05-01,1462,385,-3.0
2014-06-01,1462,386,0.0
2014-07-01,1446,460,-16.0
2014-08-01,1432,510,-14.0
2014-09-01,1431,514,-1.0
2014-10-01,1423,539,-8.0
2014-11-01,1404,606,-19.0
2014-12-01,1397,645,-7.0
2015-01-01,1397,646,0.0
2015-02-01,1397,649,0.0
2015-03-01,1397,651,0.0
2015-04-01,1397,647,0.0
2015-05-01,1397,645,0.0
2015-06-01,1397,646,0.0
2015-07-01,1397,651,0.0
2015-08-01,1397,650,0.0
2015-09-01,1397,661,0.0
2015-10-01,1397,651,0.0
2015-11-01,1397,648,0.0
2015-12-01,1397,657,0.0
2016-01-01,1397,652,0.0
2016-02-01,1397,653,0.0
2016-03-01,1397,652,0.0
2016-04-01,1397,646,0.0
2016-05-01,1397,658,0.0
2016-06-01,1397,657,0.0
2016-07-01,1397,653,0.0
2016-08-01,1397,649,0.0
2016-09-01,1397,651,0.0
2016-10-01,1397,652,0.0
2016-11-01,1397,658,0.0
2016-12-01,1397,662,0.0
2017-01-01,1397,667,0.0
2017-02-01,1395,665,-2.0
2017-03-01,1395,663,0.0
2017-04-01,1418,541,23.0
2017-05-01,1439,456,21.0
2017-06-01,1447,431,8.0
2017-07-01,1459,378,12.0
2017-08-01,1451,414,-8.0
2017-09-01,1442,445,-9.0
2017-10-01,1453,402,11.0
2017-11-01,1469,348,16.0
2017-12-01,1463,365,-6.0
2018-01-01,1463,366,0.0
2018-02-01,1473,334,10.0
2018-03-01,1456,385,-17.0
2018-04-01,1470,345,14.0
2018-05-01,1483,319,13.0
2018-06-01,1483,320,0.0
2018-07-01,1464,372,-19.0
2018-08-01,1466,362,2.0
2018-09-01,1463,372,-3.0
2018-10-01,1460,371,-3.0
2018-11-01,1445,437,-15.0
2018-12-01,1451,404,6.0
2019-01-01,1451,404,0.0
2019-02-01,1454,392,3.0
2019-03-01,1443,445,-11.0
2019-04-01,1430,500,-13.0
2019-05-01,1443,441,13.0
2019-06-01,1455,390,12.0
2019-07-01,1459,382,4.0
2019-08-01,1459,388,0.0
2019-09-01,1475,334,16.0
2019-10-01,1475,347,0.0
2019-11-01,1471,359,-4.0
2019-12-01,1477,343,6.0
2020-01-01,1477,340,0.0
2020-02-01,1478,343,1.0
2020-03-01,1478,345,0.0
2020-04-01,1478,346,0.0
2020-05-01,1478,346,0.0
2020-06-01,1478,347,0.0
2020-07-01,1479,349,1.0
2020-08-01,1490,324,11.0
2020-09-01,1497,303,7.0
2020-10-01,1487,331,-10.0
2020-11-01,1477,342,-10.0
2020-12-01,1476,350,-1.0
2021-01-01,1476,343,0.0
2021-02-01,1481,334,5.0
2021-03-01,1484,332,3.0
2021-04-01,1473,356,-11.0
2021-05-01,1458,399,-15.0
