Month,Points,Rank,PD
2010-01-01,1300,1276,
2010-02-01,1300,1272,0.0
2010-03-01,1300,1273,0.0
2010-04-01,1300,1274,0.0
2010-05-01,1300,1273,0.0
2010-06-01,1300,1274,0.0
2010-07-01,1300,1283,0.0
2010-08-01,1300,1282,0.0
2010-09-01,1300,1281,0.0
2010-10-01,1300,1281,0.0
2010-11-01,1300,1286,0.0
2010-12-01,1300,1287,0.0
2011-01-01,1300,1289,0.0
2011-02-01,1300,1281,0.0
2011-03-01,1300,1278,0.0
2011-04-01,1300,1281,0.0
2011-05-01,1300,1272,0.0
2011-06-01,1300,1276,0.0
2011-07-01,1300,1279,0.0
2011-08-01,1300,1286,0.0
2011-09-01,1300,1293,0.0
2011-10-01,1300,1289,0.0
2011-11-01,1300,1286,0.0
2011-12-01,1300,1276,0.0
2012-01-01,1300,1281,0.0
2012-02-01,1300,1281,0.0
2012-03-01,1288,1677,-12.0
2012-04-01,1273,1761,-15.0
2012-05-01,1263,1821,-10.0
2012-06-01,1250,2398,-13.0
2012-07-01,1249,2411,-1.0
2012-08-01,1242,2479,-7.0
2012-09-01,1221,2598,-21.0
2012-10-01,1227,2570,6.0
2012-11-01,1216,2612,-11.0
2012-12-01,1212,2624,-4.0
2013-01-01,1212,2619,0.0
2013-02-01,1212,2620,0.0
2013-03-01,1212,2617,0.0
2013-04-01,1212,2617,0.0
2013-05-01,1212,2616,0.0
2013-06-01,1212,2616,0.0
2013-07-01,1212,2617,0.0
2013-08-01,1212,2613,0.0
2013-09-01,1212,2614,0.0
2013-10-01,1212,2612,0.0
2013-11-01,1212,2609,0.0
2013-12-01,1212,2609,0.0
2014-01-01,1212,2606,0.0
2014-02-01,1212,2603,0.0
2014-03-01,1212,2606,0.0
2014-04-01,1212,2602,0.0
2014-05-01,1212,2601,0.0
2014-06-01,1212,2601,0.0
2014-07-01,1212,2601,0.0
2014-08-01,1212,2600,0.0
2014-09-01,1212,2595,0.0
2014-10-01,1212,2592,0.0
2014-11-01,1212,2591,0.0
2014-12-01,1212,2589,0.0
2015-01-01,1212,2591,0.0
2015-02-01,1212,2592,0.0
2015-03-01,1212,2592,0.0
2015-04-01,1212,2595,0.0
2015-05-01,1212,2587,0.0
2015-06-01,1212,2586,0.0
2015-07-01,1212,2584,0.0
2015-08-01,1212,2583,0.0
2015-09-01,1212,2581,0.0
2015-10-01,1212,2579,0.0
2015-11-01,1212,2579,0.0
2015-12-01,1212,2578,0.0
2016-01-01,1212,2576,0.0
2016-02-01,1212,2575,0.0
2016-03-01,1212,2570,0.0
2016-04-01,1212,2565,0.0
2016-05-01,1212,2566,0.0
2016-06-01,1212,2567,0.0
2016-07-01,1212,2567,0.0
2016-08-01,1212,2563,0.0
2016-09-01,1212,2561,0.0
2016-10-01,1212,2561,0.0
2016-11-01,1212,2559,0.0
2016-12-01,1212,2555,0.0
2017-01-01,1212,2556,0.0
2017-02-01,1210,2561,-2.0
2017-03-01,1217,2525,7.0
2017-04-01,1225,2443,8.0
2017-05-01,1222,2481,-3.0
2017-06-01,1216,2529,-6.0
2017-07-01,1231,2397,15.0
2017-08-01,1229,2406,-2.0
2017-09-01,1235,2344,6.0
2017-10-01,1254,1957,19.0
2017-11-01,1273,1747,19.0
2017-12-01,1278,1704,5.0
2018-01-01,1278,1701,0.0
2018-02-01,1277,1719,-1.0
2018-03-01,1275,1730,-2.0
2018-04-01,1311,1294,36.0
2018-05-01,1324,1188,13.0
2018-06-01,1324,1187,0.0
2018-07-01,1320,1213,-4.0
2018-08-01,1329,1123,9.0
2018-09-01,1326,1161,-3.0
2018-10-01,1332,1116,6.0
2018-11-01,1344,1027,12.0
2018-12-01,1344,1024,0.0
2019-01-01,1344,1028,0.0
2019-02-01,1337,1076,-7.0
2019-03-01,1346,1013,9.0
2019-04-01,1361,857,15.0
2019-05-01,1361,866,0.0
2019-06-01,1371,793,10.0
2019-07-01,1369,816,-2.0
2019-08-01,1389,701,20.0
2019-09-01,1382,744,-7.0
2019-10-01,1370,808,-12.0
2019-11-01,1375,777,5.0
2019-12-01,1371,795,-4.0
2020-01-01,1371,795,0.0
2020-02-01,1367,842,-4.0
2020-03-01,1367,839,0.0
2020-04-01,1367,839,0.0
2020-05-01,1367,840,0.0
2020-06-01,1367,837,0.0
2020-07-01,1394,663,27.0
2020-08-01,1367,830,-27.0
2020-09-01,1351,943,-16.0
2020-10-01,1356,894,5.0
2020-11-01,1374,781,18.0
2020-12-01,1378,758,4.0
2021-01-01,1378,755,0.0
2021-02-01,1383,732,5.0
2021-03-01,1373,781,-10.0
2021-04-01,1371,790,-2.0
2021-05-01,1384,722,13.0
