Month,Points,Rank,PD
2010-01-01,1351,808,
2010-02-01,1351,804,0.0
2010-03-01,1361,763,10.0
2010-04-01,1354,791,-7.0
2010-05-01,1359,774,5.0
2010-06-01,1359,775,0.0
2010-07-01,1360,772,1.0
2010-08-01,1348,1025,-12.0
2010-09-01,1331,1121,-17.0
2010-10-01,1338,1067,7.0
2010-11-01,1348,1013,10.0
2010-12-01,1340,1064,-8.0
2011-01-01,1340,1061,0.0
2011-02-01,1340,1064,0.0
2011-03-01,1340,1070,0.0
2011-04-01,1340,1068,0.0
2011-05-01,1340,1069,0.0
2011-06-01,1340,1070,0.0
2011-07-01,1340,1065,0.0
2011-08-01,1340,1062,0.0
2011-09-01,1340,1060,0.0
2011-10-01,1340,1058,0.0
2011-11-01,1340,1064,0.0
2011-12-01,1340,1065,0.0
2012-01-01,1340,1068,0.0
2012-02-01,1340,1061,0.0
2012-03-01,1373,759,33.0
2012-04-01,1377,751,4.0
2012-05-01,1393,682,16.0
2012-06-01,1385,711,-8.0
2012-07-01,1375,758,-10.0
2012-08-01,1379,740,4.0
2012-09-01,1385,719,6.0
2012-10-01,1386,713,1.0
2012-11-01,1379,742,-7.0
2012-12-01,1387,712,8.0
2013-01-01,1387,710,0.0
2013-02-01,1387,701,0.0
2013-03-01,1394,667,7.0
2013-04-01,1398,646,4.0
2013-05-01,1397,653,-1.0
2013-06-01,1397,660,0.0
2013-07-01,1409,595,12.0
2013-08-01,1406,606,-3.0
2013-09-01,1431,509,25.0
2013-10-01,1425,529,-6.0
2013-11-01,1414,571,-11.0
2013-12-01,1420,550,6.0
2014-01-01,1420,548,0.0
2014-02-01,1420,547,0.0
2014-03-01,1412,583,-8.0
2014-04-01,1419,545,7.0
2014-05-01,1415,561,-4.0
2014-06-01,1415,560,0.0
2014-07-01,1426,521,11.0
2014-08-01,1444,469,18.0
2014-09-01,1453,427,9.0
2014-10-01,1444,471,-9.0
2014-11-01,1435,495,-9.0
2014-12-01,1434,501,-1.0
2015-01-01,1434,501,0.0
2015-02-01,1434,495,0.0
2015-03-01,1443,461,9.0
2015-04-01,1452,425,9.0
2015-05-01,1446,465,-6.0
2015-06-01,1458,398,12.0
2015-07-01,1454,419,-4.0
2015-08-01,1464,385,10.0
2015-09-01,1466,373,2.0
2015-10-01,1458,404,-8.0
2015-11-01,1462,391,4.0
2015-12-01,1462,382,0.0
2016-01-01,1462,384,0.0
2016-02-01,1460,392,-2.0
2016-03-01,1462,389,2.0
2016-04-01,1437,480,-25.0
2016-05-01,1450,437,13.0
2016-06-01,1447,448,-3.0
2016-07-01,1438,474,-9.0
2016-08-01,1436,480,-2.0
2016-09-01,1434,496,-2.0
2016-10-01,1449,445,15.0
2016-11-01,1454,411,5.0
2016-12-01,1454,407,0.0
2017-01-01,1454,406,0.0
2017-02-01,1463,378,9.0
2017-03-01,1469,359,6.0
2017-04-01,1467,355,-2.0
2017-05-01,1465,359,-2.0
2017-06-01,1457,385,-8.0
2017-07-01,1449,427,-8.0
2017-08-01,1454,407,5.0
2017-09-01,1438,454,-16.0
2017-10-01,1427,506,-11.0
2017-11-01,1419,530,-8.0
2017-12-01,1418,537,-1.0
2018-01-01,1418,540,0.0
2018-02-01,1419,537,1.0
2018-03-01,1408,586,-11.0
2018-04-01,1437,457,29.0
2018-05-01,1447,432,10.0
2018-06-01,1447,431,0.0
2018-07-01,1452,407,5.0
2018-08-01,1445,432,-7.0
2018-09-01,1431,496,-14.0
2018-10-01,1430,501,-1.0
2018-11-01,1428,509,-2.0
2018-12-01,1426,521,-2.0
2019-01-01,1426,515,0.0
2019-02-01,1429,504,3.0
2019-03-01,1443,442,14.0
2019-04-01,1464,358,21.0
2019-05-01,1466,357,2.0
2019-06-01,1459,377,-7.0
2019-07-01,1463,371,4.0
2019-08-01,1470,350,7.0
2019-09-01,1465,369,-5.0
2019-10-01,1468,365,3.0
2019-11-01,1474,352,6.0
2019-12-01,1469,364,-5.0
2020-01-01,1469,366,0.0
2020-02-01,1483,336,14.0
2020-03-01,1483,332,0.0
2020-04-01,1483,333,0.0
2020-05-01,1483,333,0.0
2020-06-01,1483,332,0.0
2020-07-01,1496,305,13.0
2020-08-01,1495,309,-1.0
2020-09-01,1492,315,-3.0
2020-10-01,1461,397,-31.0
2020-11-01,1448,447,-13.0
2020-12-01,1457,405,9.0
2021-01-01,1457,404,0.0
2021-02-01,1458,406,1.0
2021-03-01,1458,408,0.0
2021-04-01,1442,458,-16.0
2021-05-01,1432,498,-10.0
