Month,Points,Rank,PD
2010-01-01,1520,184,
2010-02-01,1520,181,0.0
2010-03-01,1513,195,-7.0
2010-04-01,1513,195,0.0
2010-05-01,1499,282,-14.0
2010-06-01,1499,283,0.0
2010-07-01,1498,286,-1.0
2010-08-01,1509,212,11.0
2010-09-01,1523,187,14.0
2010-10-01,1508,219,-15.0
2010-11-01,1507,225,-1.0
2010-12-01,1516,201,9.0
2011-01-01,1516,200,0.0
2011-02-01,1516,198,0.0
2011-03-01,1516,198,0.0
2011-04-01,1507,223,-9.0
2011-05-01,1499,294,-8.0
2011-06-01,1505,229,6.0
2011-07-01,1516,201,11.0
2011-08-01,1532,176,16.0
2011-09-01,1521,197,-11.0
2011-10-01,1523,187,2.0
2011-11-01,1527,174,4.0
2011-12-01,1534,169,7.0
2012-01-01,1534,171,0.0
2012-02-01,1534,176,0.0
2012-03-01,1482,321,-52.0
2012-04-01,1480,324,-2.0
2012-05-01,1440,479,-40.0
2012-06-01,1429,514,-11.0
2012-07-01,1419,560,-10.0
2012-08-01,1439,479,20.0
2012-09-01,1439,477,0.0
2012-10-01,1440,476,1.0
2012-11-01,1448,450,8.0
2012-12-01,1444,461,-4.0
2013-01-01,1444,457,0.0
2013-02-01,1444,466,0.0
2013-03-01,1444,467,0.0
2013-04-01,1444,469,0.0
2013-05-01,1444,467,0.0
2013-06-01,1444,470,0.0
2013-07-01,1444,464,0.0
2013-08-01,1444,471,0.0
2013-09-01,1444,466,0.0
2013-10-01,1444,459,0.0
2013-11-01,1444,475,0.0
2013-12-01,1444,480,0.0
2014-01-01,1444,475,0.0
2014-02-01,1444,480,0.0
2014-03-01,1439,492,-5.0
2014-04-01,1426,523,-13.0
2014-05-01,1423,528,-3.0
2014-06-01,1423,529,0.0
2014-07-01,1443,468,20.0
2014-08-01,1455,417,12.0
2014-09-01,1479,332,24.0
2014-10-01,1489,305,10.0
2014-11-01,1499,276,10.0
2014-12-01,1497,275,-2.0
2015-01-01,1497,277,0.0
2015-02-01,1479,328,-18.0
2015-03-01,1469,359,-10.0
2015-04-01,1512,216,43.0
2015-05-01,1541,172,29.0
2015-06-01,1538,175,-3.0
2015-07-01,1532,182,-6.0
2015-08-01,1534,184,2.0
2015-09-01,1542,173,8.0
2015-10-01,1544,174,2.0
2015-11-01,1535,181,-9.0
2015-12-01,1535,184,0.0
2016-01-01,1535,186,0.0
2016-02-01,1530,193,-5.0
2016-03-01,1518,218,-12.0
2016-04-01,1482,335,-36.0
2016-05-01,1483,329,1.0
2016-06-01,1479,340,-4.0
2016-07-01,1486,323,7.0
2016-08-01,1490,304,4.0
2016-09-01,1497,285,7.0
2016-10-01,1495,290,-2.0
2016-11-01,1502,260,7.0
2016-12-01,1502,262,0.0
2017-01-01,1502,260,0.0
2017-02-01,1510,249,8.0
2017-03-01,1494,288,-16.0
2017-04-01,1486,310,-8.0
2017-05-01,1483,319,-3.0
2017-06-01,1479,325,-4.0
2017-07-01,1475,331,-4.0
2017-08-01,1462,377,-13.0
2017-09-01,1447,426,-15.0
2017-10-01,1439,458,-8.0
2017-11-01,1428,496,-11.0
2017-12-01,1430,494,2.0
2018-01-01,1430,494,0.0
2018-02-01,1422,523,-8.0
2018-03-01,1417,544,-5.0
2018-04-01,1408,593,-9.0
2018-05-01,1406,608,-2.0
2018-06-01,1406,606,0.0
2018-07-01,1395,671,-11.0
2018-08-01,1383,731,-12.0
2018-09-01,1401,628,18.0
2018-10-01,1412,576,11.0
2018-11-01,1428,508,16.0
2018-12-01,1422,533,-6.0
2019-01-01,1422,529,0.0
2019-02-01,1416,556,-6.0
2019-03-01,1419,537,3.0
2019-04-01,1401,628,-18.0
2019-05-01,1399,632,-2.0
2019-06-01,1411,574,12.0
2019-07-01,1410,580,-1.0
2019-08-01,1407,592,-3.0
2019-09-01,1406,603,-1.0
2019-10-01,1413,576,7.0
2019-11-01,1424,525,11.0
2019-12-01,1431,498,7.0
2020-01-01,1431,499,0.0
2020-02-01,1439,478,8.0
2020-03-01,1439,478,0.0
2020-04-01,1439,478,0.0
2020-05-01,1439,477,0.0
2020-06-01,1439,476,0.0
2020-07-01,1453,420,14.0
2020-08-01,1433,494,-20.0
2020-09-01,1434,492,1.0
2020-10-01,1463,388,29.0
2020-11-01,1453,424,-10.0
2020-12-01,1451,429,-2.0
2021-01-01,1451,432,0.0
2021-02-01,1446,453,-5.0
2021-03-01,1446,446,0.0
2021-04-01,1438,480,-8.0
2021-05-01,1419,564,-19.0
