Month,Points,Rank,PD
2010-01-01,1258,1895,
2010-02-01,1258,1892,0.0
2010-03-01,1258,1891,0.0
2010-04-01,1258,1895,0.0
2010-05-01,1258,1895,0.0
2010-06-01,1258,1896,0.0
2010-07-01,1258,1893,0.0
2010-08-01,1258,1888,0.0
2010-09-01,1258,1890,0.0
2010-10-01,1258,1883,0.0
2010-11-01,1258,1875,0.0
2010-12-01,1258,1876,0.0
2011-01-01,1258,1872,0.0
2011-02-01,1258,1876,0.0
2011-03-01,1258,1881,0.0
2011-04-01,1258,1877,0.0
2011-05-01,1258,1882,0.0
2011-06-01,1258,1881,0.0
2011-07-01,1258,1879,0.0
2011-08-01,1258,1873,0.0
2011-09-01,1258,1875,0.0
2011-10-01,1258,1873,0.0
2011-11-01,1258,1871,0.0
2011-12-01,1258,1868,0.0
2012-01-01,1258,1868,0.0
2012-02-01,1258,1866,0.0
2012-03-01,1258,1861,0.0
2012-04-01,1258,1864,0.0
2012-05-01,1258,1869,0.0
2012-06-01,1258,1867,0.0
2012-07-01,1258,1867,0.0
2012-08-01,1258,1869,0.0
2012-09-01,1258,1871,0.0
2012-10-01,1258,1867,0.0
2012-11-01,1258,1869,0.0
2012-12-01,1258,1875,0.0
2013-01-01,1258,1875,0.0
2013-02-01,1258,1873,0.0
2013-03-01,1258,1882,0.0
2013-04-01,1258,1881,0.0
2013-05-01,1258,1879,0.0
2013-06-01,1258,1881,0.0
2013-07-01,1258,1883,0.0
2013-08-01,1258,1885,0.0
2013-09-01,1258,1893,0.0
2013-10-01,1258,1891,0.0
2013-11-01,1258,1896,0.0
2013-12-01,1258,1894,0.0
2014-01-01,1258,1891,0.0
2014-02-01,1258,1889,0.0
2014-03-01,1258,1900,0.0
2014-04-01,1258,1899,0.0
2014-05-01,1258,1893,0.0
2014-06-01,1258,1898,0.0
2014-07-01,1258,1899,0.0
2014-08-01,1258,1910,0.0
2014-09-01,1258,1910,0.0
2014-10-01,1258,1907,0.0
2014-11-01,1258,1910,0.0
2014-12-01,1258,1908,0.0
2015-01-01,1258,1907,0.0
2015-02-01,1258,1912,0.0
2015-03-01,1258,1911,0.0
2015-04-01,1258,1904,0.0
2015-05-01,1258,1905,0.0
2015-06-01,1258,1908,0.0
2015-07-01,1258,1905,0.0
2015-08-01,1258,1904,0.0
2015-09-01,1258,1902,0.0
2015-10-01,1258,1906,0.0
2015-11-01,1258,1908,0.0
2015-12-01,1258,1905,0.0
2016-01-01,1258,1903,0.0
2016-02-01,1258,1914,0.0
2016-03-01,1258,1913,0.0
2016-04-01,1258,1915,0.0
2016-05-01,1258,1913,0.0
2016-06-01,1258,1913,0.0
2016-07-01,1258,1917,0.0
2016-08-01,1258,1919,0.0
2016-09-01,1258,1919,0.0
2016-10-01,1258,1913,0.0
2016-11-01,1258,1921,0.0
2016-12-01,1258,1918,0.0
2017-01-01,1258,1917,0.0
2017-02-01,1258,1919,0.0
2017-03-01,1258,1922,0.0
2017-04-01,1258,1924,0.0
2017-05-01,1258,1918,0.0
2017-06-01,1258,1921,0.0
2017-07-01,1258,1916,0.0
2017-08-01,1258,1917,0.0
2017-09-01,1258,1919,0.0
2017-10-01,1258,1913,0.0
2017-11-01,1258,1910,0.0
2017-12-01,1258,1912,0.0
2018-01-01,1258,1911,0.0
2018-02-01,1258,1919,0.0
2018-03-01,1258,1920,0.0
2018-04-01,1258,1914,0.0
2018-05-01,1258,1920,0.0
2018-06-01,1258,1919,0.0
2018-07-01,1258,1920,0.0
2018-08-01,1258,1916,0.0
2018-09-01,1258,1920,0.0
2018-10-01,1258,1911,0.0
2018-11-01,1258,1914,0.0
2018-12-01,1258,1917,0.0
2019-01-01,1258,1921,0.0
2019-02-01,1258,1923,0.0
2019-03-01,1258,1922,0.0
2019-04-01,1258,1919,0.0
2019-05-01,1258,1919,0.0
2019-06-01,1258,1920,0.0
2019-07-01,1258,1916,0.0
2019-08-01,1258,1910,0.0
2019-09-01,1258,1914,0.0
2019-10-01,1258,1909,0.0
2019-11-01,1258,1910,0.0
2019-12-01,1258,1916,0.0
2020-01-01,1258,1916,0.0
2020-02-01,1258,1918,0.0
2020-03-01,1258,1916,0.0
2020-04-01,1258,1917,0.0
2020-05-01,1258,1917,0.0
2020-06-01,1258,1920,0.0
2020-07-01,1258,1918,0.0
2020-08-01,1258,1914,0.0
2020-09-01,1258,1912,0.0
2020-10-01,1258,1917,0.0
2020-11-01,1258,1918,0.0
2020-12-01,1258,1919,0.0
2021-01-01,1258,1914,0.0
2021-02-01,1258,1913,0.0
2021-03-01,1258,1915,0.0
2021-04-01,1258,1908,0.0
2021-05-01,1258,1923,0.0
