Month,Points,Rank,PD
2010-01-01,1302,1263,
2010-02-01,1302,1258,0.0
2010-03-01,1290,1755,-12.0
2010-04-01,1304,1251,14.0
2010-05-01,1308,1219,4.0
2010-06-01,1308,1223,0.0
2010-07-01,1303,1251,-5.0
2010-08-01,1307,1232,4.0
2010-09-01,1320,1165,13.0
2010-10-01,1330,1116,10.0
2010-11-01,1326,1143,-4.0
2010-12-01,1323,1149,-3.0
2011-01-01,1323,1151,0.0
2011-02-01,1323,1152,0.0
2011-03-01,1329,1119,6.0
2011-04-01,1332,1098,3.0
2011-05-01,1344,1052,12.0
2011-06-01,1348,1040,4.0
2011-07-01,1354,838,6.0
2011-08-01,1351,873,-3.0
2011-09-01,1355,839,4.0
2011-10-01,1343,1051,-12.0
2011-11-01,1352,872,9.0
2011-12-01,1356,843,4.0
2012-01-01,1356,849,0.0
2012-02-01,1356,847,0.0
2012-03-01,1372,763,16.0
2012-04-01,1372,769,0.0
2012-05-01,1394,680,22.0
2012-06-01,1386,709,-8.0
2012-07-01,1380,734,-6.0
2012-08-01,1394,671,14.0
2012-09-01,1394,676,0.0
2012-10-01,1381,737,-13.0
2012-11-01,1365,799,-16.0
2012-12-01,1369,782,4.0
2013-01-01,1369,782,0.0
2013-02-01,1369,788,0.0
2013-03-01,1362,831,-7.0
2013-04-01,1352,873,-10.0
2013-05-01,1337,1053,-15.0
2013-06-01,1337,1051,0.0
2013-07-01,1341,1036,4.0
2013-08-01,1327,1111,-14.0
2013-09-01,1332,1088,5.0
2013-10-01,1323,1139,-9.0
2013-11-01,1310,1228,-13.0
2013-12-01,1314,1194,4.0
2014-01-01,1314,1193,0.0
2014-02-01,1314,1198,0.0
2014-03-01,1314,1207,0.0
2014-04-01,1314,1217,0.0
2014-05-01,1314,1222,0.0
2014-06-01,1314,1224,0.0
2014-07-01,1314,1219,0.0
2014-08-01,1314,1213,0.0
2014-09-01,1314,1214,0.0
2014-10-01,1314,1222,0.0
2014-11-01,1314,1225,0.0
2014-12-01,1314,1226,0.0
2015-01-01,1314,1226,0.0
2015-02-01,1314,1227,0.0
2015-03-01,1314,1232,0.0
2015-04-01,1314,1233,0.0
2015-05-01,1314,1233,0.0
2015-06-01,1314,1235,0.0
2015-07-01,1314,1242,0.0
2015-08-01,1314,1234,0.0
2015-09-01,1314,1232,0.0
2015-10-01,1314,1226,0.0
2015-11-01,1314,1228,0.0
2015-12-01,1314,1223,0.0
2016-01-01,1314,1225,0.0
2016-02-01,1309,1278,-5.0
2016-03-01,1318,1203,9.0
2016-04-01,1333,1108,15.0
2016-05-01,1330,1129,-3.0
2016-06-01,1326,1156,-4.0
2016-07-01,1331,1118,5.0
2016-08-01,1327,1149,-4.0
2016-09-01,1316,1239,-11.0
2016-10-01,1309,1281,-7.0
2016-11-01,1316,1235,7.0
2016-12-01,1316,1230,0.0
2017-01-01,1316,1230,0.0
2017-02-01,1319,1205,3.0
2017-03-01,1318,1217,-1.0
2017-04-01,1338,1069,20.0
2017-05-01,1330,1131,-8.0
2017-06-01,1361,850,31.0
2017-07-01,1379,739,18.0
2017-08-01,1390,685,11.0
2017-09-01,1390,691,0.0
2017-10-01,1401,630,11.0
2017-11-01,1408,590,7.0
2017-12-01,1409,583,1.0
2018-01-01,1409,587,0.0
2018-02-01,1402,621,-7.0
2018-03-01,1406,600,4.0
2018-04-01,1409,586,3.0
2018-05-01,1411,580,2.0
2018-06-01,1411,580,0.0
2018-07-01,1413,578,2.0
2018-08-01,1415,556,2.0
2018-09-01,1411,584,-4.0
2018-10-01,1405,611,-6.0
2018-11-01,1400,646,-5.0
2018-12-01,1398,645,-2.0
2019-01-01,1398,646,0.0
2019-02-01,1395,660,-3.0
2019-03-01,1387,709,-8.0
2019-04-01,1377,766,-10.0
2019-05-01,1382,732,5.0
2019-06-01,1370,801,-12.0
2019-07-01,1366,844,-4.0
2019-08-01,1343,1014,-23.0
2019-09-01,1347,986,4.0
2019-10-01,1339,1051,-8.0
2019-11-01,1351,944,12.0
2019-12-01,1346,991,-5.0
2020-01-01,1346,985,0.0
2020-02-01,1346,990,0.0
2020-03-01,1346,984,0.0
2020-04-01,1346,985,0.0
2020-05-01,1346,984,0.0
2020-06-01,1346,980,0.0
2020-07-01,1346,985,0.0
2020-08-01,1346,985,0.0
2020-09-01,1346,986,0.0
2020-10-01,1346,987,0.0
2020-11-01,1346,981,0.0
2020-12-01,1346,981,0.0
2021-01-01,1346,983,0.0
2021-02-01,1346,982,0.0
2021-03-01,1346,978,0.0
2021-04-01,1346,981,0.0
2021-05-01,1346,984,0.0
