Month,Points,Rank,PD
2010-01-01,1534,161,
2010-02-01,1537,154,3.0
2010-03-01,1572,94,35.0
2010-04-01,1579,84,7.0
2010-05-01,1570,93,-9.0
2010-06-01,1570,93,0.0
2010-07-01,1574,88,4.0
2010-08-01,1557,125,-17.0
2010-09-01,1559,121,2.0
2010-10-01,1551,135,-8.0
2010-11-01,1549,142,-2.0
2010-12-01,1547,143,-2.0
2011-01-01,1547,144,0.0
2011-02-01,1547,144,0.0
2011-03-01,1541,151,-6.0
2011-04-01,1534,160,-7.0
2011-05-01,1515,207,-19.0
2011-06-01,1516,198,1.0
2011-07-01,1501,242,-15.0
2011-08-01,1515,215,14.0
2011-09-01,1510,219,-5.0
2011-10-01,1504,235,-6.0
2011-11-01,1504,232,0.0
2011-12-01,1504,230,0.0
2012-01-01,1504,231,0.0
2012-02-01,1504,229,0.0
2012-03-01,1484,312,-20.0
2012-04-01,1489,300,5.0
2012-05-01,1476,339,-13.0
2012-06-01,1471,351,-5.0
2012-07-01,1477,333,6.0
2012-08-01,1459,390,-18.0
2012-09-01,1456,400,-3.0
2012-10-01,1452,408,-4.0
2012-11-01,1458,394,6.0
2012-12-01,1463,363,5.0
2013-01-01,1463,368,0.0
2013-02-01,1463,376,0.0
2013-03-01,1460,387,-3.0
2013-04-01,1469,366,9.0
2013-05-01,1473,348,4.0
2013-06-01,1473,345,0.0
2013-07-01,1458,397,-15.0
2013-08-01,1465,377,7.0
2013-09-01,1461,382,-4.0
2013-10-01,1471,357,10.0
2013-11-01,1472,347,1.0
2013-12-01,1463,382,-9.0
2014-01-01,1463,384,0.0
2014-02-01,1463,382,0.0
2014-03-01,1483,321,20.0
2014-04-01,1491,304,8.0
2014-05-01,1475,349,-16.0
2014-06-01,1475,348,0.0
2014-07-01,1474,351,-1.0
2014-08-01,1493,294,19.0
2014-09-01,1501,248,8.0
2014-10-01,1485,311,-16.0
2014-11-01,1503,240,18.0
2014-12-01,1496,279,-7.0
2015-01-01,1496,281,0.0
2015-02-01,1479,330,-17.0
2015-03-01,1456,400,-23.0
2015-04-01,1482,318,26.0
2015-05-01,1470,360,-12.0
2015-06-01,1469,361,-1.0
2015-07-01,1474,345,5.0
2015-08-01,1495,293,21.0
2015-09-01,1487,314,-8.0
2015-10-01,1490,299,3.0
2015-11-01,1498,283,8.0
2015-12-01,1498,282,0.0
2016-01-01,1498,291,0.0
2016-02-01,1505,252,7.0
2016-03-01,1506,249,1.0
2016-04-01,1509,241,3.0
2016-05-01,1520,218,11.0
2016-06-01,1534,190,14.0
2016-07-01,1525,213,-9.0
2016-08-01,1521,218,-4.0
2016-09-01,1523,212,2.0
2016-10-01,1500,279,-23.0
2016-11-01,1492,297,-8.0
2016-12-01,1595,100,103.0
2017-01-01,1595,98,0.0
2017-02-01,1585,110,-10.0
2017-03-01,1596,103,11.0
2017-04-01,1586,116,-10.0
2017-05-01,1570,144,-16.0
2017-06-01,1589,117,19.0
2017-07-01,1600,101,11.0
2017-08-01,1605,98,5.0
2017-09-01,1605,96,0.0
2017-10-01,1604,93,-1.0
2017-11-01,1604,89,0.0
2017-12-01,1603,98,-1.0
2018-01-01,1603,103,0.0
2018-02-01,1603,109,0.0
2018-03-01,1604,107,1.0
2018-04-01,1555,169,-49.0
2018-05-01,1552,179,-3.0
2018-06-01,1552,180,0.0
2018-07-01,1562,165,10.0
2018-08-01,1554,179,-8.0
2018-09-01,1581,143,27.0
2018-10-01,1584,136,3.0
2018-11-01,1619,97,35.0
2018-12-01,1593,123,-26.0
2019-01-01,1593,125,0.0
2019-02-01,1584,131,-9.0
2019-03-01,1590,125,6.0
2019-04-01,1572,144,-18.0
2019-05-01,1566,165,-6.0
2019-06-01,1561,171,-5.0
2019-07-01,1572,150,11.0
2019-08-01,1570,151,-2.0
2019-09-01,1574,147,4.0
2019-10-01,1577,142,3.0
2019-11-01,1558,170,-19.0
2019-12-01,1561,163,3.0
2020-01-01,1561,162,0.0
2020-02-01,1553,182,-8.0
2020-03-01,1553,180,0.0
2020-04-01,1553,179,0.0
2020-05-01,1553,178,0.0
2020-06-01,1553,180,0.0
2020-07-01,1529,226,-24.0
2020-08-01,1538,207,9.0
2020-09-01,1537,207,-1.0
2020-10-01,1528,231,-9.0
2020-11-01,1530,231,2.0
2020-12-01,1531,226,1.0
2021-01-01,1531,222,0.0
2021-02-01,1518,248,-13.0
2021-03-01,1503,285,-15.0
2021-04-01,1501,284,-2.0
2021-05-01,1520,249,19.0
