Month,Points,Rank,PD
2010-01-01,1416,551,
2010-02-01,1408,576,-8.0
2010-03-01,1396,646,-12.0
2010-04-01,1411,569,15.0
2010-05-01,1409,569,-2.0
2010-06-01,1409,572,0.0
2010-07-01,1407,587,-2.0
2010-08-01,1417,554,10.0
2010-09-01,1411,568,-6.0
2010-10-01,1420,552,9.0
2010-11-01,1418,560,-2.0
2010-12-01,1418,558,0.0
2011-01-01,1418,558,0.0
2011-02-01,1418,557,0.0
2011-03-01,1422,540,4.0
2011-04-01,1411,573,-11.0
2011-05-01,1421,549,10.0
2011-06-01,1443,472,22.0
2011-07-01,1425,539,-18.0
2011-08-01,1401,618,-24.0
2011-09-01,1392,682,-9.0
2011-10-01,1392,678,0.0
2011-11-01,1399,656,7.0
2011-12-01,1394,680,-5.0
2012-01-01,1394,682,0.0
2012-02-01,1394,672,0.0
2012-03-01,1401,631,7.0
2012-04-01,1386,715,-15.0
2012-05-01,1401,635,15.0
2012-06-01,1398,657,-3.0
2012-07-01,1400,653,2.0
2012-08-01,1391,688,-9.0
2012-09-01,1395,667,4.0
2012-10-01,1388,705,-7.0
2012-11-01,1403,617,15.0
2012-12-01,1404,613,1.0
2013-01-01,1404,616,0.0
2013-02-01,1404,609,0.0
2013-03-01,1390,685,-14.0
2013-04-01,1388,702,-2.0
2013-05-01,1409,591,21.0
2013-06-01,1409,590,0.0
2013-07-01,1418,555,9.0
2013-08-01,1420,547,2.0
2013-09-01,1426,525,6.0
2013-10-01,1429,517,3.0
2013-11-01,1447,460,18.0
2013-12-01,1451,425,4.0
2014-01-01,1451,425,0.0
2014-02-01,1455,412,4.0
2014-03-01,1444,473,-11.0
2014-04-01,1470,354,26.0
2014-05-01,1472,355,2.0
2014-06-01,1472,354,0.0
2014-07-01,1494,293,22.0
2014-08-01,1487,314,-7.0
2014-09-01,1491,302,4.0
2014-10-01,1477,333,-14.0
2014-11-01,1464,384,-13.0
2014-12-01,1469,365,5.0
2015-01-01,1469,364,0.0
2015-02-01,1469,360,0.0
2015-03-01,1469,358,0.0
2015-04-01,1470,358,1.0
2015-05-01,1461,389,-9.0
2015-06-01,1472,351,11.0
2015-07-01,1481,331,9.0
2015-08-01,1454,419,-27.0
2015-09-01,1472,359,18.0
2015-10-01,1469,360,-3.0
2015-11-01,1474,354,5.0
2015-12-01,1474,351,0.0
2016-01-01,1474,351,0.0
2016-02-01,1481,335,7.0
2016-03-01,1489,316,8.0
2016-04-01,1499,283,10.0
2016-05-01,1509,248,10.0
2016-06-01,1516,232,7.0
2016-07-01,1539,180,23.0
2016-08-01,1529,205,-10.0
2016-09-01,1527,201,-2.0
2016-10-01,1530,196,3.0
2016-11-01,1523,213,-7.0
2016-12-01,1523,217,0.0
2017-01-01,1523,216,0.0
2017-02-01,1527,210,4.0
2017-03-01,1519,233,-8.0
2017-04-01,1517,234,-2.0
2017-05-01,1560,157,43.0
2017-06-01,1566,150,6.0
2017-07-01,1561,153,-5.0
2017-08-01,1576,133,15.0
2017-09-01,1574,133,-2.0
2017-10-01,1584,115,10.0
2017-11-01,1592,103,8.0
2017-12-01,1594,107,2.0
2018-01-01,1594,114,0.0
2018-02-01,1582,128,-12.0
2018-03-01,1570,148,-12.0
2018-04-01,1569,153,-1.0
2018-05-01,1554,174,-15.0
2018-06-01,1554,176,0.0
2018-07-01,1558,168,4.0
2018-08-01,1562,165,4.0
2018-09-01,1567,161,5.0
2018-10-01,1571,155,4.0
2018-11-01,1576,140,5.0
2018-12-01,1578,142,2.0
2019-01-01,1578,146,0.0
2019-02-01,1575,145,-3.0
2019-03-01,1567,158,-8.0
2019-04-01,1564,160,-3.0
2019-05-01,1583,133,19.0
2019-06-01,1582,134,-1.0
2019-07-01,1583,133,1.0
2019-08-01,1562,164,-21.0
2019-09-01,1551,182,-11.0
2019-10-01,1557,173,6.0
2019-11-01,1565,158,8.0
2019-12-01,1569,146,4.0
2020-01-01,1569,146,0.0
2020-02-01,1565,159,-4.0
2020-03-01,1565,157,0.0
2020-04-01,1565,157,0.0
2020-05-01,1565,154,0.0
2020-06-01,1565,160,0.0
2020-07-01,1591,120,26.0
2020-08-01,1608,108,17.0
2020-09-01,1624,96,16.0
2020-10-01,1643,81,19.0
2020-11-01,1628,84,-15.0
2020-12-01,1630,91,2.0
2021-01-01,1630,89,0.0
2021-02-01,1633,84,3.0
2021-03-01,1646,76,13.0
2021-04-01,1658,67,12.0
2021-05-01,1661,67,3.0
