Month,Points,Rank,PD
2010-01-01,1302,1261,
2010-02-01,1302,1257,0.0
2010-03-01,1310,1218,8.0
2010-04-01,1297,1715,-13.0
2010-05-01,1289,1762,-8.0
2010-06-01,1289,1762,0.0
2010-07-01,1274,1815,-15.0
2010-08-01,1256,1903,-18.0
2010-09-01,1261,1873,5.0
2010-10-01,1251,1938,-10.0
2010-11-01,1232,2606,-19.0
2010-12-01,1240,2576,8.0
2011-01-01,1240,2569,0.0
2011-02-01,1240,2564,0.0
2011-03-01,1240,2565,0.0
2011-04-01,1240,2561,0.0
2011-05-01,1240,2559,0.0
2011-06-01,1240,2555,0.0
2011-07-01,1240,2554,0.0
2011-08-01,1240,2555,0.0
2011-09-01,1240,2551,0.0
2011-10-01,1240,2543,0.0
2011-11-01,1240,2539,0.0
2011-12-01,1240,2538,0.0
2012-01-01,1240,2535,0.0
2012-02-01,1240,2528,0.0
2012-03-01,1240,2522,0.0
2012-04-01,1240,2516,0.0
2012-05-01,1240,2509,0.0
2012-06-01,1240,2509,0.0
2012-07-01,1240,2507,0.0
2012-08-01,1240,2503,0.0
2012-09-01,1240,2498,0.0
2012-10-01,1240,2496,0.0
2012-11-01,1240,2495,0.0
2012-12-01,1240,2494,0.0
2013-01-01,1240,2492,0.0
2013-02-01,1240,2493,0.0
2013-03-01,1240,2479,0.0
2013-04-01,1240,2474,0.0
2013-05-01,1240,2471,0.0
2013-06-01,1240,2470,0.0
2013-07-01,1240,2467,0.0
2013-08-01,1240,2463,0.0
2013-09-01,1240,2457,0.0
2013-10-01,1240,2447,0.0
2013-11-01,1240,2448,0.0
2013-12-01,1240,2446,0.0
2014-01-01,1240,2443,0.0
2014-02-01,1240,2443,0.0
2014-03-01,1240,2444,0.0
2014-04-01,1240,2442,0.0
2014-05-01,1240,2436,0.0
2014-06-01,1240,2430,0.0
2014-07-01,1240,2434,0.0
2014-08-01,1240,2428,0.0
2014-09-01,1240,2426,0.0
2014-10-01,1240,2419,0.0
2014-11-01,1240,2414,0.0
2014-12-01,1240,2414,0.0
2015-01-01,1240,2414,0.0
2015-02-01,1240,2403,0.0
2015-03-01,1240,2405,0.0
2015-04-01,1240,2390,0.0
2015-05-01,1240,2396,0.0
2015-06-01,1240,2395,0.0
2015-07-01,1240,2394,0.0
2015-08-01,1240,2385,0.0
2015-09-01,1240,2383,0.0
2015-10-01,1240,2371,0.0
2015-11-01,1240,2365,0.0
2015-12-01,1240,2359,0.0
2016-01-01,1240,2360,0.0
2016-02-01,1240,2353,0.0
2016-03-01,1240,2346,0.0
2016-04-01,1240,2343,0.0
2016-05-01,1240,2333,0.0
2016-06-01,1240,2334,0.0
2016-07-01,1240,2336,0.0
2016-08-01,1240,2331,0.0
2016-09-01,1240,2330,0.0
2016-10-01,1240,2325,0.0
2016-11-01,1240,2324,0.0
2016-12-01,1240,2322,0.0
2017-01-01,1240,2317,0.0
2017-02-01,1240,2313,0.0
2017-03-01,1240,2309,0.0
2017-04-01,1240,2313,0.0
2017-05-01,1240,2310,0.0
2017-06-01,1240,2309,0.0
2017-07-01,1240,2309,0.0
2017-08-01,1240,2309,0.0
2017-09-01,1240,2306,0.0
2017-10-01,1240,2306,0.0
2017-11-01,1240,2303,0.0
2017-12-01,1240,2300,0.0
2018-01-01,1240,2298,0.0
2018-02-01,1240,2293,0.0
2018-03-01,1240,2286,0.0
2018-04-01,1240,2284,0.0
2018-05-01,1240,2277,0.0
2018-06-01,1240,2274,0.0
2018-07-01,1240,2276,0.0
2018-08-01,1240,2281,0.0
2018-09-01,1240,2275,0.0
2018-10-01,1240,2277,0.0
2018-11-01,1240,2268,0.0
2018-12-01,1240,2268,0.0
2019-01-01,1240,2266,0.0
2019-02-01,1240,2264,0.0
2019-03-01,1240,2261,0.0
2019-04-01,1240,2262,0.0
2019-05-01,1240,2260,0.0
2019-06-01,1240,2263,0.0
2019-07-01,1240,2258,0.0
2019-08-01,1240,2255,0.0
2019-09-01,1240,2245,0.0
2019-10-01,1240,2245,0.0
2019-11-01,1240,2249,0.0
2019-12-01,1240,2245,0.0
2020-01-01,1240,2242,0.0
2020-02-01,1240,2244,0.0
2020-03-01,1240,2243,0.0
2020-04-01,1240,2243,0.0
2020-05-01,1240,2242,0.0
2020-06-01,1240,2242,0.0
2020-07-01,1240,2238,0.0
2020-08-01,1240,2232,0.0
2020-09-01,1240,2227,0.0
2020-10-01,1240,2230,0.0
2020-11-01,1240,2229,0.0
2020-12-01,1240,2227,0.0
2021-01-01,1240,2227,0.0
2021-02-01,1240,2224,0.0
2021-03-01,1240,2227,0.0
2021-04-01,1240,2225,0.0
2021-05-01,1240,2221,0.0
