Month,Points,Rank,PD
2010-01-01,1300,1276,
2010-02-01,1300,1272,0.0
2010-03-01,1300,1273,0.0
2010-04-01,1300,1274,0.0
2010-05-01,1300,1273,0.0
2010-06-01,1300,1274,0.0
2010-07-01,1300,1283,0.0
2010-08-01,1300,1282,0.0
2010-09-01,1300,1281,0.0
2010-10-01,1300,1281,0.0
2010-11-01,1300,1286,0.0
2010-12-01,1300,1287,0.0
2011-01-01,1300,1289,0.0
2011-02-01,1300,1281,0.0
2011-03-01,1300,1278,0.0
2011-04-01,1300,1281,0.0
2011-05-01,1300,1272,0.0
2011-06-01,1300,1276,0.0
2011-07-01,1300,1279,0.0
2011-08-01,1300,1286,0.0
2011-09-01,1300,1293,0.0
2011-10-01,1300,1289,0.0
2011-11-01,1300,1286,0.0
2011-12-01,1300,1276,0.0
2012-01-01,1300,1281,0.0
2012-02-01,1300,1281,0.0
2012-03-01,1300,1279,0.0
2012-04-01,1300,1282,0.0
2012-05-01,1300,1276,0.0
2012-06-01,1300,1280,0.0
2012-07-01,1300,1284,0.0
2012-08-01,1300,1290,0.0
2012-09-01,1300,1288,0.0
2012-10-01,1300,1287,0.0
2012-11-01,1300,1285,0.0
2012-12-01,1300,1287,0.0
2013-01-01,1300,1286,0.0
2013-02-01,1300,1285,0.0
2013-03-01,1300,1287,0.0
2013-04-01,1300,1292,0.0
2013-05-01,1300,1292,0.0
2013-06-01,1300,1297,0.0
2013-07-01,1300,1309,0.0
2013-08-01,1300,1311,0.0
2013-09-01,1300,1308,0.0
2013-10-01,1300,1316,0.0
2013-11-01,1300,1322,0.0
2013-12-01,1300,1323,0.0
2014-01-01,1300,1323,0.0
2014-02-01,1300,1326,0.0
2014-03-01,1300,1332,0.0
2014-04-01,1300,1333,0.0
2014-05-01,1300,1336,0.0
2014-06-01,1300,1334,0.0
2014-07-01,1300,1340,0.0
2014-08-01,1300,1338,0.0
2014-09-01,1300,1332,0.0
2014-10-01,1300,1336,0.0
2014-11-01,1300,1341,0.0
2014-12-01,1300,1340,0.0
2015-01-01,1300,1340,0.0
2015-02-01,1300,1347,0.0
2015-03-01,1306,1291,6.0
2015-04-01,1302,1324,-4.0
2015-05-01,1302,1333,0.0
2015-06-01,1288,1654,-14.0
2015-07-01,1292,1610,4.0
2015-08-01,1281,1697,-11.0
2015-09-01,1281,1693,0.0
2015-10-01,1276,1736,-5.0
2015-11-01,1277,1728,1.0
2015-12-01,1277,1729,0.0
2016-01-01,1277,1735,0.0
2016-02-01,1277,1735,0.0
2016-03-01,1277,1735,0.0
2016-04-01,1277,1738,0.0
2016-05-01,1277,1737,0.0
2016-06-01,1277,1737,0.0
2016-07-01,1277,1732,0.0
2016-08-01,1277,1734,0.0
2016-09-01,1277,1729,0.0
2016-10-01,1277,1730,0.0
2016-11-01,1277,1726,0.0
2016-12-01,1277,1721,0.0
2017-01-01,1277,1723,0.0
2017-02-01,1277,1719,0.0
2017-03-01,1277,1731,0.0
2017-04-01,1277,1730,0.0
2017-05-01,1277,1730,0.0
2017-06-01,1277,1727,0.0
2017-07-01,1277,1731,0.0
2017-08-01,1277,1723,0.0
2017-09-01,1277,1714,0.0
2017-10-01,1277,1715,0.0
2017-11-01,1277,1718,0.0
2017-12-01,1277,1720,0.0
2018-01-01,1277,1718,0.0
2018-02-01,1277,1716,0.0
2018-03-01,1277,1714,0.0
2018-04-01,1277,1717,0.0
2018-05-01,1277,1716,0.0
2018-06-01,1277,1715,0.0
2018-07-01,1277,1716,0.0
2018-08-01,1277,1706,0.0
2018-09-01,1277,1704,0.0
2018-10-01,1277,1704,0.0
2018-11-01,1277,1700,0.0
2018-12-01,1277,1696,0.0
2019-01-01,1277,1692,0.0
2019-02-01,1280,1668,3.0
2019-03-01,1277,1701,-3.0
2019-04-01,1286,1603,9.0
2019-05-01,1285,1609,-1.0
2019-06-01,1270,1761,-15.0
2019-07-01,1270,1772,0.0
2019-08-01,1279,1673,9.0
2019-09-01,1278,1682,-1.0
2019-10-01,1288,1584,10.0
2019-11-01,1281,1646,-7.0
2019-12-01,1280,1656,-1.0
2020-01-01,1280,1653,0.0
2020-02-01,1280,1660,0.0
2020-03-01,1280,1657,0.0
2020-04-01,1280,1658,0.0
2020-05-01,1280,1659,0.0
2020-06-01,1280,1655,0.0
2020-07-01,1280,1650,0.0
2020-08-01,1280,1653,0.0
2020-09-01,1280,1655,0.0
2020-10-01,1280,1647,0.0
2020-11-01,1280,1658,0.0
2020-12-01,1280,1653,0.0
2021-01-01,1280,1649,0.0
2021-02-01,1280,1654,0.0
2021-03-01,1280,1647,0.0
2021-04-01,1280,1650,0.0
2021-05-01,1280,1648,0.0
