Month,Points,Rank,PD
2010-01-01,1303,1252,
2010-02-01,1303,1249,0.0
2010-03-01,1297,1713,-6.0
2010-04-01,1313,1191,16.0
2010-05-01,1301,1264,-12.0
2010-06-01,1301,1265,0.0
2010-07-01,1304,1241,3.0
2010-08-01,1315,1187,11.0
2010-09-01,1304,1255,-11.0
2010-10-01,1305,1247,1.0
2010-11-01,1309,1217,4.0
2010-12-01,1311,1207,2.0
2011-01-01,1311,1205,0.0
2011-02-01,1311,1203,0.0
2011-03-01,1308,1229,-3.0
2011-04-01,1308,1232,0.0
2011-05-01,1296,1668,-12.0
2011-06-01,1286,1719,-10.0
2011-07-01,1279,1748,-7.0
2011-08-01,1282,1723,3.0
2011-09-01,1282,1729,0.0
2011-10-01,1273,1778,-9.0
2011-11-01,1254,1904,-19.0
2011-12-01,1247,2453,-7.0
2012-01-01,1247,2452,0.0
2012-02-01,1247,2449,0.0
2012-03-01,1247,2435,0.0
2012-04-01,1247,2430,0.0
2012-05-01,1247,2421,0.0
2012-06-01,1247,2416,0.0
2012-07-01,1247,2421,0.0
2012-08-01,1247,2419,0.0
2012-09-01,1247,2412,0.0
2012-10-01,1247,2412,0.0
2012-11-01,1247,2410,0.0
2012-12-01,1247,2407,0.0
2013-01-01,1247,2409,0.0
2013-02-01,1247,2405,0.0
2013-03-01,1247,2396,0.0
2013-04-01,1247,2391,0.0
2013-05-01,1247,2386,0.0
2013-06-01,1247,2385,0.0
2013-07-01,1247,2385,0.0
2013-08-01,1247,2365,0.0
2013-09-01,1247,2362,0.0
2013-10-01,1247,2359,0.0
2013-11-01,1247,2356,0.0
2013-12-01,1247,2354,0.0
2014-01-01,1247,2349,0.0
2014-02-01,1247,2351,0.0
2014-03-01,1247,2355,0.0
2014-04-01,1247,2342,0.0
2014-05-01,1247,2336,0.0
2014-06-01,1247,2338,0.0
2014-07-01,1247,2345,0.0
2014-08-01,1247,2335,0.0
2014-09-01,1247,2326,0.0
2014-10-01,1247,2321,0.0
2014-11-01,1247,2317,0.0
2014-12-01,1247,2305,0.0
2015-01-01,1247,2308,0.0
2015-02-01,1247,2305,0.0
2015-03-01,1250,2263,3.0
2015-04-01,1240,2391,-10.0
2015-05-01,1255,1931,15.0
2015-06-01,1250,1998,-5.0
2015-07-01,1245,2312,-5.0
2015-08-01,1240,2382,-5.0
2015-09-01,1242,2349,2.0
2015-10-01,1240,2367,-2.0
2015-11-01,1232,2434,-8.0
2015-12-01,1232,2430,0.0
2016-01-01,1232,2430,0.0
2016-02-01,1232,2426,0.0
2016-03-01,1232,2419,0.0
2016-04-01,1232,2405,0.0
2016-05-01,1232,2401,0.0
2016-06-01,1232,2402,0.0
2016-07-01,1232,2401,0.0
2016-08-01,1232,2399,0.0
2016-09-01,1232,2398,0.0
2016-10-01,1232,2398,0.0
2016-11-01,1232,2395,0.0
2016-12-01,1232,2395,0.0
2017-01-01,1232,2394,0.0
2017-02-01,1232,2389,0.0
2017-03-01,1232,2380,0.0
2017-04-01,1232,2382,0.0
2017-05-01,1232,2381,0.0
2017-06-01,1232,2380,0.0
2017-07-01,1232,2377,0.0
2017-08-01,1232,2375,0.0
2017-09-01,1232,2377,0.0
2017-10-01,1232,2378,0.0
2017-11-01,1232,2377,0.0
2017-12-01,1232,2375,0.0
2018-01-01,1232,2373,0.0
2018-02-01,1232,2363,0.0
2018-03-01,1232,2363,0.0
2018-04-01,1232,2361,0.0
2018-05-01,1232,2354,0.0
2018-06-01,1232,2354,0.0
2018-07-01,1232,2353,0.0
2018-08-01,1232,2352,0.0
2018-09-01,1232,2349,0.0
2018-10-01,1232,2346,0.0
2018-11-01,1232,2343,0.0
2018-12-01,1232,2340,0.0
2019-01-01,1232,2342,0.0
2019-02-01,1232,2341,0.0
2019-03-01,1232,2337,0.0
2019-04-01,1232,2336,0.0
2019-05-01,1232,2336,0.0
2019-06-01,1232,2335,0.0
2019-07-01,1232,2335,0.0
2019-08-01,1232,2334,0.0
2019-09-01,1232,2328,0.0
2019-10-01,1232,2331,0.0
2019-11-01,1232,2326,0.0
2019-12-01,1232,2327,0.0
2020-01-01,1232,2325,0.0
2020-02-01,1232,2324,0.0
2020-03-01,1232,2324,0.0
2020-04-01,1232,2324,0.0
2020-05-01,1232,2323,0.0
2020-06-01,1232,2322,0.0
2020-07-01,1232,2322,0.0
2020-08-01,1232,2318,0.0
2020-09-01,1232,2317,0.0
2020-10-01,1232,2311,0.0
2020-11-01,1232,2310,0.0
2020-12-01,1232,2307,0.0
2021-01-01,1232,2308,0.0
2021-02-01,1232,2305,0.0
2021-03-01,1232,2307,0.0
2021-04-01,1232,2308,0.0
2021-05-01,1232,2302,0.0
