Month,Points,Rank,PD
2010-01-01,1494,290,
2010-02-01,1494,291,0.0
2010-03-01,1496,294,2.0
2010-04-01,1502,221,6.0
2010-05-01,1492,288,-10.0
2010-06-01,1492,291,0.0
2010-07-01,1503,217,11.0
2010-08-01,1508,213,5.0
2010-09-01,1518,199,10.0
2010-10-01,1517,200,-1.0
2010-11-01,1513,207,-4.0
2010-12-01,1516,202,3.0
2011-01-01,1516,201,0.0
2011-02-01,1516,199,0.0
2011-03-01,1499,289,-17.0
2011-04-01,1515,206,16.0
2011-05-01,1482,325,-33.0
2011-06-01,1492,300,10.0
2011-07-01,1512,214,20.0
2011-08-01,1523,197,11.0
2011-09-01,1522,194,-1.0
2011-10-01,1524,180,2.0
2011-11-01,1535,160,11.0
2011-12-01,1539,154,4.0
2012-01-01,1539,154,0.0
2012-02-01,1539,161,0.0
2012-03-01,1532,174,-7.0
2012-04-01,1532,172,0.0
2012-05-01,1507,223,-25.0
2012-06-01,1517,199,10.0
2012-07-01,1513,200,-4.0
2012-08-01,1501,238,-12.0
2012-09-01,1494,283,-7.0
2012-10-01,1496,289,2.0
2012-11-01,1498,288,2.0
2012-12-01,1490,301,-8.0
2013-01-01,1490,308,0.0
2013-02-01,1490,311,0.0
2013-03-01,1487,316,-3.0
2013-04-01,1483,321,-4.0
2013-05-01,1452,419,-31.0
2013-06-01,1452,421,0.0
2013-07-01,1462,384,10.0
2013-08-01,1473,353,11.0
2013-09-01,1450,418,-23.0
2013-10-01,1447,449,-3.0
2013-11-01,1454,413,7.0
2013-12-01,1448,466,-6.0
2014-01-01,1448,463,0.0
2014-02-01,1448,463,0.0
2014-03-01,1451,426,3.0
2014-04-01,1425,525,-26.0
2014-05-01,1422,532,-3.0
2014-06-01,1422,533,0.0
2014-07-01,1419,554,-3.0
2014-08-01,1415,562,-4.0
2014-09-01,1429,524,14.0
2014-10-01,1435,497,6.0
2014-11-01,1436,494,1.0
2014-12-01,1443,475,7.0
2015-01-01,1443,471,0.0
2015-02-01,1443,464,0.0
2015-03-01,1434,490,-9.0
2015-04-01,1442,473,8.0
2015-05-01,1429,508,-13.0
2015-06-01,1427,512,-2.0
2015-07-01,1438,471,11.0
2015-08-01,1425,517,-13.0
2015-09-01,1416,556,-9.0
2015-10-01,1417,563,1.0
2015-11-01,1418,557,1.0
2015-12-01,1418,560,0.0
2016-01-01,1418,560,0.0
2016-02-01,1423,547,5.0
2016-03-01,1424,531,1.0
2016-04-01,1412,581,-12.0
2016-05-01,1401,631,-11.0
2016-06-01,1393,673,-8.0
2016-07-01,1373,763,-20.0
2016-08-01,1360,849,-13.0
2016-09-01,1366,823,6.0
2016-10-01,1362,852,-4.0
2016-11-01,1351,913,-11.0
2016-12-01,1351,912,0.0
2017-01-01,1351,915,0.0
2017-02-01,1351,912,0.0
2017-03-01,1351,915,0.0
2017-04-01,1351,919,0.0
2017-05-01,1351,920,0.0
2017-06-01,1351,917,0.0
2017-07-01,1351,920,0.0
2017-08-01,1351,926,0.0
2017-09-01,1351,919,0.0
2017-10-01,1351,928,0.0
2017-11-01,1351,922,0.0
2017-12-01,1351,925,0.0
2018-01-01,1351,921,0.0
2018-02-01,1358,866,7.0
2018-03-01,1359,870,1.0
2018-04-01,1322,1199,-37.0
2018-05-01,1312,1288,-10.0
2018-06-01,1312,1288,0.0
2018-07-01,1311,1289,-1.0
2018-08-01,1359,858,48.0
2018-09-01,1350,977,-9.0
2018-10-01,1345,1014,-5.0
2018-11-01,1350,981,5.0
2018-12-01,1348,992,-2.0
2019-01-01,1348,989,0.0
2019-02-01,1361,860,13.0
2019-03-01,1379,752,18.0
2019-04-01,1388,708,9.0
2019-05-01,1392,679,4.0
2019-06-01,1373,779,-19.0
2019-07-01,1357,890,-16.0
2019-08-01,1357,896,0.0
2019-09-01,1356,910,-1.0
2019-10-01,1345,1004,-11.0
2019-11-01,1342,1021,-3.0
2019-12-01,1338,1056,-4.0
2020-01-01,1338,1055,0.0
2020-02-01,1340,1036,2.0
2020-03-01,1340,1028,0.0
2020-04-01,1340,1028,0.0
2020-05-01,1340,1027,0.0
2020-06-01,1340,1029,0.0
2020-07-01,1371,807,31.0
2020-08-01,1379,757,8.0
2020-09-01,1381,741,2.0
2020-10-01,1409,592,28.0
2020-11-01,1411,586,2.0
2020-12-01,1419,560,8.0
2021-01-01,1419,560,0.0
2021-02-01,1423,542,4.0
2021-03-01,1449,439,26.0
2021-04-01,1450,434,1.0
2021-05-01,1444,454,-6.0
