Month,Points,Rank,PD
2010-01-01,1278,1814,
2010-02-01,1278,1810,0.0
2010-03-01,1278,1802,0.0
2010-04-01,1278,1805,0.0
2010-05-01,1278,1804,0.0
2010-06-01,1278,1801,0.0
2010-07-01,1278,1795,0.0
2010-08-01,1278,1794,0.0
2010-09-01,1278,1782,0.0
2010-10-01,1278,1779,0.0
2010-11-01,1278,1774,0.0
2010-12-01,1278,1777,0.0
2011-01-01,1278,1777,0.0
2011-02-01,1278,1773,0.0
2011-03-01,1278,1770,0.0
2011-04-01,1278,1764,0.0
2011-05-01,1278,1759,0.0
2011-06-01,1278,1757,0.0
2011-07-01,1278,1754,0.0
2011-08-01,1278,1749,0.0
2011-09-01,1278,1751,0.0
2011-10-01,1278,1744,0.0
2011-11-01,1278,1740,0.0
2011-12-01,1278,1737,0.0
2012-01-01,1278,1734,0.0
2012-02-01,1278,1727,0.0
2012-03-01,1278,1738,0.0
2012-04-01,1278,1730,0.0
2012-05-01,1278,1731,0.0
2012-06-01,1278,1729,0.0
2012-07-01,1278,1722,0.0
2012-08-01,1278,1729,0.0
2012-09-01,1278,1724,0.0
2012-10-01,1278,1720,0.0
2012-11-01,1278,1716,0.0
2012-12-01,1278,1717,0.0
2013-01-01,1278,1721,0.0
2013-02-01,1278,1722,0.0
2013-03-01,1274,1744,-4.0
2013-04-01,1263,1830,-11.0
2013-05-01,1255,1907,-8.0
2013-06-01,1255,1907,0.0
2013-07-01,1245,2410,-10.0
2013-08-01,1239,2470,-6.0
2013-09-01,1227,2545,-12.0
2013-10-01,1227,2539,0.0
2013-11-01,1220,2578,-7.0
2013-12-01,1216,2597,-4.0
2014-01-01,1216,2592,0.0
2014-02-01,1216,2592,0.0
2014-03-01,1216,2591,0.0
2014-04-01,1216,2588,0.0
2014-05-01,1216,2584,0.0
2014-06-01,1216,2586,0.0
2014-07-01,1216,2586,0.0
2014-08-01,1216,2584,0.0
2014-09-01,1216,2577,0.0
2014-10-01,1216,2575,0.0
2014-11-01,1216,2573,0.0
2014-12-01,1216,2571,0.0
2015-01-01,1216,2571,0.0
2015-02-01,1216,2572,0.0
2015-03-01,1216,2570,0.0
2015-04-01,1216,2575,0.0
2015-05-01,1216,2567,0.0
2015-06-01,1216,2564,0.0
2015-07-01,1216,2565,0.0
2015-08-01,1216,2563,0.0
2015-09-01,1216,2562,0.0
2015-10-01,1216,2560,0.0
2015-11-01,1216,2559,0.0
2015-12-01,1216,2557,0.0
2016-01-01,1216,2554,0.0
2016-02-01,1216,2551,0.0
2016-03-01,1216,2548,0.0
2016-04-01,1216,2541,0.0
2016-05-01,1216,2542,0.0
2016-06-01,1216,2540,0.0
2016-07-01,1216,2541,0.0
2016-08-01,1216,2539,0.0
2016-09-01,1216,2537,0.0
2016-10-01,1216,2535,0.0
2016-11-01,1216,2535,0.0
2016-12-01,1216,2533,0.0
2017-01-01,1216,2534,0.0
2017-02-01,1216,2532,0.0
2017-03-01,1216,2534,0.0
2017-04-01,1216,2532,0.0
2017-05-01,1216,2528,0.0
2017-06-01,1216,2526,0.0
2017-07-01,1216,2528,0.0
2017-08-01,1216,2527,0.0
2017-09-01,1216,2528,0.0
2017-10-01,1216,2528,0.0
2017-11-01,1216,2522,0.0
2017-12-01,1216,2523,0.0
2018-01-01,1216,2521,0.0
2018-02-01,1216,2515,0.0
2018-03-01,1216,2513,0.0
2018-04-01,1216,2506,0.0
2018-05-01,1216,2506,0.0
2018-06-01,1216,2503,0.0
2018-07-01,1216,2501,0.0
2018-08-01,1216,2503,0.0
2018-09-01,1216,2500,0.0
2018-10-01,1216,2500,0.0
2018-11-01,1216,2498,0.0
2018-12-01,1216,2496,0.0
2019-01-01,1216,2496,0.0
2019-02-01,1226,2402,10.0
2019-03-01,1235,2304,9.0
2019-04-01,1256,1936,21.0
2019-05-01,1268,1790,12.0
2019-06-01,1280,1660,12.0
2019-07-01,1281,1638,1.0
2019-08-01,1286,1603,5.0
2019-09-01,1284,1613,-2.0
2019-10-01,1295,1489,11.0
2019-11-01,1293,1520,-2.0
2019-12-01,1287,1587,-6.0
2020-01-01,1287,1588,0.0
2020-02-01,1285,1606,-2.0
2020-03-01,1285,1608,0.0
2020-04-01,1285,1608,0.0
2020-05-01,1285,1607,0.0
2020-06-01,1285,1603,0.0
2020-07-01,1284,1612,-1.0
2020-08-01,1285,1605,1.0
2020-09-01,1316,1244,31.0
2020-10-01,1315,1259,-1.0
2020-11-01,1327,1147,12.0
2020-12-01,1327,1148,0.0
2021-01-01,1327,1149,0.0
2021-02-01,1325,1174,-2.0
2021-03-01,1323,1193,-2.0
2021-04-01,1304,1365,-19.0
2021-05-01,1298,1443,-6.0
