Month,Points,Rank,PD
2010-01-01,1312,1200,
2010-02-01,1312,1194,0.0
2010-03-01,1306,1236,-6.0
2010-04-01,1302,1257,-4.0
2010-05-01,1302,1257,0.0
2010-06-01,1302,1258,0.0
2010-07-01,1303,1254,1.0
2010-08-01,1301,1270,-2.0
2010-09-01,1315,1187,14.0
2010-10-01,1307,1236,-8.0
2010-11-01,1323,1155,16.0
2010-12-01,1334,1092,11.0
2011-01-01,1334,1094,0.0
2011-02-01,1334,1089,0.0
2011-03-01,1338,1082,4.0
2011-04-01,1338,1079,0.0
2011-05-01,1342,1063,4.0
2011-06-01,1338,1073,-4.0
2011-07-01,1330,1098,-8.0
2011-08-01,1330,1099,0.0
2011-09-01,1340,1059,10.0
2011-10-01,1332,1090,-8.0
2011-11-01,1336,1080,4.0
2011-12-01,1340,1064,4.0
2012-01-01,1340,1066,0.0
2012-02-01,1340,1060,0.0
2012-03-01,1338,1066,-2.0
2012-04-01,1341,1048,3.0
2012-05-01,1328,1109,-13.0
2012-06-01,1328,1107,0.0
2012-07-01,1321,1151,-7.0
2012-08-01,1313,1191,-8.0
2012-09-01,1330,1111,17.0
2012-10-01,1346,1035,16.0
2012-11-01,1363,810,17.0
2012-12-01,1365,802,2.0
2013-01-01,1365,807,0.0
2013-02-01,1365,818,0.0
2013-03-01,1376,750,11.0
2013-04-01,1407,588,31.0
2013-05-01,1425,525,18.0
2013-06-01,1425,522,0.0
2013-07-01,1413,577,-12.0
2013-08-01,1391,691,-22.0
2013-09-01,1369,788,-22.0
2013-10-01,1353,853,-16.0
2013-11-01,1349,987,-4.0
2013-12-01,1353,854,4.0
2014-01-01,1353,857,0.0
2014-02-01,1353,855,0.0
2014-03-01,1362,815,9.0
2014-04-01,1337,1068,-25.0
2014-05-01,1339,1060,2.0
2014-06-01,1339,1061,0.0
2014-07-01,1331,1109,-8.0
2014-08-01,1312,1231,-19.0
2014-09-01,1324,1149,12.0
2014-10-01,1328,1128,4.0
2014-11-01,1324,1162,-4.0
2014-12-01,1331,1106,7.0
2015-01-01,1331,1106,0.0
2015-02-01,1331,1110,0.0
2015-03-01,1331,1105,0.0
2015-04-01,1331,1111,0.0
2015-05-01,1331,1110,0.0
2015-06-01,1331,1110,0.0
2015-07-01,1331,1109,0.0
2015-08-01,1331,1108,0.0
2015-09-01,1331,1112,0.0
2015-10-01,1331,1114,0.0
2015-11-01,1331,1111,0.0
2015-12-01,1331,1119,0.0
2016-01-01,1331,1118,0.0
2016-02-01,1339,1062,8.0
2016-03-01,1339,1075,0.0
2016-04-01,1349,998,10.0
2016-05-01,1362,835,13.0
2016-06-01,1358,859,-4.0
2016-07-01,1354,895,-4.0
2016-08-01,1363,826,9.0
2016-09-01,1377,759,14.0
2016-10-01,1398,645,21.0
2016-11-01,1392,678,-6.0
2016-12-01,1392,684,0.0
2017-01-01,1392,687,0.0
2017-02-01,1385,712,-7.0
2017-03-01,1369,798,-16.0
2017-04-01,1361,849,-8.0
2017-05-01,1346,1010,-15.0
2017-06-01,1365,831,19.0
2017-07-01,1353,901,-12.0
2017-08-01,1349,992,-4.0
2017-09-01,1343,1037,-6.0
2017-10-01,1344,1030,1.0
2017-11-01,1336,1079,-8.0
2017-12-01,1334,1099,-2.0
2018-01-01,1334,1095,0.0
2018-02-01,1334,1095,0.0
2018-03-01,1334,1098,0.0
2018-04-01,1334,1086,0.0
2018-05-01,1334,1087,0.0
2018-06-01,1334,1089,0.0
2018-07-01,1334,1088,0.0
2018-08-01,1334,1094,0.0
2018-09-01,1334,1096,0.0
2018-10-01,1334,1099,0.0
2018-11-01,1334,1095,0.0
2018-12-01,1334,1096,0.0
2019-01-01,1334,1101,0.0
2019-02-01,1334,1099,0.0
2019-03-01,1334,1098,0.0
2019-04-01,1334,1101,0.0
2019-05-01,1334,1103,0.0
2019-06-01,1334,1101,0.0
2019-07-01,1334,1100,0.0
2019-08-01,1334,1094,0.0
2019-09-01,1334,1087,0.0
2019-10-01,1334,1088,0.0
2019-11-01,1334,1080,0.0
2019-12-01,1334,1080,0.0
2020-01-01,1334,1080,0.0
2020-02-01,1334,1079,0.0
2020-03-01,1334,1080,0.0
2020-04-01,1334,1080,0.0
2020-05-01,1334,1081,0.0
2020-06-01,1334,1085,0.0
2020-07-01,1334,1084,0.0
2020-08-01,1334,1084,0.0
2020-09-01,1334,1088,0.0
2020-10-01,1334,1079,0.0
2020-11-01,1334,1077,0.0
2020-12-01,1334,1081,0.0
2021-01-01,1334,1082,0.0
2021-02-01,1334,1082,0.0
2021-03-01,1334,1084,0.0
2021-04-01,1334,1086,0.0
2021-05-01,1334,1084,0.0
