Month,Points,Rank,PD
2010-01-01,1300,1276,
2010-02-01,1300,1272,0.0
2010-03-01,1300,1273,0.0
2010-04-01,1300,1274,0.0
2010-05-01,1300,1273,0.0
2010-06-01,1300,1274,0.0
2010-07-01,1300,1283,0.0
2010-08-01,1300,1282,0.0
2010-09-01,1300,1281,0.0
2010-10-01,1300,1281,0.0
2010-11-01,1300,1286,0.0
2010-12-01,1300,1287,0.0
2011-01-01,1300,1289,0.0
2011-02-01,1300,1281,0.0
2011-03-01,1300,1278,0.0
2011-04-01,1300,1281,0.0
2011-05-01,1300,1272,0.0
2011-06-01,1300,1276,0.0
2011-07-01,1300,1279,0.0
2011-08-01,1300,1286,0.0
2011-09-01,1300,1293,0.0
2011-10-01,1300,1289,0.0
2011-11-01,1300,1286,0.0
2011-12-01,1300,1276,0.0
2012-01-01,1300,1281,0.0
2012-02-01,1300,1281,0.0
2012-03-01,1311,1202,11.0
2012-04-01,1322,1130,11.0
2012-05-01,1330,1101,8.0
2012-06-01,1329,1100,-1.0
2012-07-01,1334,1082,5.0
2012-08-01,1345,1031,11.0
2012-09-01,1354,859,9.0
2012-10-01,1354,856,0.0
2012-11-01,1369,782,15.0
2012-12-01,1366,798,-3.0
2013-01-01,1366,800,0.0
2013-02-01,1366,811,0.0
2013-03-01,1370,789,4.0
2013-04-01,1354,860,-16.0
2013-05-01,1337,1051,-17.0
2013-06-01,1337,1049,0.0
2013-07-01,1339,1045,2.0
2013-08-01,1352,874,13.0
2013-09-01,1354,859,2.0
2013-10-01,1352,863,-2.0
2013-11-01,1371,781,19.0
2013-12-01,1372,778,1.0
2014-01-01,1372,779,0.0
2014-02-01,1372,772,0.0
2014-03-01,1379,738,7.0
2014-04-01,1393,678,14.0
2014-05-01,1409,587,16.0
2014-06-01,1409,589,0.0
2014-07-01,1417,564,8.0
2014-08-01,1414,568,-3.0
2014-09-01,1402,622,-12.0
2014-10-01,1397,649,-5.0
2014-11-01,1404,612,7.0
2014-12-01,1411,575,7.0
2015-01-01,1411,576,0.0
2015-02-01,1411,577,0.0
2015-03-01,1416,554,5.0
2015-04-01,1412,577,-4.0
2015-05-01,1401,620,-11.0
2015-06-01,1387,694,-14.0
2015-07-01,1381,732,-6.0
2015-08-01,1374,768,-7.0
2015-09-01,1368,793,-6.0
2015-10-01,1375,757,7.0
2015-11-01,1381,721,6.0
2015-12-01,1381,724,0.0
2016-01-01,1381,720,0.0
2016-02-01,1383,705,2.0
2016-03-01,1377,738,-6.0
2016-04-01,1376,746,-1.0
2016-05-01,1363,831,-13.0
2016-06-01,1373,761,10.0
2016-07-01,1392,679,19.0
2016-08-01,1398,640,6.0
2016-09-01,1392,678,-6.0
2016-10-01,1392,674,0.0
2016-11-01,1398,652,6.0
2016-12-01,1398,657,0.0
2017-01-01,1398,661,0.0
2017-02-01,1389,691,-9.0
2017-03-01,1394,668,5.0
2017-04-01,1399,644,5.0
2017-05-01,1400,623,1.0
2017-06-01,1405,602,5.0
2017-07-01,1408,589,3.0
2017-08-01,1406,596,-2.0
2017-09-01,1410,583,4.0
2017-10-01,1406,599,-4.0
2017-11-01,1400,642,-6.0
2017-12-01,1394,673,-6.0
2018-01-01,1394,672,0.0
2018-02-01,1393,672,-1.0
2018-03-01,1397,656,4.0
2018-04-01,1374,779,-23.0
2018-05-01,1374,778,0.0
2018-06-01,1374,776,0.0
2018-07-01,1367,830,-7.0
2018-08-01,1377,764,10.0
2018-09-01,1379,754,2.0
2018-10-01,1378,754,-1.0
2018-11-01,1387,711,9.0
2018-12-01,1391,689,4.0
2019-01-01,1391,688,0.0
2019-02-01,1378,758,-13.0
2019-03-01,1376,769,-2.0
2019-04-01,1350,978,-26.0
2019-05-01,1363,854,13.0
2019-06-01,1357,897,-6.0
2019-07-01,1352,936,-5.0
2019-08-01,1355,912,3.0
2019-09-01,1352,938,-3.0
2019-10-01,1359,884,7.0
2019-11-01,1349,978,-10.0
2019-12-01,1345,1000,-4.0
2020-01-01,1345,995,0.0
2020-02-01,1348,976,3.0
2020-03-01,1348,971,0.0
2020-04-01,1348,971,0.0
2020-05-01,1348,968,0.0
2020-06-01,1348,965,0.0
2020-07-01,1333,1092,-15.0
2020-08-01,1339,1051,6.0
2020-09-01,1342,1023,3.0
2020-10-01,1323,1178,-19.0
2020-11-01,1340,1036,17.0
2020-12-01,1349,959,9.0
2021-01-01,1349,964,0.0
2021-02-01,1355,916,6.0
2021-03-01,1373,785,18.0
2021-04-01,1383,732,10.0
2021-05-01,1394,671,11.0
