Month,Points,Rank,PD
2010-01-01,1422,536,
2010-02-01,1412,564,-10.0
2010-03-01,1416,549,4.0
2010-04-01,1424,532,8.0
2010-05-01,1421,541,-3.0
2010-06-01,1421,542,0.0
2010-07-01,1422,539,1.0
2010-08-01,1415,558,-7.0
2010-09-01,1416,556,1.0
2010-10-01,1420,554,4.0
2010-11-01,1424,539,4.0
2010-12-01,1421,552,-3.0
2011-01-01,1421,553,0.0
2011-02-01,1421,550,0.0
2011-03-01,1419,546,-2.0
2011-04-01,1428,525,9.0
2011-05-01,1434,509,6.0
2011-06-01,1430,522,-4.0
2011-07-01,1422,546,-8.0
2011-08-01,1419,554,-3.0
2011-09-01,1415,569,-4.0
2011-10-01,1410,582,-5.0
2011-11-01,1408,595,-2.0
2011-12-01,1415,576,7.0
2012-01-01,1415,576,0.0
2012-02-01,1415,568,0.0
2012-03-01,1426,538,11.0
2012-04-01,1439,486,13.0
2012-05-01,1442,475,3.0
2012-06-01,1452,402,10.0
2012-07-01,1463,372,11.0
2012-08-01,1460,388,-3.0
2012-09-01,1475,338,15.0
2012-10-01,1470,355,-5.0
2012-11-01,1470,355,0.0
2012-12-01,1491,297,21.0
2013-01-01,1491,306,0.0
2013-02-01,1477,344,-14.0
2013-03-01,1476,340,-1.0
2013-04-01,1474,345,-2.0
2013-05-01,1478,337,4.0
2013-06-01,1478,330,0.0
2013-07-01,1502,243,24.0
2013-08-01,1477,344,-25.0
2013-09-01,1481,328,4.0
2013-10-01,1484,321,3.0
2013-11-01,1482,321,-2.0
2013-12-01,1491,303,9.0
2014-01-01,1491,305,0.0
2014-02-01,1488,309,-3.0
2014-03-01,1489,307,1.0
2014-04-01,1503,243,14.0
2014-05-01,1484,326,-19.0
2014-06-01,1484,323,0.0
2014-07-01,1479,335,-5.0
2014-08-01,1473,356,-6.0
2014-09-01,1464,393,-9.0
2014-10-01,1474,343,10.0
2014-11-01,1465,383,-9.0
2014-12-01,1469,369,4.0
2015-01-01,1469,369,0.0
2015-02-01,1469,364,0.0
2015-03-01,1474,342,5.0
2015-04-01,1476,332,2.0
2015-05-01,1483,327,7.0
2015-06-01,1491,304,8.0
2015-07-01,1518,213,27.0
2015-08-01,1511,231,-7.0
2015-09-01,1518,217,7.0
2015-10-01,1520,203,2.0
2015-11-01,1533,186,13.0
2015-12-01,1583,111,50.0
2016-01-01,1583,108,0.0
2016-02-01,1564,133,-19.0
2016-03-01,1564,135,0.0
2016-04-01,1563,141,-1.0
2016-05-01,1561,141,-2.0
2016-06-01,1564,138,3.0
2016-07-01,1556,149,-8.0
2016-08-01,1558,147,2.0
2016-09-01,1547,165,-11.0
2016-10-01,1535,188,-12.0
2016-11-01,1539,185,4.0
2016-12-01,1539,195,0.0
2017-01-01,1539,194,0.0
2017-02-01,1535,195,-4.0
2017-03-01,1513,244,-22.0
2017-04-01,1495,280,-18.0
2017-05-01,1485,316,-10.0
2017-06-01,1461,369,-24.0
2017-07-01,1453,404,-8.0
2017-08-01,1454,410,1.0
2017-09-01,1459,378,5.0
2017-10-01,1443,438,-16.0
2017-11-01,1452,403,9.0
2017-12-01,1449,428,-3.0
2018-01-01,1449,428,0.0
2018-02-01,1451,415,2.0
2018-03-01,1464,354,13.0
2018-04-01,1491,298,27.0
2018-05-01,1494,285,3.0
2018-06-01,1494,283,0.0
2018-07-01,1487,308,-7.0
2018-08-01,1491,290,4.0
2018-09-01,1479,327,-12.0
2018-10-01,1459,375,-20.0
2018-11-01,1439,455,-20.0
2018-12-01,1439,458,0.0
2019-01-01,1439,453,0.0
2019-02-01,1437,465,-2.0
2019-03-01,1448,420,11.0
2019-04-01,1466,354,18.0
2019-05-01,1479,323,13.0
2019-06-01,1484,320,5.0
2019-07-01,1493,293,9.0
2019-08-01,1504,272,11.0
2019-09-01,1494,293,-10.0
2019-10-01,1502,282,8.0
2019-11-01,1492,305,-10.0
2019-12-01,1494,304,2.0
2020-01-01,1494,308,0.0
2020-02-01,1502,289,8.0
2020-03-01,1502,289,0.0
2020-04-01,1502,288,0.0
2020-05-01,1502,288,0.0
2020-06-01,1502,285,0.0
2020-07-01,1491,317,-11.0
2020-08-01,1489,330,-2.0
2020-09-01,1487,332,-2.0
2020-10-01,1492,313,5.0
2020-11-01,1493,309,1.0
2020-12-01,1477,344,-16.0
2021-01-01,1477,338,0.0
2021-02-01,1474,352,-3.0
2021-03-01,1488,321,14.0
2021-04-01,1474,350,-14.0
2021-05-01,1470,363,-4.0
