Month,Points,Rank,PD
2010-01-01,1370,731,
2010-02-01,1370,730,0.0
2010-03-01,1381,693,11.0
2010-04-01,1400,636,19.0
2010-05-01,1400,603,0.0
2010-06-01,1400,604,0.0
2010-07-01,1405,592,5.0
2010-08-01,1407,585,2.0
2010-09-01,1390,675,-17.0
2010-10-01,1392,665,2.0
2010-11-01,1401,613,9.0
2010-12-01,1392,674,-9.0
2011-01-01,1392,673,0.0
2011-02-01,1392,669,0.0
2011-03-01,1385,700,-7.0
2011-04-01,1389,689,4.0
2011-05-01,1382,721,-7.0
2011-06-01,1393,675,11.0
2011-07-01,1392,681,-1.0
2011-08-01,1390,686,-2.0
2011-09-01,1391,688,1.0
2011-10-01,1404,612,13.0
2011-11-01,1393,680,-11.0
2011-12-01,1386,704,-7.0
2012-01-01,1386,711,0.0
2012-02-01,1386,702,0.0
2012-03-01,1388,709,2.0
2012-04-01,1399,657,11.0
2012-05-01,1408,600,9.0
2012-06-01,1397,662,-11.0
2012-07-01,1382,725,-15.0
2012-08-01,1391,687,9.0
2012-09-01,1399,648,8.0
2012-10-01,1411,591,12.0
2012-11-01,1391,691,-20.0
2012-12-01,1389,699,-2.0
2013-01-01,1389,697,0.0
2013-02-01,1389,697,0.0
2013-03-01,1368,800,-21.0
2013-04-01,1384,717,16.0
2013-05-01,1381,732,-3.0
2013-06-01,1381,737,0.0
2013-07-01,1380,746,-1.0
2013-08-01,1374,764,-6.0
2013-09-01,1379,745,5.0
2013-10-01,1386,711,7.0
2013-11-01,1392,683,6.0
2013-12-01,1386,703,-6.0
2014-01-01,1386,709,0.0
2014-02-01,1386,705,0.0
2014-03-01,1376,755,-10.0
2014-04-01,1396,665,20.0
2014-05-01,1388,698,-8.0
2014-06-01,1388,697,0.0
2014-07-01,1382,717,-6.0
2014-08-01,1370,786,-12.0
2014-09-01,1344,1020,-26.0
2014-10-01,1347,1005,3.0
2014-11-01,1351,888,4.0
2014-12-01,1350,986,-1.0
2015-01-01,1350,986,0.0
2015-02-01,1350,984,0.0
2015-03-01,1352,882,2.0
2015-04-01,1335,1086,-17.0
2015-05-01,1340,1057,5.0
2015-06-01,1326,1151,-14.0
2015-07-01,1324,1171,-2.0
2015-08-01,1315,1227,-9.0
2015-09-01,1304,1327,-11.0
2015-10-01,1287,1649,-17.0
2015-11-01,1295,1579,8.0
2015-12-01,1295,1567,0.0
2016-01-01,1295,1572,0.0
2016-02-01,1295,1577,0.0
2016-03-01,1295,1575,0.0
2016-04-01,1295,1566,0.0
2016-05-01,1295,1561,0.0
2016-06-01,1295,1564,0.0
2016-07-01,1295,1569,0.0
2016-08-01,1295,1570,0.0
2016-09-01,1295,1561,0.0
2016-10-01,1295,1554,0.0
2016-11-01,1295,1555,0.0
2016-12-01,1295,1553,0.0
2017-01-01,1295,1553,0.0
2017-02-01,1290,1609,-5.0
2017-03-01,1306,1323,16.0
2017-04-01,1306,1327,0.0
2017-05-01,1306,1321,0.0
2017-06-01,1307,1312,1.0
2017-07-01,1319,1220,12.0
2017-08-01,1310,1285,-9.0
2017-09-01,1306,1328,-4.0
2017-10-01,1302,1364,-4.0
2017-11-01,1285,1642,-17.0
2017-12-01,1297,1517,12.0
2018-01-01,1297,1520,0.0
2018-02-01,1300,1481,3.0
2018-03-01,1320,1219,20.0
2018-04-01,1321,1214,1.0
2018-05-01,1316,1250,-5.0
2018-06-01,1316,1250,0.0
2018-07-01,1334,1091,18.0
2018-08-01,1339,1055,5.0
2018-09-01,1352,922,13.0
2018-10-01,1368,810,16.0
2018-11-01,1372,786,4.0
2018-12-01,1373,781,1.0
2019-01-01,1373,781,0.0
2019-02-01,1375,774,2.0
2019-03-01,1351,932,-24.0
2019-04-01,1354,917,3.0
2019-05-01,1349,988,-5.0
2019-06-01,1356,904,7.0
2019-07-01,1349,978,-7.0
2019-08-01,1348,977,-1.0
2019-09-01,1359,892,11.0
2019-10-01,1352,931,-7.0
2019-11-01,1337,1059,-15.0
2019-12-01,1340,1034,3.0
2020-01-01,1340,1032,0.0
2020-02-01,1334,1083,-6.0
2020-03-01,1334,1085,0.0
2020-04-01,1334,1085,0.0
2020-05-01,1334,1086,0.0
2020-06-01,1334,1089,0.0
2020-07-01,1323,1185,-11.0
2020-08-01,1328,1140,5.0
2020-09-01,1320,1210,-8.0
2020-10-01,1311,1290,-9.0
2020-11-01,1329,1126,18.0
2020-12-01,1335,1068,6.0
2021-01-01,1335,1070,0.0
2021-02-01,1348,968,13.0
2021-03-01,1347,971,-1.0
2021-04-01,1329,1131,-18.0
2021-05-01,1318,1240,-11.0
