Month,Points,Rank,PD
2010-01-01,1300,1276,
2010-02-01,1300,1272,0.0
2010-03-01,1295,1727,-5.0
2010-04-01,1293,1738,-2.0
2010-05-01,1283,1785,-10.0
2010-06-01,1283,1784,0.0
2010-07-01,1279,1792,-4.0
2010-08-01,1254,1923,-25.0
2010-09-01,1245,2550,-9.0
2010-10-01,1240,2577,-5.0
2010-11-01,1214,2653,-26.0
2010-12-01,1211,2653,-3.0
2011-01-01,1211,2653,0.0
2011-02-01,1211,2652,0.0
2011-03-01,1211,2652,0.0
2011-04-01,1211,2648,0.0
2011-05-01,1211,2649,0.0
2011-06-01,1211,2646,0.0
2011-07-01,1211,2646,0.0
2011-08-01,1211,2643,0.0
2011-09-01,1211,2642,0.0
2011-10-01,1211,2642,0.0
2011-11-01,1211,2642,0.0
2011-12-01,1211,2642,0.0
2012-01-01,1211,2642,0.0
2012-02-01,1211,2632,0.0
2012-03-01,1211,2634,0.0
2012-04-01,1211,2631,0.0
2012-05-01,1211,2628,0.0
2012-06-01,1211,2627,0.0
2012-07-01,1211,2626,0.0
2012-08-01,1211,2625,0.0
2012-09-01,1211,2625,0.0
2012-10-01,1211,2627,0.0
2012-11-01,1211,2625,0.0
2012-12-01,1211,2627,0.0
2013-01-01,1211,2624,0.0
2013-02-01,1211,2623,0.0
2013-03-01,1210,2625,-1.0
2013-04-01,1209,2626,-1.0
2013-05-01,1203,2636,-6.0
2013-06-01,1203,2634,0.0
2013-07-01,1213,2614,10.0
2013-08-01,1208,2629,-5.0
2013-09-01,1214,2608,6.0
2013-10-01,1213,2608,-1.0
2013-11-01,1208,2624,-5.0
2013-12-01,1203,2630,-5.0
2014-01-01,1203,2625,0.0
2014-02-01,1203,2627,0.0
2014-03-01,1203,2626,0.0
2014-04-01,1203,2621,0.0
2014-05-01,1203,2618,0.0
2014-06-01,1203,2617,0.0
2014-07-01,1203,2617,0.0
2014-08-01,1203,2618,0.0
2014-09-01,1203,2614,0.0
2014-10-01,1203,2614,0.0
2014-11-01,1203,2612,0.0
2014-12-01,1203,2611,0.0
2015-01-01,1203,2610,0.0
2015-02-01,1203,2611,0.0
2015-03-01,1209,2599,6.0
2015-04-01,1217,2574,8.0
2015-05-01,1238,2407,21.0
2015-06-01,1237,2415,-1.0
2015-07-01,1254,1951,17.0
2015-08-01,1265,1836,11.0
2015-09-01,1268,1805,3.0
2015-10-01,1277,1732,9.0
2015-11-01,1285,1667,8.0
2015-12-01,1285,1667,0.0
2016-01-01,1285,1670,0.0
2016-02-01,1280,1709,-5.0
2016-03-01,1282,1689,2.0
2016-04-01,1270,1787,-12.0
2016-05-01,1270,1788,0.0
2016-06-01,1278,1726,8.0
2016-07-01,1265,1843,-13.0
2016-08-01,1256,1938,-9.0
2016-09-01,1246,2242,-10.0
2016-10-01,1250,2021,4.0
2016-11-01,1262,1878,12.0
2016-12-01,1262,1881,0.0
2017-01-01,1262,1879,0.0
2017-02-01,1262,1880,0.0
2017-03-01,1262,1879,0.0
2017-04-01,1262,1881,0.0
2017-05-01,1262,1877,0.0
2017-06-01,1262,1881,0.0
2017-07-01,1262,1877,0.0
2017-08-01,1262,1880,0.0
2017-09-01,1262,1874,0.0
2017-10-01,1262,1872,0.0
2017-11-01,1262,1867,0.0
2017-12-01,1262,1868,0.0
2018-01-01,1262,1870,0.0
2018-02-01,1266,1829,4.0
2018-03-01,1268,1806,2.0
2018-04-01,1284,1645,16.0
2018-05-01,1273,1755,-11.0
2018-06-01,1273,1753,0.0
2018-07-01,1287,1616,14.0
2018-08-01,1297,1495,10.0
2018-09-01,1299,1466,2.0
2018-10-01,1303,1358,4.0
2018-11-01,1307,1330,4.0
2018-12-01,1309,1319,2.0
2019-01-01,1309,1315,0.0
2019-02-01,1315,1270,6.0
2019-03-01,1324,1192,9.0
2019-04-01,1322,1212,-2.0
2019-05-01,1314,1285,-8.0
2019-06-01,1302,1385,-12.0
2019-07-01,1315,1283,13.0
2019-08-01,1324,1192,9.0
2019-09-01,1308,1317,-16.0
2019-10-01,1300,1437,-8.0
2019-11-01,1300,1437,0.0
2019-12-01,1301,1393,1.0
2020-01-01,1301,1393,0.0
2020-02-01,1297,1469,-4.0
2020-03-01,1297,1470,0.0
2020-04-01,1297,1471,0.0
2020-05-01,1297,1473,0.0
2020-06-01,1297,1475,0.0
2020-07-01,1293,1512,-4.0
2020-08-01,1277,1679,-16.0
2020-09-01,1273,1710,-4.0
2020-10-01,1277,1677,4.0
2020-11-01,1296,1466,19.0
2020-12-01,1291,1530,-5.0
2021-01-01,1291,1522,0.0
2021-02-01,1285,1597,-6.0
2021-03-01,1287,1569,2.0
2021-04-01,1302,1394,15.0
2021-05-01,1300,1416,-2.0
