Month,Points,Rank,PD
2010-01-01,1300,1276,
2010-02-01,1300,1272,0.0
2010-03-01,1300,1273,0.0
2010-04-01,1300,1274,0.0
2010-05-01,1300,1273,0.0
2010-06-01,1300,1274,0.0
2010-07-01,1300,1283,0.0
2010-08-01,1300,1282,0.0
2010-09-01,1300,1281,0.0
2010-10-01,1300,1281,0.0
2010-11-01,1300,1286,0.0
2010-12-01,1300,1287,0.0
2011-01-01,1300,1289,0.0
2011-02-01,1300,1281,0.0
2011-03-01,1300,1278,0.0
2011-04-01,1300,1281,0.0
2011-05-01,1300,1272,0.0
2011-06-01,1300,1276,0.0
2011-07-01,1300,1279,0.0
2011-08-01,1300,1286,0.0
2011-09-01,1300,1293,0.0
2011-10-01,1300,1289,0.0
2011-11-01,1300,1286,0.0
2011-12-01,1300,1276,0.0
2012-01-01,1300,1281,0.0
2012-02-01,1300,1281,0.0
2012-03-01,1300,1279,0.0
2012-04-01,1300,1282,0.0
2012-05-01,1300,1276,0.0
2012-06-01,1300,1280,0.0
2012-07-01,1300,1284,0.0
2012-08-01,1300,1290,0.0
2012-09-01,1300,1288,0.0
2012-10-01,1300,1287,0.0
2012-11-01,1300,1285,0.0
2012-12-01,1300,1287,0.0
2013-01-01,1300,1286,0.0
2013-02-01,1300,1285,0.0
2013-03-01,1300,1287,0.0
2013-04-01,1300,1292,0.0
2013-05-01,1300,1292,0.0
2013-06-01,1300,1297,0.0
2013-07-01,1300,1309,0.0
2013-08-01,1300,1311,0.0
2013-09-01,1300,1308,0.0
2013-10-01,1300,1316,0.0
2013-11-01,1300,1322,0.0
2013-12-01,1300,1323,0.0
2014-01-01,1300,1323,0.0
2014-02-01,1300,1326,0.0
2014-03-01,1277,1731,-23.0
2014-04-01,1260,1885,-17.0
2014-05-01,1251,1952,-9.0
2014-06-01,1251,1957,0.0
2014-07-01,1261,1872,10.0
2014-08-01,1256,1925,-5.0
2014-09-01,1237,2440,-19.0
2014-10-01,1228,2494,-9.0
2014-11-01,1221,2552,-7.0
2014-12-01,1223,2527,2.0
2015-01-01,1223,2525,0.0
2015-02-01,1223,2523,0.0
2015-03-01,1223,2522,0.0
2015-04-01,1223,2517,0.0
2015-05-01,1223,2514,0.0
2015-06-01,1223,2513,0.0
2015-07-01,1223,2511,0.0
2015-08-01,1223,2513,0.0
2015-09-01,1223,2507,0.0
2015-10-01,1223,2506,0.0
2015-11-01,1223,2505,0.0
2015-12-01,1223,2501,0.0
2016-01-01,1223,2499,0.0
2016-02-01,1223,2498,0.0
2016-03-01,1223,2493,0.0
2016-04-01,1223,2491,0.0
2016-05-01,1223,2488,0.0
2016-06-01,1223,2487,0.0
2016-07-01,1223,2485,0.0
2016-08-01,1223,2487,0.0
2016-09-01,1223,2483,0.0
2016-10-01,1223,2480,0.0
2016-11-01,1223,2480,0.0
2016-12-01,1223,2479,0.0
2017-01-01,1223,2478,0.0
2017-02-01,1223,2473,0.0
2017-03-01,1223,2473,0.0
2017-04-01,1223,2470,0.0
2017-05-01,1223,2469,0.0
2017-06-01,1223,2468,0.0
2017-07-01,1223,2470,0.0
2017-08-01,1223,2471,0.0
2017-09-01,1223,2465,0.0
2017-10-01,1223,2463,0.0
2017-11-01,1223,2467,0.0
2017-12-01,1223,2466,0.0
2018-01-01,1223,2462,0.0
2018-02-01,1223,2455,0.0
2018-03-01,1223,2451,0.0
2018-04-01,1223,2448,0.0
2018-05-01,1223,2443,0.0
2018-06-01,1223,2442,0.0
2018-07-01,1223,2443,0.0
2018-08-01,1223,2442,0.0
2018-09-01,1223,2438,0.0
2018-10-01,1223,2440,0.0
2018-11-01,1223,2438,0.0
2018-12-01,1223,2434,0.0
2019-01-01,1223,2432,0.0
2019-02-01,1223,2438,0.0
2019-03-01,1223,2435,0.0
2019-04-01,1223,2434,0.0
2019-05-01,1223,2435,0.0
2019-06-01,1223,2435,0.0
2019-07-01,1223,2434,0.0
2019-08-01,1223,2434,0.0
2019-09-01,1223,2428,0.0
2019-10-01,1223,2428,0.0
2019-11-01,1223,2428,0.0
2019-12-01,1223,2426,0.0
2020-01-01,1223,2425,0.0
2020-02-01,1223,2421,0.0
2020-03-01,1223,2419,0.0
2020-04-01,1223,2417,0.0
2020-05-01,1223,2417,0.0
2020-06-01,1223,2415,0.0
2020-07-01,1223,2416,0.0
2020-08-01,1223,2417,0.0
2020-09-01,1223,2410,0.0
2020-10-01,1223,2410,0.0
2020-11-01,1223,2412,0.0
2020-12-01,1223,2411,0.0
2021-01-01,1223,2409,0.0
2021-02-01,1226,2367,3.0
2021-03-01,1222,2411,-4.0
2021-04-01,1242,2183,20.0
2021-05-01,1242,2179,0.0
