Month,Points,Rank,PD
2010-01-01,1350,816,
2010-02-01,1350,809,0.0
2010-03-01,1359,766,9.0
2010-04-01,1348,1031,-11.0
2010-05-01,1344,1061,-4.0
2010-06-01,1344,1058,0.0
2010-07-01,1332,1106,-12.0
2010-08-01,1334,1097,2.0
2010-09-01,1345,1048,11.0
2010-10-01,1352,817,7.0
2010-11-01,1342,1056,-10.0
2010-12-01,1342,1057,0.0
2011-01-01,1342,1054,0.0
2011-02-01,1342,1055,0.0
2011-03-01,1344,1038,2.0
2011-04-01,1355,825,11.0
2011-05-01,1365,783,10.0
2011-06-01,1374,747,9.0
2011-07-01,1359,820,-15.0
2011-08-01,1368,774,9.0
2011-09-01,1389,696,21.0
2011-10-01,1401,626,12.0
2011-11-01,1398,660,-3.0
2011-12-01,1403,622,5.0
2012-01-01,1403,626,0.0
2012-02-01,1403,618,0.0
2012-03-01,1429,520,26.0
2012-04-01,1445,466,16.0
2012-05-01,1445,461,0.0
2012-06-01,1446,453,1.0
2012-07-01,1451,404,5.0
2012-08-01,1449,444,-2.0
2012-09-01,1445,459,-4.0
2012-10-01,1451,410,6.0
2012-11-01,1444,464,-7.0
2012-12-01,1435,491,-9.0
2013-01-01,1435,488,0.0
2013-02-01,1434,497,-1.0
2013-03-01,1435,497,1.0
2013-04-01,1430,508,-5.0
2013-05-01,1431,504,1.0
2013-06-01,1431,503,0.0
2013-07-01,1425,528,-6.0
2013-08-01,1421,537,-4.0
2013-09-01,1433,500,12.0
2013-10-01,1434,500,1.0
2013-11-01,1421,540,-13.0
2013-12-01,1416,566,-5.0
2014-01-01,1416,560,0.0
2014-02-01,1416,562,0.0
2014-03-01,1394,676,-22.0
2014-04-01,1383,717,-11.0
2014-05-01,1404,614,21.0
2014-06-01,1404,619,0.0
2014-07-01,1399,652,-5.0
2014-08-01,1391,685,-8.0
2014-09-01,1382,723,-9.0
2014-10-01,1390,681,8.0
2014-11-01,1393,664,3.0
2014-12-01,1389,683,-4.0
2015-01-01,1389,683,0.0
2015-02-01,1389,684,0.0
2015-03-01,1393,667,4.0
2015-04-01,1383,716,-10.0
2015-05-01,1385,706,2.0
2015-06-01,1401,622,16.0
2015-07-01,1381,733,-20.0
2015-08-01,1372,776,-9.0
2015-09-01,1376,748,4.0
2015-10-01,1367,792,-9.0
2015-11-01,1361,835,-6.0
2015-12-01,1361,837,0.0
2016-01-01,1361,829,0.0
2016-02-01,1369,782,8.0
2016-03-01,1367,793,-2.0
2016-04-01,1347,1012,-20.0
2016-05-01,1357,863,10.0
2016-06-01,1372,767,15.0
2016-07-01,1359,863,-13.0
2016-08-01,1364,824,5.0
2016-09-01,1354,892,-10.0
2016-10-01,1366,830,12.0
2016-11-01,1358,864,-8.0
2016-12-01,1358,848,0.0
2017-01-01,1358,854,0.0
2017-02-01,1360,849,2.0
2017-03-01,1365,823,5.0
2017-04-01,1364,835,-1.0
2017-05-01,1358,872,-6.0
2017-06-01,1357,875,-1.0
2017-07-01,1348,993,-9.0
2017-08-01,1350,930,2.0
2017-09-01,1369,812,19.0
2017-10-01,1363,842,-6.0
2017-11-01,1369,805,6.0
2017-12-01,1365,835,-4.0
2018-01-01,1365,837,0.0
2018-02-01,1370,803,5.0
2018-03-01,1376,771,6.0
2018-04-01,1369,810,-7.0
2018-05-01,1375,772,6.0
2018-06-01,1375,770,0.0
2018-07-01,1370,800,-5.0
2018-08-01,1380,751,10.0
2018-09-01,1374,776,-6.0
2018-10-01,1369,805,-5.0
2018-11-01,1367,821,-2.0
2018-12-01,1364,838,-3.0
2019-01-01,1364,843,0.0
2019-02-01,1364,838,0.0
2019-03-01,1341,1050,-23.0
2019-04-01,1344,1027,3.0
2019-05-01,1339,1068,-5.0
2019-06-01,1362,859,23.0
2019-07-01,1357,898,-5.0
2019-08-01,1354,921,-3.0
2019-09-01,1364,855,10.0
2019-10-01,1366,843,2.0
2019-11-01,1366,843,0.0
2019-12-01,1364,849,-2.0
2020-01-01,1364,849,0.0
2020-02-01,1362,866,-2.0
2020-03-01,1362,865,0.0
2020-04-01,1362,865,0.0
2020-05-01,1362,863,0.0
2020-06-01,1362,866,0.0
2020-07-01,1354,917,-8.0
2020-08-01,1358,886,4.0
2020-09-01,1335,1079,-23.0
2020-10-01,1322,1199,-13.0
2020-11-01,1328,1142,6.0
2020-12-01,1335,1072,7.0
2021-01-01,1335,1074,0.0
2021-02-01,1338,1055,3.0
2021-03-01,1318,1236,-20.0
2021-04-01,1305,1357,-13.0
2021-05-01,1316,1264,11.0
