Month,Points,Rank,PD
2010-01-01,1300,1276,
2010-02-01,1300,1272,0.0
2010-03-01,1300,1273,0.0
2010-04-01,1300,1274,0.0
2010-05-01,1300,1273,0.0
2010-06-01,1300,1274,0.0
2010-07-01,1300,1283,0.0
2010-08-01,1300,1282,0.0
2010-09-01,1300,1281,0.0
2010-10-01,1300,1281,0.0
2010-11-01,1300,1286,0.0
2010-12-01,1300,1287,0.0
2011-01-01,1300,1289,0.0
2011-02-01,1300,1281,0.0
2011-03-01,1294,1685,-6.0
2011-04-01,1290,1702,-4.0
2011-05-01,1297,1659,7.0
2011-06-01,1289,1700,-8.0
2011-07-01,1285,1725,-4.0
2011-08-01,1278,1750,-7.0
2011-09-01,1289,1690,11.0
2011-10-01,1296,1646,7.0
2011-11-01,1297,1629,1.0
2011-12-01,1293,1652,-4.0
2012-01-01,1293,1647,0.0
2012-02-01,1293,1647,0.0
2012-03-01,1293,1642,0.0
2012-04-01,1293,1643,0.0
2012-05-01,1293,1645,0.0
2012-06-01,1293,1643,0.0
2012-07-01,1293,1633,0.0
2012-08-01,1293,1633,0.0
2012-09-01,1293,1623,0.0
2012-10-01,1293,1614,0.0
2012-11-01,1293,1620,0.0
2012-12-01,1293,1619,0.0
2013-01-01,1293,1615,0.0
2013-02-01,1293,1611,0.0
2013-03-01,1290,1634,-3.0
2013-04-01,1312,1198,22.0
2013-05-01,1298,1584,-14.0
2013-06-01,1298,1592,0.0
2013-07-01,1275,1745,-23.0
2013-08-01,1293,1616,18.0
2013-09-01,1304,1271,11.0
2013-10-01,1302,1293,-2.0
2013-11-01,1310,1233,8.0
2013-12-01,1309,1238,-1.0
2014-01-01,1309,1240,0.0
2014-02-01,1309,1241,0.0
2014-03-01,1313,1219,4.0
2014-04-01,1314,1218,1.0
2014-05-01,1319,1182,5.0
2014-06-01,1319,1184,0.0
2014-07-01,1319,1180,0.0
2014-08-01,1315,1208,-4.0
2014-09-01,1326,1136,11.0
2014-10-01,1331,1110,5.0
2014-11-01,1350,893,19.0
2014-12-01,1352,882,2.0
2015-01-01,1352,886,0.0
2015-02-01,1352,886,0.0
2015-03-01,1346,1006,-6.0
2015-04-01,1318,1201,-28.0
2015-05-01,1335,1090,17.0
2015-06-01,1345,1017,10.0
2015-07-01,1346,1016,1.0
2015-08-01,1345,1022,-1.0
2015-09-01,1340,1058,-5.0
2015-10-01,1338,1072,-2.0
2015-11-01,1332,1104,-6.0
2015-12-01,1332,1111,0.0
2016-01-01,1332,1110,0.0
2016-02-01,1342,1037,10.0
2016-03-01,1332,1110,-10.0
2016-04-01,1338,1077,6.0
2016-05-01,1325,1161,-13.0
2016-06-01,1325,1167,0.0
2016-07-01,1313,1259,-12.0
2016-08-01,1323,1184,10.0
2016-09-01,1318,1225,-5.0
2016-10-01,1311,1272,-7.0
2016-11-01,1306,1320,-5.0
2016-12-01,1306,1319,0.0
2017-01-01,1306,1315,0.0
2017-02-01,1309,1296,3.0
2017-03-01,1309,1298,0.0
2017-04-01,1314,1249,5.0
2017-05-01,1311,1287,-3.0
2017-06-01,1303,1345,-8.0
2017-07-01,1298,1505,-5.0
2017-08-01,1302,1369,4.0
2017-09-01,1308,1314,6.0
2017-10-01,1301,1386,-7.0
2017-11-01,1299,1492,-2.0
2017-12-01,1303,1350,4.0
2018-01-01,1303,1353,0.0
2018-02-01,1303,1349,0.0
2018-03-01,1303,1355,0.0
2018-04-01,1303,1357,0.0
2018-05-01,1303,1350,0.0
2018-06-01,1303,1349,0.0
2018-07-01,1303,1352,0.0
2018-08-01,1303,1352,0.0
2018-09-01,1303,1353,0.0
2018-10-01,1303,1354,0.0
2018-11-01,1303,1361,0.0
2018-12-01,1303,1367,0.0
2019-01-01,1303,1367,0.0
2019-02-01,1303,1365,0.0
2019-03-01,1303,1367,0.0
2019-04-01,1303,1363,0.0
2019-05-01,1303,1366,0.0
2019-06-01,1303,1366,0.0
2019-07-01,1303,1370,0.0
2019-08-01,1303,1368,0.0
2019-09-01,1303,1365,0.0
2019-10-01,1303,1359,0.0
2019-11-01,1303,1359,0.0
2019-12-01,1303,1351,0.0
2020-01-01,1303,1352,0.0
2020-02-01,1303,1351,0.0
2020-03-01,1303,1354,0.0
2020-04-01,1303,1356,0.0
2020-05-01,1303,1355,0.0
2020-06-01,1303,1357,0.0
2020-07-01,1303,1358,0.0
2020-08-01,1303,1360,0.0
2020-09-01,1303,1363,0.0
2020-10-01,1303,1364,0.0
2020-11-01,1303,1362,0.0
2020-12-01,1303,1360,0.0
2021-01-01,1303,1368,0.0
2021-02-01,1303,1374,0.0
2021-03-01,1303,1373,0.0
2021-04-01,1303,1370,0.0
2021-05-01,1303,1369,0.0
