Month,Points,Rank,PD
2010-01-01,1306,1236,
2010-02-01,1306,1235,0.0
2010-03-01,1304,1250,-2.0
2010-04-01,1296,1727,-8.0
2010-05-01,1297,1720,1.0
2010-06-01,1297,1719,0.0
2010-07-01,1297,1706,0.0
2010-08-01,1296,1691,-1.0
2010-09-01,1294,1704,-2.0
2010-10-01,1293,1710,-1.0
2010-11-01,1311,1210,18.0
2010-12-01,1324,1144,13.0
2011-01-01,1324,1143,0.0
2011-02-01,1324,1144,0.0
2011-03-01,1328,1126,4.0
2011-04-01,1323,1145,-5.0
2011-05-01,1338,1075,15.0
2011-06-01,1326,1122,-12.0
2011-07-01,1329,1104,3.0
2011-08-01,1340,1060,11.0
2011-09-01,1340,1063,0.0
2011-10-01,1340,1059,0.0
2011-11-01,1363,807,23.0
2011-12-01,1359,829,-4.0
2012-01-01,1359,830,0.0
2012-02-01,1359,825,0.0
2012-03-01,1352,854,-7.0
2012-04-01,1344,1031,-8.0
2012-05-01,1347,1019,3.0
2012-06-01,1368,784,21.0
2012-07-01,1363,805,-5.0
2012-08-01,1369,787,6.0
2012-09-01,1352,864,-17.0
2012-10-01,1355,854,3.0
2012-11-01,1354,858,-1.0
2012-12-01,1349,1010,-5.0
2013-01-01,1349,1013,0.0
2013-02-01,1349,1004,0.0
2013-03-01,1349,996,0.0
2013-04-01,1349,1006,0.0
2013-05-01,1349,995,0.0
2013-06-01,1349,1000,0.0
2013-07-01,1349,993,0.0
2013-08-01,1349,990,0.0
2013-09-01,1349,988,0.0
2013-10-01,1349,981,0.0
2013-11-01,1349,982,0.0
2013-12-01,1349,978,0.0
2014-01-01,1349,977,0.0
2014-02-01,1349,980,0.0
2014-03-01,1361,820,12.0
2014-04-01,1386,707,25.0
2014-05-01,1387,702,1.0
2014-06-01,1387,702,0.0
2014-07-01,1372,764,-15.0
2014-08-01,1386,700,14.0
2014-09-01,1388,689,2.0
2014-10-01,1382,722,-6.0
2014-11-01,1370,784,-12.0
2014-12-01,1365,813,-5.0
2015-01-01,1365,814,0.0
2015-02-01,1365,819,0.0
2015-03-01,1355,876,-10.0
2015-04-01,1372,781,17.0
2015-05-01,1359,849,-13.0
2015-06-01,1362,827,3.0
2015-07-01,1365,805,3.0
2015-08-01,1373,771,8.0
2015-09-01,1358,841,-15.0
2015-10-01,1353,888,-5.0
2015-11-01,1352,902,-1.0
2015-12-01,1352,906,0.0
2016-01-01,1352,897,0.0
2016-02-01,1342,1038,-10.0
2016-03-01,1353,894,11.0
2016-04-01,1350,919,-3.0
2016-05-01,1357,869,7.0
2016-06-01,1356,884,-1.0
2016-07-01,1365,821,9.0
2016-08-01,1383,727,18.0
2016-09-01,1396,660,13.0
2016-10-01,1404,618,8.0
2016-11-01,1411,584,7.0
2016-12-01,1411,589,0.0
2017-01-01,1411,587,0.0
2017-02-01,1416,561,5.0
2017-03-01,1429,503,13.0
2017-04-01,1413,569,-16.0
2017-05-01,1417,550,4.0
2017-06-01,1411,579,-6.0
2017-07-01,1420,537,9.0
2017-08-01,1405,604,-15.0
2017-09-01,1422,525,17.0
2017-10-01,1423,527,1.0
2017-11-01,1412,566,-11.0
2017-12-01,1400,638,-12.0
2018-01-01,1400,639,0.0
2018-02-01,1402,628,2.0
2018-03-01,1398,647,-4.0
2018-04-01,1409,587,11.0
2018-05-01,1419,536,10.0
2018-06-01,1419,539,0.0
2018-07-01,1413,570,-6.0
2018-08-01,1414,565,1.0
2018-09-01,1395,662,-19.0
2018-10-01,1390,699,-5.0
2018-11-01,1395,674,5.0
2018-12-01,1398,646,3.0
2019-01-01,1398,647,0.0
2019-02-01,1395,661,-3.0
2019-03-01,1412,570,17.0
2019-04-01,1392,691,-20.0
2019-05-01,1384,723,-8.0
2019-06-01,1395,659,11.0
2019-07-01,1376,769,-19.0
2019-08-01,1390,686,14.0
2019-09-01,1401,629,11.0
2019-10-01,1388,709,-13.0
2019-11-01,1403,635,15.0
2019-12-01,1408,597,5.0
2020-01-01,1408,598,0.0
2020-02-01,1420,545,12.0
2020-03-01,1420,547,0.0
2020-04-01,1420,547,0.0
2020-05-01,1420,547,0.0
2020-06-01,1420,542,0.0
2020-07-01,1413,581,-7.0
2020-08-01,1410,596,-3.0
2020-09-01,1411,592,1.0
2020-10-01,1408,597,-3.0
2020-11-01,1385,719,-23.0
2020-12-01,1382,740,-3.0
2021-01-01,1382,738,0.0
2021-02-01,1387,711,5.0
2021-03-01,1395,660,8.0
2021-04-01,1406,612,11.0
2021-05-01,1410,600,4.0
