Month,Points,Rank,PD
2010-01-01,1425,523,
2010-02-01,1425,524,0.0
2010-03-01,1430,519,5.0
2010-04-01,1421,538,-9.0
2010-05-01,1421,540,0.0
2010-06-01,1421,541,0.0
2010-07-01,1411,568,-10.0
2010-08-01,1425,529,14.0
2010-09-01,1429,511,4.0
2010-10-01,1432,512,3.0
2010-11-01,1425,535,-7.0
2010-12-01,1414,571,-11.0
2011-01-01,1414,569,0.0
2011-02-01,1414,569,0.0
2011-03-01,1416,557,2.0
2011-04-01,1428,524,12.0
2011-05-01,1439,488,11.0
2011-06-01,1442,475,3.0
2011-07-01,1457,393,15.0
2011-08-01,1450,452,-7.0
2011-09-01,1442,483,-8.0
2011-10-01,1426,540,-16.0
2011-11-01,1419,560,-7.0
2011-12-01,1418,565,-1.0
2012-01-01,1418,563,0.0
2012-02-01,1418,560,0.0
2012-03-01,1405,613,-13.0
2012-04-01,1404,623,-1.0
2012-05-01,1422,548,18.0
2012-06-01,1426,532,4.0
2012-07-01,1437,490,11.0
2012-08-01,1433,500,-4.0
2012-09-01,1427,519,-6.0
2012-10-01,1434,495,7.0
2012-11-01,1439,484,5.0
2012-12-01,1441,468,2.0
2013-01-01,1441,465,0.0
2013-02-01,1441,473,0.0
2013-03-01,1460,390,19.0
2013-04-01,1464,378,4.0
2013-05-01,1468,359,4.0
2013-06-01,1468,359,0.0
2013-07-01,1469,358,1.0
2013-08-01,1479,335,10.0
2013-09-01,1481,330,2.0
2013-10-01,1486,315,5.0
2013-11-01,1472,346,-14.0
2013-12-01,1468,363,-4.0
2014-01-01,1468,362,0.0
2014-02-01,1461,388,-7.0
2014-03-01,1451,427,-10.0
2014-04-01,1440,481,-11.0
2014-05-01,1450,450,10.0
2014-06-01,1450,451,0.0
2014-07-01,1457,396,7.0
2014-08-01,1468,370,11.0
2014-09-01,1455,423,-13.0
2014-10-01,1456,419,1.0
2014-11-01,1458,404,2.0
2014-12-01,1459,397,1.0
2015-01-01,1459,400,0.0
2015-02-01,1459,392,0.0
2015-03-01,1454,408,-5.0
2015-04-01,1451,427,-3.0
2015-05-01,1465,378,14.0
2015-06-01,1453,422,-12.0
2015-07-01,1434,482,-19.0
2015-08-01,1462,391,28.0
2015-09-01,1464,378,2.0
2015-10-01,1481,330,17.0
2015-11-01,1472,358,-9.0
2015-12-01,1472,353,0.0
2016-01-01,1472,355,0.0
2016-02-01,1464,381,-8.0
2016-03-01,1470,361,6.0
2016-04-01,1471,360,1.0
2016-05-01,1469,365,-2.0
2016-06-01,1461,386,-8.0
2016-07-01,1463,383,2.0
2016-08-01,1462,375,-1.0
2016-09-01,1467,360,5.0
2016-10-01,1474,346,7.0
2016-11-01,1476,341,2.0
2016-12-01,1476,342,0.0
2017-01-01,1476,341,0.0
2017-02-01,1481,326,5.0
2017-03-01,1478,332,-3.0
2017-04-01,1467,354,-11.0
2017-05-01,1468,351,1.0
2017-06-01,1486,313,18.0
2017-07-01,1486,312,0.0
2017-08-01,1501,268,15.0
2017-09-01,1495,291,-6.0
2017-10-01,1492,295,-3.0
2017-11-01,1480,326,-12.0
2017-12-01,1487,317,7.0
2018-01-01,1487,310,0.0
2018-02-01,1488,305,1.0
2018-03-01,1482,309,-6.0
2018-04-01,1473,342,-9.0
2018-05-01,1462,376,-11.0
2018-06-01,1462,374,0.0
2018-07-01,1467,361,5.0
2018-08-01,1448,424,-19.0
2018-09-01,1453,406,5.0
2018-10-01,1451,416,-2.0
2018-11-01,1444,439,-7.0
2018-12-01,1438,467,-6.0
2019-01-01,1438,466,0.0
2019-02-01,1444,434,6.0
2019-03-01,1435,472,-9.0
2019-04-01,1442,439,7.0
2019-05-01,1457,379,15.0
2019-06-01,1449,415,-8.0
2019-07-01,1465,362,16.0
2019-08-01,1463,376,-2.0
2019-09-01,1470,352,7.0
2019-10-01,1480,334,10.0
2019-11-01,1505,281,25.0
2019-12-01,1510,274,5.0
2020-01-01,1510,274,0.0
2020-02-01,1522,246,12.0
2020-03-01,1522,248,0.0
2020-04-01,1522,248,0.0
2020-05-01,1522,250,0.0
2020-06-01,1522,243,0.0
2020-07-01,1504,282,-18.0
2020-08-01,1507,272,3.0
2020-09-01,1511,269,4.0
2020-10-01,1509,278,-2.0
2020-11-01,1501,293,-8.0
2020-12-01,1492,309,-9.0
2021-01-01,1492,309,0.0
2021-02-01,1489,317,-3.0
2021-03-01,1497,300,8.0
2021-04-01,1505,275,8.0
2021-05-01,1515,259,10.0
