Month,Points,Rank,PD
2010-01-01,1300,1276,
2010-02-01,1300,1272,0.0
2010-03-01,1300,1273,0.0
2010-04-01,1300,1274,0.0
2010-05-01,1300,1273,0.0
2010-06-01,1300,1274,0.0
2010-07-01,1300,1283,0.0
2010-08-01,1300,1282,0.0
2010-09-01,1300,1281,0.0
2010-10-01,1300,1281,0.0
2010-11-01,1300,1286,0.0
2010-12-01,1300,1287,0.0
2011-01-01,1300,1289,0.0
2011-02-01,1300,1281,0.0
2011-03-01,1300,1278,0.0
2011-04-01,1300,1281,0.0
2011-05-01,1300,1272,0.0
2011-06-01,1300,1276,0.0
2011-07-01,1300,1279,0.0
2011-08-01,1300,1286,0.0
2011-09-01,1300,1293,0.0
2011-10-01,1300,1289,0.0
2011-11-01,1300,1286,0.0
2011-12-01,1300,1276,0.0
2012-01-01,1300,1281,0.0
2012-02-01,1300,1281,0.0
2012-03-01,1300,1279,0.0
2012-04-01,1300,1282,0.0
2012-05-01,1300,1276,0.0
2012-06-01,1300,1280,0.0
2012-07-01,1300,1284,0.0
2012-08-01,1300,1290,0.0
2012-09-01,1300,1288,0.0
2012-10-01,1300,1287,0.0
2012-11-01,1300,1285,0.0
2012-12-01,1300,1287,0.0
2013-01-01,1300,1286,0.0
2013-02-01,1300,1285,0.0
2013-03-01,1300,1287,0.0
2013-04-01,1300,1292,0.0
2013-05-01,1300,1292,0.0
2013-06-01,1300,1297,0.0
2013-07-01,1300,1309,0.0
2013-08-01,1300,1311,0.0
2013-09-01,1300,1308,0.0
2013-10-01,1300,1316,0.0
2013-11-01,1300,1322,0.0
2013-12-01,1300,1323,0.0
2014-01-01,1300,1323,0.0
2014-02-01,1300,1326,0.0
2014-03-01,1300,1332,0.0
2014-04-01,1300,1333,0.0
2014-05-01,1300,1336,0.0
2014-06-01,1300,1334,0.0
2014-07-01,1300,1340,0.0
2014-08-01,1300,1338,0.0
2014-09-01,1300,1332,0.0
2014-10-01,1300,1336,0.0
2014-11-01,1300,1341,0.0
2014-12-01,1300,1340,0.0
2015-01-01,1300,1340,0.0
2015-02-01,1300,1347,0.0
2015-03-01,1300,1342,0.0
2015-04-01,1300,1347,0.0
2015-05-01,1300,1353,0.0
2015-06-01,1300,1351,0.0
2015-07-01,1300,1352,0.0
2015-08-01,1300,1355,0.0
2015-09-01,1300,1358,0.0
2015-10-01,1300,1359,0.0
2015-11-01,1300,1360,0.0
2015-12-01,1300,1354,0.0
2016-01-01,1300,1355,0.0
2016-02-01,1300,1365,0.0
2016-03-01,1300,1372,0.0
2016-04-01,1300,1369,0.0
2016-05-01,1300,1368,0.0
2016-06-01,1300,1367,0.0
2016-07-01,1300,1372,0.0
2016-08-01,1300,1385,0.0
2016-09-01,1300,1381,0.0
2016-10-01,1300,1377,0.0
2016-11-01,1300,1376,0.0
2016-12-01,1300,1379,0.0
2017-01-01,1300,1381,0.0
2017-02-01,1300,1387,0.0
2017-03-01,1300,1385,0.0
2017-04-01,1300,1385,0.0
2017-05-01,1300,1379,0.0
2017-06-01,1300,1383,0.0
2017-07-01,1300,1386,0.0
2017-08-01,1300,1393,0.0
2017-09-01,1300,1399,0.0
2017-10-01,1300,1395,0.0
2017-11-01,1300,1385,0.0
2017-12-01,1300,1390,0.0
2018-01-01,1300,1391,0.0
2018-02-01,1300,1391,0.0
2018-03-01,1300,1392,0.0
2018-04-01,1300,1400,0.0
2018-05-01,1300,1392,0.0
2018-06-01,1300,1388,0.0
2018-07-01,1300,1393,0.0
2018-08-01,1300,1397,0.0
2018-09-01,1300,1394,0.0
2018-10-01,1300,1400,0.0
2018-11-01,1300,1402,0.0
2018-12-01,1300,1404,0.0
2019-01-01,1300,1403,0.0
2019-02-01,1300,1406,0.0
2019-03-01,1300,1404,0.0
2019-04-01,1300,1413,0.0
2019-05-01,1300,1406,0.0
2019-06-01,1300,1406,0.0
2019-07-01,1300,1410,0.0
2019-08-01,1300,1409,0.0
2019-09-01,1300,1409,0.0
2019-10-01,1300,1405,0.0
2019-11-01,1300,1404,0.0
2019-12-01,1300,1398,0.0
2020-01-01,1300,1398,0.0
2020-02-01,1303,1364,3.0
2020-03-01,1303,1363,0.0
2020-04-01,1303,1365,0.0
2020-05-01,1303,1364,0.0
2020-06-01,1303,1367,0.0
2020-07-01,1294,1494,-9.0
2020-08-01,1296,1478,2.0
2020-09-01,1307,1327,11.0
2020-10-01,1296,1462,-11.0
2020-11-01,1288,1559,-8.0
2020-12-01,1294,1486,6.0
2021-01-01,1294,1484,0.0
2021-02-01,1289,1545,-5.0
2021-03-01,1267,1791,-22.0
2021-04-01,1254,1972,-13.0
2021-05-01,1253,2000,-1.0
