date,kashima-antlers,urawa-red-diamonds,yokohama-fa-marinos,shimizu-s-pulse,nagoya-grampus-eight,kawasaki-frontale,omiya-ardija,albirex-niigata,sanfrecce-hiroshima,vegalta-sendai,cerezo-osaka,kashiwa-reysol,fc-tokyo,sagan-tosu,ventforet-kofu,gamba-osaka,vissel-kobe,tokushima-vortis
2014-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-02,4,1,0,1,-1,0,0,1,1,-1,-1,0,0,5,-4,-1,0,-5
2014-03-03,4,1,2,1,-1,0,-2,1,1,-1,-1,0,0,5,-4,-1,0,-5
2014-03-04,4,1,2,1,-1,0,-2,1,1,-1,-1,0,0,5,-4,-1,0,-5
2014-03-05,4,1,2,1,-1,0,-2,1,1,-1,-1,0,0,5,-4,-1,0,-5
2014-03-06,4,1,2,1,-1,0,-2,1,1,-1,-1,0,0,5,-4,-1,0,-5
2014-03-07,4,1,2,1,-1,0,-2,1,1,-1,-1,0,0,5,-4,-1,0,-5
2014-03-08,4,1,2,1,-1,0,-2,1,1,-1,-1,0,0,5,-4,-1,0,-5
2014-03-09,6,0,3,0,0,-1,-3,-1,2,-3,1,0,0,6,-4,1,0,-7
2014-03-10,6,0,3,0,0,-1,-3,-1,2,-3,1,0,0,6,-4,1,0,-7
2014-03-11,6,0,3,0,0,-1,-3,-1,2,-3,1,0,0,6,-4,1,0,-7
2014-03-12,6,0,3,0,0,-1,-3,-1,2,-3,1,0,0,6,-4,1,0,-7
2014-03-13,6,0,3,0,0,-1,-3,-1,2,-3,1,0,0,6,-4,1,0,-7
2014-03-14,6,0,3,0,0,-1,-3,-1,2,-3,1,0,0,6,-4,1,0,-7
2014-03-15,6,0,3,0,0,-1,-3,-1,2,-3,1,0,0,6,-4,1,0,-7
2014-03-16,9,2,6,-3,1,-2,-2,-1,0,-3,4,-1,-1,3,-4,1,1,-10
2014-03-17,9,2,6,-3,1,-2,-2,-1,0,-3,4,-1,-1,3,-4,1,1,-10
2014-03-18,9,2,6,-3,1,-2,-2,-1,0,-3,4,-1,-1,3,-4,1,1,-10
2014-03-19,9,2,6,-3,1,-2,-2,-1,0,-3,4,-1,-1,3,-4,1,1,-10
2014-03-20,9,2,6,-3,1,-2,-2,-1,0,-3,4,-1,-1,3,-4,1,1,-10
2014-03-21,9,2,6,-3,1,-2,-2,-1,0,-3,4,-1,-1,3,-4,1,1,-10
2014-03-22,9,2,6,-3,1,-2,-2,-1,0,-3,4,-1,-1,3,-4,1,1,-10
2014-03-23,9,2,6,-3,1,-2,-2,-1,0,-3,4,-1,-1,3,-4,1,1,-10
2014-03-24,7,2,5,-3,2,2,2,0,0,-7,6,1,-5,2,-3,1,0,-12
2014-03-25,7,2,5,-3,2,2,2,0,0,-7,6,1,-5,2,-3,1,0,-12
2014-03-26,7,2,5,-3,2,2,2,0,0,-7,6,1,-5,2,-3,1,0,-12
2014-03-27,7,2,5,-3,2,2,2,0,0,-7,6,1,-5,2,-3,1,0,-12
2014-03-28,7,2,5,-3,2,2,2,0,0,-7,6,1,-5,2,-3,1,0,-12
2014-03-29,7,2,5,-3,1,3,2,0,0,-7,6,1,-5,2,-3,1,0,-12
