date,kashima-antlers,urawa-red-diamonds,yokohama-fa-marinos,nagoya-grampus-eight,kawasaki-frontale,albirex-niigata,sanfrecce-hiroshima,vegalta-sendai,kashiwa-reysol,fc-tokyo,sagan-tosu,ventforet-kofu,gamba-osaka,vissel-kobe,shonan-bellmare,omiya-ardija,jubilo-iwata,avispa-fukuoka
2016-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-28,0,1,-1,1,1,1,-1,1,-1,-1,1,2,0,-2,-1,1,-1,-1
2016-02-29,1,1,-1,1,1,1,-1,1,-1,-1,1,2,-1,-2,-1,1,-1,-1
2016-03-01,1,1,-1,1,1,1,-1,1,-1,-1,1,2,-1,-2,-1,1,-1,-1
2016-03-02,1,1,-1,1,1,1,-1,1,-1,-1,1,2,-1,-2,-1,1,-1,-1
2016-03-03,1,1,-1,1,1,1,-1,1,-1,-1,1,2,-1,-2,-1,1,-1,-1
2016-03-04,1,1,-1,1,1,1,-1,1,-1,-1,1,2,-1,-2,-1,1,-1,-1
2016-03-05,1,1,-1,1,1,1,-1,1,-1,-1,1,2,-1,-2,-1,1,-1,-1
2016-03-06,2,1,-1,1,1,-2,-1,1,-3,-1,0,2,-1,1,-1,3,-1,-1
2016-03-07,2,0,-1,1,1,-2,-1,0,-3,0,0,1,0,1,-1,3,0,-1
2016-03-08,2,0,-1,1,1,-2,-1,0,-3,0,0,1,0,1,-1,3,0,-1
2016-03-09,2,0,-1,1,1,-2,-1,0,-3,0,0,1,0,1,-1,3,0,-1
2016-03-10,2,0,-1,1,1,-2,-1,0,-3,0,0,1,0,1,-1,3,0,-1
2016-03-11,2,0,-1,1,1,-2,-1,0,-3,0,0,1,0,1,-1,3,0,-1
2016-03-12,2,0,-1,1,1,-2,-1,0,-3,1,0,1,1,0,-1,2,0,-1
2016-03-13,1,2,0,0,2,-3,-1,1,-3,1,0,1,1,0,-1,2,0,-3
2016-03-14,1,2,0,0,2,-3,-1,1,-3,1,0,1,1,0,-1,2,0,-3
2016-03-15,1,2,0,0,2,-3,-1,1,-3,1,0,1,1,0,-1,2,0,-3
2016-03-16,1,2,0,0,2,-3,-1,1,-3,1,0,1,1,0,-1,2,0,-3
2016-03-17,1,2,0,0,2,-3,-1,1,-3,1,0,1,1,0,-1,2,0,-3
2016-03-18,1,2,0,0,2,-3,-1,1,-3,1,0,1,1,0,-1,2,0,-3
2016-03-19,1,2,0,0,2,-3,-1,1,-3,1,0,1,1,0,-1,2,0,-3
2016-03-20,3,2,1,1,6,-3,-1,0,-3,-1,-1,-3,0,1,-1,2,0,-3
2016-03-21,3,4,1,1,6,-3,3,0,-3,-1,-1,-3,0,1,-3,-2,0,-3
2016-03-22,3,4,1,1,6,-3,3,0,-3,-1,-1,-3,0,1,-3,-2,0,-3
2016-03-23,3,4,1,1,6,-3,3,0,-3,-1,-1,-3,0,1,-3,-2,0,-3
2016-03-24,3,4,1,1,6,-3,3,0,-3,-1,-1,-3,0,1,-3,-2,0,-3
2016-03-25,3,4,1,1,6,-3,3,0,-3,-1,-1,-3,0,1,-3,-2,0,-3
2016-03-26,3,4,1,1,6,-3,3,0,-3,-1,-1,-3,0,1,-3,-2,0,-3
2016-03-27,3,4,1,1,6,-3,3,0,-3,-1,-1,-3,0,1,-3,-2,0,-3
