節,開催日,曜日,相手,team_id,スコア,得点,失点,勝敗,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
1,2020-02-22,(土),大分,18,1-0,1,0,1,0,ヤンマー,15535,曇,42,48,0.111,11,0.091,0.452,10.62,7.44,65.94,15.36,['Ｂメンデス'],ロティーナ
2,2020-07-04,(土),Ｇ大阪,13,2-1,2,1,1,1,パナスタ,0,晴のち曇,41,45,0.111,11,0.182,0.447,13.27,11.12,56.19,17.95,"['奥埜', '丸橋']",ロティーナ
3,2020-07-08,(水),清水,11,2-0,2,0,1,0,ヤンマー,0,曇,60,59,0.164,18,0.111,0.556,25.03,17.8,99.07,11.58,"['奥埜', '片山']",ロティーナ
4,2020-07-12,(日),名古屋,12,0-2,0,2,2,0,ヤンマー,4026,曇,48,50,0.097,11,0.0,0.621,19.49,17.05,84.33,8.04,[''],ロティーナ
5,2020-07-18,(土),広島,16,2-1,2,1,1,1,Ｅスタ,3084,晴,47,40,0.088,10,0.1,0.522,15.72,13.5,85.23,12.72,"['藤田', 'OG']",ロティーナ
6,2020-07-22,(水),神戸,15,0-0,0,0,0,0,ヤンマー,4981,雨のち曇,39,52,0.143,12,0.0,0.514,13.78,11.23,45.71,11.14,[''],ロティーナ
7,2020-07-26,(日),鳥栖,17,1-1,1,1,0,1,駅スタ,3413,曇,45,41,0.16,13,0.077,0.542,17.99,12.94,48.2,13.94,['坂元'],ロティーナ
8,2020-08-01,(土),湘南,10,1-0,1,0,1,1,ＢＭＷス,3494,曇,49,52,0.136,14,0.071,0.52,18.03,14.24,57.21,13.79,['清武'],ロティーナ
9,2020-08-09,(日),FC東京,6,0-0,0,0,0,0,ヤンマー,4840,晴,58,37,0.083,9,0.0,0.571,16.86,15.3,86.9,10.15,[''],ロティーナ
10,2020-08-15,(土),柏,5,3-1,3,1,1,1,三協Ｆ柏,2603,晴,30,25,0.057,6,0.333,0.444,8.56,7.56,54.0,24.61,"['Ｂメンデス', '西川', 'OG']",ロティーナ
11,2020-08-19,(水),川崎Ｆ,7,2-5,2,5,2,1,等々力,4794,晴,34,32,0.115,12,0.167,0.478,13.83,12.47,102.96,11.53,"['Ｂメンデス', '瀬古']",ロティーナ
12,2020-08-23,(日),仙台,2,2-1,2,1,1,0,ヤンマー,3921,曇,50,50,0.091,10,0.2,0.503,13.18,10.41,75.79,13.97,"['清武', '坂元']",ロティーナ
13,2020-08-03,(日),横浜FC,9,2-1,2,1,1,1,ニッパツ,3373,晴,53,43,0.113,11,0.182,0.397,10.97,8.52,47.96,20.21,"['清武', 'Ｂメンデス']",ロティーナ
14,2020-09-05,(土),浦和,4,3-0,3,0,1,0,ヤンマー,4793,曇,41,40,0.118,12,0.167,0.463,10.5,8.87,51.49,19.65,"['都倉', '藤尾', 'OG']",ロティーナ
15,2020-09-09,(水),札幌,1,2-0,2,0,1,0,ヤンマー,3140,曇一時雨,38,38,0.09,9,0.222,0.387,10.18,7.9,65.91,22.41,['奥埜x2'],ロティーナ
16,2020-09-13,(日),横浜FM,8,2-1,2,1,1,1,日産ス,4918,曇,45,29,0.127,14,0.143,0.427,15.47,9.95,72.28,25.39,"['清武', '高木']",ロティーナ
25,2020-09-16,(水),神戸,15,1-0,1,0,1,1,ノエスタ,3206,曇,31,25,0.14,12,0.083,0.317,5.98,4.73,40.35,24.16,['柿谷'],ロティーナ
17,2020-09-19,(土),鹿島,3,1-2,1,2,2,0,ヤンマー,6836,晴,52,31,0.107,13,0.077,0.541,14.79,12.4,69.25,14.13,['Ｂメンデス'],ロティーナ
18,2020-09-23,(水),FC東京,6,0-2,0,2,2,1,味スタ,4316,雨,38,44,0.159,17,0.0,0.651,15.18,13.53,72.04,11.01,[''],ロティーナ
19,2020-09-27,(日),仙台,2,3-2,3,2,1,1,ユアスタ,2789,曇一時雨,48,53,0.168,19,0.158,0.588,16.2,12.71,88.15,14.05,"['Ｂメンデス', 'マテイヨニッチ', '清武']",ロティーナ
20,2020-10-03,(土),川崎Ｆ,7,1-3,1,3,2,0,ヤンマー,11842,曇,48,28,0.123,13,0.077,0.44,14.11,11.46,83.8,16.44,['奥埜'],ロティーナ
21,2020-10-01,(土),名古屋,12,0-1,0,1,2,1,パロ瑞穂,7861,雨のち曇,54,41,0.067,6,0.0,0.442,13.69,12.13,61.8,14.85,[''],ロティーナ
22,2020-10-14,(水),湘南,10,1-0,1,0,1,0,ヤンマー,5526,曇,43,47,0.107,13,0.077,0.543,11.09,10.41,95.09,12.86,['マテイヨニッチ'],ロティーナ
23,2020-10-17,(土),横浜FM,8,4-1,4,1,1,0,ヤンマー,6870,雨,53,40,0.125,18,0.222,0.423,15.28,9.76,105.11,19.69,"['奥埜x2', '豊川x2']",ロティーナ
24,2020-10-24,(土),浦和,4,1-3,1,3,2,1,埼玉,12863,晴,56,43,0.124,14,0.071,0.576,17.04,13.12,59.29,12.67,['豊川'],ロティーナ
26,2020-11-03,(火),Ｇ大阪,13,1-1,1,1,0,0,ヤンマー,19553,晴のち曇,55,35,0.14,15,0.067,0.534,14.25,12.04,87.08,15.77,['豊川'],ロティーナ
27,2020-11-14,(土),清水,11,1-3,1,3,2,1,アイスタ,6076,晴,53,44,0.164,19,0.053,0.561,19.3,15.27,89.57,14.09,['清武'],ロティーナ
28,2020-11-21,(土),広島,16,0-1,0,1,2,0,ヤンマー,6625,晴,66,42,0.124,14,0.0,0.594,22.7,16.48,70.37,10.82,[''],ロティーナ
29,2020-11-25,(水),大分,18,1-0,1,0,1,1,昭和電ド,3861,晴,43,57,0.094,9,0.111,0.352,10.69,9.59,65.08,13.32,['清武'],ロティーナ
30,2020-11-29,(日),横浜FC,9,1-0,1,0,1,0,ヤンマー,7365,晴,52,44,0.102,11,0.091,0.486,18.82,15.14,111.53,13.84,['Ｂメンデス'],ロティーナ
31,2020-12-05,(土),札幌,1,3-1,3,1,1,1,札幌ド,8905,屋内,48,44,0.157,19,0.158,0.427,16.01,11.84,99.95,20.17,"['清武', 'Ｂメンデスx2']",ロティーナ
32,2020-12-12,(土),柏,5,0-0,0,0,0,0,ヤンマー,7889,曇,48,46,0.093,12,0.0,0.534,14.82,11.16,101.91,12.45,[''],ロティーナ
33,2020-12-16,(水),鳥栖,17,1-2,1,2,2,0,ヤンマー,5498,晴のち曇,59,52,0.133,15,0.067,0.49,20.56,17.18,92.16,10.32,['豊川'],ロティーナ
34,2020-12-19,(土),鹿島,3,1-1,1,1,0,1,カシマ,11251,晴,48,38,0.101,12,0.083,0.355,8.56,6.09,77.34,23.45,['松田'],ロティーナ
