Sec,Date,Opp,OppID,Score,GF,GA,W/L,H/A,Stadium,Attendances,Weather,AGI,KAGI,CBR,Shots,SSR,Possession,AttackCBP,PassCBP,StealP,DefenceP,Scorers,HeadCoach
1,2018-02-25,yokohama-fa-marinos,8,1-1,1,1,0,0,ヤンマー,23049,雨,59,49,0.097,14,0.071,0.42,10.44,9.06,72.83,16.72,['柿谷'],尹　晶煥
2,2018-03-02,consadole-sapporo,1,3-3,3,3,0,0,金鳥スタ,10415,晴,54,42,0.131,16,0.188,0.461,14.39,11.33,91.49,16.08,"['杉本', '高木', '柿谷']",尹　晶煥
3,2018-03-01,kashiwa-reysol,5,1-1,1,1,0,1,三協Ｆ柏,11091,晴,67,54,0.109,15,0.067,0.518,17.98,13.91,87.1,14.66,['ソウザ'],尹　晶煥
4,2018-03-18,vissel-kobe,15,0-2,0,2,2,1,ノエスタ,20108,晴,58,50,0.105,13,0.0,0.459,15.5,11.67,91.53,11.92,[''],尹　晶煥
5,2018-03-31,shonan-bellmare,10,2-1,2,1,1,0,金鳥スタ,13882,晴,56,53,0.122,16,0.125,0.569,19.33,14.83,111.21,13.76,"['ヤンドンヒョン', '杉本']",尹　晶煥
6,2018-04-07,sagan-tosu,17,2-1,2,1,1,0,金鳥スタ,10627,曇一時晴,42,52,0.104,14,0.143,0.504,14.02,10.94,92.86,15.88,"['柿谷', '丸橋']",尹　晶煥
7,2018-04-11,kawasaki-frontale,7,2-1,2,1,1,1,等々力,17113,曇時々雨,45,38,0.078,9,0.222,0.402,11.43,7.9,94.49,19.27,"['丸橋', '福満']",尹　晶煥
8,2018-04-14,fc-tokyo,6,1-0,1,0,1,0,ヤンマー,17790,雨時々曇,50,47,0.115,14,0.071,0.44,14.52,10.85,80.08,18.69,['高木'],尹　晶煥
9,2018-04-21,gamba-osaka,13,0-1,0,1,2,1,吹田Ｓ,35242,晴,57,46,0.168,22,0.0,0.524,15.89,12.17,86.61,9.38,[''],尹　晶煥
10,2018-04-25,vegalta-sendai,2,2-1,2,1,1,0,金鳥スタ,8165,曇,62,47,0.195,25,0.08,0.478,19.82,13.2,74.11,14.4,['清武x2'],尹　晶煥
11,2018-04-28,other,0,1-1,1,1,0,1,ヤマハ,13884,晴,0,44,0.015,2,0.5,0.502,10.3,9.06,95.94,18.98,['杉本'],尹　晶煥
12,2018-05-02,nagoya-grampus-eight,12,0-0,0,0,0,1,パロ瑞穂,13220,雨,52,60,0.092,12,0.0,0.49,13.99,11.95,91.8,12.75,[''],尹　晶煥
13,2018-05-05,other,0,3-1,3,1,1,0,ヤンマー,29845,晴,48,48,0.095,12,0.25,0.488,14.52,12.1,102.49,18.11,"['柿谷', '丸橋', '水沼']",尹　晶煥
15,2018-05-02,sanfrecce-hiroshima,16,2-0,2,0,1,1,Ｅスタ,20219,晴のち曇,49,37,0.109,13,0.154,0.479,14.41,13.58,94.93,24.35,['高木x2'],尹　晶煥
16,2018-07-18,shimizu-s-pulse,11,0-3,0,3,2,1,アイスタ,9782,晴,49,49,0.091,11,0.0,0.548,20.04,17.71,92.64,15.46,[''],尹　晶煥
