Sec,Date,Opp,OppID,Score,GF,GA,W/L,H/A,Stadium,Attendances,Weather,AGI,KAGI,CBR,Shots,SSR,Possession,AttackCBP,PassCBP,StealP,DefenceP,Scorers,HeadCoach
1,2020-02-22,kashiwa-reysol,5,2-4,2,4,2,1,三協Ｆ柏,12468,曇,61,44,0.173,27,0.074,0.506,24.59,15.5,106.59,13.83,"['荒野', '鈴木']",ペトロヴィッチ
2,2020-07-04,yokohama-fc,9,2-1,2,1,1,1,ニッパツ,0,曇,48,41,0.111,12,0.167,0.427,15.91,12.13,71.45,15.38,['鈴木x2'],ペトロヴィッチ
3,2020-07-08,kashima-antlers,3,2-0,2,0,1,1,カシマ,0,曇,34,53,0.065,7,0.286,0.462,13.19,11.99,76.32,17.79,"['鈴木', 'Ｌフェルナンデス']",ペトロヴィッチ
4,2020-07-12,shonan-bellmare,10,0-0,0,0,0,1,ＢＭＷス,3327,雨,50,50,0.067,7,0.0,0.474,16.32,13.93,70.91,14.59,[''],ペトロヴィッチ
5,2020-07-18,vegalta-sendai,2,2-2,2,2,0,1,ユアスタ,2597,曇,49,45,0.136,15,0.133,0.504,15.33,12.2,61.17,14.91,"['チャナティップ', '田中']",ペトロヴィッチ
6,2020-07-22,fc-tokyo,6,1-1,1,1,0,0,札幌ド,3151,屋内,45,55,0.086,10,0.1,0.48,15.11,10.78,105.26,12.52,['菅'],ペトロヴィッチ
7,2020-07-26,yokohama-fa-marinos,8,3-1,3,1,1,0,札幌ド,3305,屋内,48,52,0.118,15,0.2,0.381,11.9,9.46,124.57,13.42,"['駒井', '荒野', '金子']",ペトロヴィッチ
8,2020-08-02,vissel-kobe,15,2-3,2,3,2,0,札幌ド,4675,屋内,56,62,0.158,16,0.125,0.502,21.51,15.85,74.22,8.92,['荒野x2'],ペトロヴィッチ
9,2020-08-08,shimizu-s-pulse,11,1-3,1,3,2,1,アイスタ,3981,晴,49,42,0.13,14,0.071,0.506,16.56,13.37,67.38,13.15,['鈴木'],ペトロヴィッチ
10,2020-08-15,kawasaki-frontale,7,1-6,1,6,2,0,札幌ド,4601,屋内,57,50,0.106,12,0.083,0.48,18.21,13.84,101.54,9.44,['ジェイ'],ペトロヴィッチ
11,2020-08-19,oita-trinita,18,1-1,1,1,0,0,札幌厚別,2039,晴,61,77,0.161,20,0.05,0.557,23.57,19.08,80.0,6.44,['Ｌフェルナンデス'],ペトロヴィッチ
29,2020-08-26,yokohama-fa-marinos,8,1-4,1,4,2,1,日産ス,4181,晴,50,39,0.116,14,0.071,0.423,15.37,11.65,81.51,20.72,['Ａロペス'],ペトロヴィッチ
13,2020-08-29,nagoya-grampus-eight,12,0-0,0,0,0,0,札幌ド,3479,屋内,51,50,0.117,14,0.0,0.531,16.05,13.89,115.57,11.65,[''],ペトロヴィッチ
14,2020-09-05,sanfrecce-hiroshima,16,0-2,0,2,2,0,札幌厚別,2104,晴,48,51,0.168,20,0.0,0.61,18.54,14.87,74.42,9.54,[''],ペトロヴィッチ
15,2020-09-09,cerezo-osaka,14,0-2,0,2,2,1,ヤンマー,3140,曇一時雨,62,62,0.142,15,0.0,0.613,24.01,16.69,95.78,5.58,[''],ペトロヴィッチ
16,2020-09-13,urawa-red-diamonds,4,3-4,3,4,2,0,札幌ド,4449,屋内,71,53,0.228,26,0.077,0.611,27.4,19.79,99.74,10.89,"['ジェイx2', 'OG']",ペトロヴィッチ
12,2020-09-16,sagan-tosu,17,2-0,2,0,1,1,駅スタ,2592,曇,58,62,0.208,21,0.095,0.496,21.53,18.02,85.4,9.22,"['駒井', 'Ａロペス']",ペトロヴィッチ
17,2020-09-19,gamba-osaka,13,0-1,0,1,2,0,札幌厚別,2749,晴のち曇,49,54,0.083,11,0.0,0.567,19.14,16.4,123.12,12.64,[''],ペトロヴィッチ
18,2020-09-23,kashiwa-reysol,5,0-1,0,1,2,0,札幌ド,3002,屋内,49,54,0.046,6,0.0,0.542,18.18,13.03,103.53,13.11,[''],ペトロヴィッチ
19,2020-09-26,vissel-kobe,15,0-4,0,4,2,1,ノエスタ,5335,曇,59,63,0.125,16,0.0,0.538,23.89,21.04,110.82,8.93,[''],ペトロヴィッチ
20,2020-10-03,vegalta-sendai,2,3-3,3,3,0,0,札幌ド,5339,屋内,60,51,0.154,16,0.188,0.639,25.16,17.21,80.09,8.78,"['Ａロペスx2', '菅']",ペトロヴィッチ
21,2020-10-01,shonan-bellmare,10,2-1,2,1,1,0,札幌厚別,2859,曇一時雨,48,63,0.122,15,0.133,0.552,17.25,14.71,90.73,12.06,['金子x2'],ペトロヴィッチ
22,2020-10-14,nagoya-grampus-eight,12,0-3,0,3,2,1,パロ瑞穂,8895,晴,53,49,0.053,6,0.0,0.563,17.48,14.03,91.64,9.26,[''],ペトロヴィッチ
23,2020-10-18,kashima-antlers,3,1-0,1,0,1,0,札幌ド,5359,屋内,46,47,0.088,13,0.077,0.462,13.52,10.2,131.08,17.16,['駒井'],ペトロヴィッチ
24,2020-10-24,yokohama-fc,9,3-0,3,0,1,0,札幌ド,6256,屋内,55,57,0.169,20,0.15,0.507,16.43,12.75,136.13,11.94,"['Ａロペス', 'Ｄオリヴェイラ', '金子']",ペトロヴィッチ
25,2020-10-31,gamba-osaka,13,1-2,1,2,2,1,パナスタ,16183,晴,57,46,0.133,16,0.063,0.548,22.6,18.4,101.52,11.18,['Ｄオリヴェイラ'],ペトロヴィッチ
26,2020-11-03,kawasaki-frontale,7,2-0,2,0,1,1,等々力,11165,曇,50,45,0.093,12,0.167,0.472,17.41,14.13,144.37,13.56,"['Ａロペス', '荒野']",ペトロヴィッチ
33,2020-11-11,fc-tokyo,6,0-1,0,1,2,1,味スタ,6357,晴,63,53,0.092,11,0.0,0.571,21.37,17.1,95.63,10.76,[''],ペトロヴィッチ
27,2020-11-14,sagan-tosu,17,1-1,1,1,0,0,札幌ド,5663,屋内,50,60,0.109,14,0.071,0.531,13.94,11.42,110.03,8.83,['ジェイ'],ペトロヴィッチ
28,2020-11-21,shimizu-s-pulse,11,5-1,5,1,1,0,札幌ド,5220,屋内,53,55,0.156,17,0.294,0.497,16.06,12.63,96.93,12.05,"['Ａロペスx2', 'キムミンテ', 'ジェイ', '福森']",ペトロヴィッチ
30,2020-11-28,sanfrecce-hiroshima,16,2-2,2,2,0,1,Ｅスタ,6346,曇のち晴,49,45,0.076,10,0.2,0.53,14.1,12.57,105.22,16.08,"['福森', '宮澤']",ペトロヴィッチ
31,2020-12-05,cerezo-osaka,14,1-3,1,3,2,0,札幌ド,8905,屋内,56,52,0.078,10,0.1,0.573,23.8,18.72,92.02,9.39,['ジェイ'],ペトロヴィッチ
32,2020-12-12,oita-trinita,18,1-1,1,1,0,1,昭和電ド,6120,晴,51,55,0.132,16,0.063,0.559,21.11,15.8,69.79,12.63,['Ａロペス'],ペトロヴィッチ
34,2020-12-19,urawa-red-diamonds,4,2-0,2,0,1,1,埼玉,19319,晴,64,62,0.185,20,0.1,0.527,24.38,18.41,115.62,11.12,"['駒井', '田中']",ペトロヴィッチ
