節,開催日,曜日,相手,team_id,スコア,得点,失点,勝敗,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
1,2018-02-24,(土),浦和,4,1-1,1,1,0,0,味スタ,35951,晴,32,40,0.052,6,0.167,0.399,8.15,7.78,87.69,17.18,['東'],長谷川　健太
2,2018-03-03,(土),仙台,2,0-1,0,1,2,0,味スタ,16990,晴のち曇,55,63,0.119,15,0.0,0.483,14.99,9.85,109.58,11.22,[''],長谷川　健太
3,2018-03-01,(土),磐田,0,0-2,0,2,2,1,ヤマハ,13928,晴,48,45,0.076,10,0.0,0.446,10.17,8.54,118.72,15.78,[''],長谷川　健太
4,2018-03-18,(日),湘南,10,1-0,1,0,1,0,味スタ,16568,曇,62,72,0.143,19,0.053,0.518,17.91,12.54,108.14,11.91,['ディエゴオリヴェイラ'],長谷川　健太
5,2018-03-31,(土),Ｇ大阪,13,3-2,3,2,1,0,味スタ,21940,晴,57,59,0.08,10,0.3,0.384,12.5,9.59,106.8,14.33,"['東', '森重', 'ディエゴオリヴェイラ']",長谷川　健太
6,2018-04-08,(日),長崎,0,5-2,5,2,1,1,トラスタ,9873,晴,61,50,0.078,10,0.5,0.454,14.78,9.91,81.31,12.44,"['東', '永井', 'ディエゴオリヴェイラx3']",長谷川　健太
7,2018-04-11,(水),鹿島,3,2-1,2,1,1,0,味スタ,17260,曇,53,42,0.092,10,0.1,0.403,10.86,7.55,89.52,16.04,"['室屋', 'OG']",長谷川　健太
8,2018-04-14,(土),Ｃ大阪,14,0-1,0,1,2,1,ヤンマー,17790,雨時々曇,53,50,0.096,11,0.0,0.56,20.17,15.89,89.49,15.02,[''],長谷川　健太
9,2018-04-21,(土),清水,11,1-0,1,0,1,1,アイスタ,12615,晴,51,43,0.07,9,0.111,0.522,11.73,10.68,74.9,13.28,['永井'],長谷川　健太
10,2018-04-25,(水),広島,16,3-1,3,1,1,0,味スタ,13425,曇,47,37,0.084,10,0.3,0.437,12.77,11.55,88.06,21.24,"['永井', 'ディエゴオリヴェイラx2']",長谷川　健太
11,2018-04-28,(土),名古屋,12,3-2,3,2,1,0,味スタ,25185,晴,50,44,0.085,10,0.3,0.458,11.43,8.09,94.06,11.49,"['永井', 'ディエゴオリヴェイラx2']",長谷川　健太
12,2018-05-02,(水),神戸,15,0-0,0,0,0,1,ノエスタ,9015,屋内,59,51,0.135,15,0.0,0.391,9.04,8.65,72.56,12.43,[''],長谷川　健太
13,2018-05-05,(土),川崎Ｆ,7,2-0,2,0,1,1,等々力,24677,晴,49,32,0.056,7,0.286,0.36,7.57,6.13,112.42,20.79,"['橋本', '森重']",長谷川　健太
14,2018-05-13,(日),札幌,1,0-0,0,0,0,0,味スタ,24589,雨,63,48,0.148,16,0.0,0.511,19.02,13.67,70.54,12.54,[''],長谷川　健太
