,節,開催日,曜日,相手,スコア,得点,失点,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
0,1,2019-02-23,(土),川崎Ｆ,0-0,0,0,1,等々力,23113,晴,52,34,0.053,6,0.0,0.38,10.79,9.42,83.39,17.86,[''],長谷川　健太
1,2,2019-03-02,(土),湘南,3-2,3,2,1,ＢＭＷス,12878,晴のち曇,68,49,0.164,19,0.158,0.499,17.37,12.85,81.98,17.1,"['東', '橋本', 'Ｄオリヴェイラ']",長谷川　健太
2,3,2019-03-01,(日),鳥栖,2-0,2,0,0,味スタ,27937,曇,56,56,0.132,16,0.063,0.543,15.9,12.52,77.11,12.0,"['ジャエル', 'OG']",長谷川　健太
3,4,2019-03-17,(日),名古屋,1-0,1,0,0,味スタ,25656,晴,48,38,0.104,13,0.077,0.387,9.69,8.12,104.02,19.13,['永井'],長谷川　健太
4,5,2019-03-03,(土),浦和,1-1,1,1,1,埼玉,39055,曇,44,51,0.065,7,0.143,0.368,9.38,8.56,90.89,17.78,['Ｄオリヴェイラ'],長谷川　健太
5,6,2019-04-06,(土),清水,2-1,2,1,0,味スタ,22302,晴,60,49,0.089,12,0.167,0.521,17.41,14.11,96.2,15.75,"['ナサンホ', 'Ｄオリヴェイラ']",長谷川　健太
6,7,2019-04-14,(日),鹿島,3-1,3,1,0,味スタ,38414,曇,56,30,0.085,10,0.3,0.354,10.85,7.45,124.88,16.69,"['永井', 'Ｄオリヴェイラx2']",長谷川　健太
7,8,2019-04-19,(金),広島,1-0,1,0,1,Ｅスタ,15827,曇,54,55,0.049,5,0.2,0.449,15.32,13.92,53.42,13.06,['Ｄオリヴェイラ'],長谷川　健太
8,9,2019-04-28,(日),松本,2-0,2,0,0,味スタ,36412,晴のち曇,59,49,0.104,12,0.167,0.551,16.66,13.03,68.47,13.62,"['永井', 'Ｄオリヴェイラ']",長谷川　健太
9,10,2019-05-04,(土),Ｇ大阪,0-0,0,0,1,パナスタ,33905,晴,56,45,0.127,14,0.0,0.374,14.97,11.41,66.13,14.67,[''],長谷川　健太
10,11,2019-05-12,(日),磐田,1-0,1,0,0,味スタ,31075,晴,58,54,0.12,15,0.067,0.471,17.61,13.15,86.91,11.6,['久保建'],長谷川　健太
11,12,2019-05-18,(土),札幌,2-0,2,0,0,味スタ,24772,晴のち曇,56,43,0.098,12,0.167,0.45,13.08,11.44,115.8,11.53,"['小川', '久保建']",長谷川　健太
12,13,2019-05-25,(土),Ｃ大阪,0-1,0,1,1,ヤンマー,24624,晴,59,50,0.111,12,0.0,0.47,11.87,9.34,57.43,13.42,[''],長谷川　健太
13,14,2019-06-01,(土),大分,3-1,3,1,0,味スタ,25175,晴時々曇,75,79,0.176,19,0.158,0.465,20.88,15.78,99.08,10.75,"['橋本', '久保建x2']",長谷川　健太
14,15,2019-06-15,(土),神戸,0-1,0,1,0,味スタ,38506,雨のち曇,66,48,0.111,14,0.0,0.417,14.68,11.89,91.54,12.4,[''],長谷川　健太
15,16,2019-06-23,(日),仙台,0-2,0,2,1,ユアスタ,12343,曇,50,42,0.05,6,0.0,0.548,11.73,11.24,68.47,12.25,[''],長谷川　健太
16,17,2019-06-29,(土),横浜FM,4-2,4,2,0,味スタ,33705,雨,55,36,0.086,9,0.444,0.327,9.57,7.05,86.42,22.5,"['ナサンホ', '永井', 'Ｄオリヴェイラx2']",長谷川　健太
17,18,2019-07-07,(日),Ｇ大阪,3-1,3,1,0,味スタ,28209,雨,60,27,0.078,9,0.333,0.443,14.79,11.91,76.16,18.56,"['永井x2', 'Ｄオリヴェイラ']",長谷川　健太
18,19,2019-07-14,(日),川崎Ｆ,0-3,0,3,0,味スタ,42401,曇,46,40,0.082,10,0.0,0.466,11.11,9.29,89.67,11.14,[''],長谷川　健太
19,20,2019-07-02,(土),清水,2-0,2,0,1,アイスタ,15750,曇,65,42,0.165,15,0.133,0.532,16.59,13.31,57.59,11.21,"['大森晃', '永井']",長谷川　健太
20,21,2019-08-03,(土),Ｃ大阪,3-0,3,0,0,味スタ,28721,晴,58,45,0.109,11,0.273,0.389,10.02,7.38,72.13,16.55,"['永井', '森重', 'Ｄオリヴェイラ']",長谷川　健太
21,22,2019-08-01,(土),仙台,1-0,1,0,0,味スタ,28435,晴,46,55,0.091,9,0.111,0.479,10.77,9.73,69.01,14.53,['Ｄオリヴェイラ'],長谷川　健太
22,23,2019-08-17,(土),広島,0-1,0,1,0,味スタ,30015,晴,50,47,0.077,7,0.0,0.458,12.45,10.32,66.6,9.36,[''],長谷川　健太
23,24,2019-08-24,(土),札幌,1-1,1,1,1,札幌ド,19454,屋内,60,49,0.119,13,0.077,0.549,16.82,15.32,78.19,17.7,['渡辺'],長谷川　健太
24,25,2019-08-03,(金),名古屋,2-1,2,1,1,パロ瑞穂,20188,雨,59,55,0.095,10,0.2,0.405,12.19,8.64,103.62,10.59,"['Ｄオリヴェイラ', '高萩']",長谷川　健太
25,26,2019-09-14,(土),鹿島,0-2,0,2,1,カシマ,27285,晴,62,45,0.135,15,0.0,0.527,22.46,17.02,95.9,12.47,[''],長谷川　健太
26,27,2019-09-29,(日),松本,0-0,0,0,1,サンアル,19271,晴,59,50,0.117,13,0.0,0.626,20.41,15.8,65.93,11.42,[''],長谷川　健太
27,28,2019-10-05,(土),鳥栖,1-2,1,2,1,駅スタ,11616,晴,63,42,0.13,15,0.067,0.491,18.15,15.06,86.36,16.99,['三田'],長谷川　健太
28,29,2019-10-19,(土),神戸,3-1,3,1,1,ノエスタ,20413,曇,39,47,0.069,7,0.429,0.412,12.27,10.19,79.76,17.32,"['高萩', 'Ａシルバ', '橋本']",長谷川　健太
29,30,2019-11-02,(土),大分,2-0,2,0,1,昭和電ド,14359,晴,55,48,0.101,11,0.182,0.36,13.23,10.9,75.91,20.99,"['永井', '渡辺']",長谷川　健太
30,31,2019-11-09,(土),磐田,1-0,1,0,1,ヤマハ,13328,晴,46,41,0.064,7,0.143,0.434,11.64,9.05,64.43,18.62,['Ｄオリヴェイラ'],長谷川　健太
31,32,2019-11-23,(土),湘南,1-1,1,1,0,味スタ,34250,雨,62,53,0.08,11,0.091,0.584,19.45,15.37,81.1,14.88,['森重'],長谷川　健太
32,33,2019-11-03,(土),浦和,1-1,1,1,0,味スタ,40202,晴,64,48,0.149,20,0.05,0.421,14.88,11.27,92.92,16.08,['田川'],長谷川　健太
33,34,2019-12-07,(土),横浜FM,0-3,0,3,1,日産ス,63854,雨のち曇,58,57,0.061,8,0.0,0.438,15.3,11.48,140.12,12.87,[''],長谷川　健太
