節,開催日,,相手,スコア,,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
1,2.23,(土),川崎Ｆ,0-0,A,等々力,"23,113",晴,52,34,5.3%,6,0.0%,38.0%,10.79,9.42,83.39,17.86,,長谷川　健太
2,3.2,(土),湘南,3-2,A,ＢＭＷス,"12,878",晴のち曇,68,49,16.4%,19,15.8%,49.9%,17.37,12.85,81.98,17.10,"東,橋本,Ｄオリヴェイラ",長谷川　健太
3,3.10,(日),鳥栖,2-0,H,味スタ,"27,937",曇,56,56,13.2%,16,6.3%,54.3%,15.90,12.52,77.11,12.00,"ジャエル,OG",長谷川　健太
4,3.17,(日),名古屋,1-0,H,味スタ,"25,656",晴,48,38,10.4%,13,7.7%,38.7%,9.69,8.12,104.02,19.13,永井,長谷川　健太
5,3.30,(土),浦和,1-1,A,埼玉,"39,055",曇,44,51,6.5%,7,14.3%,36.8%,9.38,8.56,90.89,17.78,Ｄオリヴェイラ,長谷川　健太
6,4.6,(土),清水,2-1,H,味スタ,"22,302",晴,60,49,8.9%,12,16.7%,52.1%,17.41,14.11,96.20,15.75,"ナサンホ,Ｄオリヴェイラ",長谷川　健太
7,4.14,(日),鹿島,3-1,H,味スタ,"38,414",曇,56,30,8.5%,10,30.0%,35.4%,10.85,7.45,124.88,16.69,"永井,Ｄオリヴェイラx2",長谷川　健太
8,4.19,(金),広島,1-0,A,Ｅスタ,"15,827",曇,54,55,4.9%,5,20.0%,44.9%,15.32,13.92,53.42,13.06,Ｄオリヴェイラ,長谷川　健太
9,4.28,(日),松本,2-0,H,味スタ,"36,412",晴のち曇,59,49,10.4%,12,16.7%,55.1%,16.66,13.03,68.47,13.62,"永井,Ｄオリヴェイラ",長谷川　健太
10,5.4,(土),Ｇ大阪,0-0,A,パナスタ,"33,905",晴,56,45,12.7%,14,0.0%,37.4%,14.97,11.41,66.13,14.67,,長谷川　健太
11,5.12,(日),磐田,1-0,H,味スタ,"31,075",晴,58,54,12.0%,15,6.7%,47.1%,17.61,13.15,86.91,11.60,久保建,長谷川　健太
12,5.18,(土),札幌,2-0,H,味スタ,"24,772",晴のち曇,56,43,9.8%,12,16.7%,45.0%,13.08,11.44,115.80,11.53,"小川,久保建",長谷川　健太
13,5.25,(土),Ｃ大阪,0-1,A,ヤンマー,"24,624",晴,59,50,11.1%,12,0.0%,47.0%,11.87,9.34,57.43,13.42,,長谷川　健太
14,6.1,(土),大分,3-1,H,味スタ,"25,175",晴時々曇,75,79,17.6%,19,15.8%,46.5%,20.88,15.78,99.08,10.75,"橋本,久保建x2",長谷川　健太
15,6.15,(土),神戸,0-1,H,味スタ,"38,506",雨のち曇,66,48,11.1%,14,0.0%,41.7%,14.68,11.89,91.54,12.40,,長谷川　健太
16,6.23,(日),仙台,0-2,A,ユアスタ,"12,343",曇,50,42,5.0%,6,0.0%,54.8%,11.73,11.24,68.47,12.25,,長谷川　健太
17,6.29,(土),横浜FM,4-2,H,味スタ,"33,705",雨,55,36,8.6%,9,44.4%,32.7%,9.57,7.05,86.42,22.50,"ナサンホ,永井,Ｄオリヴェイラx2",長谷川　健太
18,7.7,(日),Ｇ大阪,3-1,H,味スタ,"28,209",雨,60,27,7.8%,9,33.3%,44.3%,14.79,11.91,76.16,18.56,"永井x2,Ｄオリヴェイラ",長谷川　健太
19,7.14,(日),川崎Ｆ,0-3,H,味スタ,"42,401",曇,46,40,8.2%,10,0.0%,46.6%,11.11,9.29,89.67,11.14,,長谷川　健太
20,7.20,(土),清水,2-0,A,アイスタ,"15,750",曇,65,42,16.5%,15,13.3%,53.2%,16.59,13.31,57.59,11.21,"大森晃,永井",長谷川　健太
21,8.3,(土),Ｃ大阪,3-0,H,味スタ,"28,721",晴,58,45,10.9%,11,27.3%,38.9%,10.02,7.38,72.13,16.55,"永井,森重,Ｄオリヴェイラ",長谷川　健太
22,8.10,(土),仙台,1-0,H,味スタ,"28,435",晴,46,55,9.1%,9,11.1%,47.9%,10.77,9.73,69.01,14.53,Ｄオリヴェイラ,長谷川　健太
23,8.17,(土),広島,0-1,H,味スタ,"30,015",晴,50,47,7.7%,7,0.0%,45.8%,12.45,10.32,66.60,9.36,,長谷川　健太
24,8.24,(土),札幌,1-1,A,札幌ド,"19,454",屋内,60,49,11.9%,13,7.7%,54.9%,16.82,15.32,78.19,17.70,渡辺,長谷川　健太
25,8.30,(金),名古屋,2-1,A,パロ瑞穂,"20,188",雨,59,55,9.5%,10,20.0%,40.5%,12.19,8.64,103.62,10.59,"Ｄオリヴェイラ,高萩",長谷川　健太
26,9.14,(土),鹿島,0-2,A,カシマ,"27,285",晴,62,45,13.5%,15,0.0%,52.7%,22.46,17.02,95.90,12.47,,長谷川　健太
27,9.29,(日),松本,0-0,A,サンアル,"19,271",晴,59,50,11.7%,13,0.0%,62.6%,20.41,15.80,65.93,11.42,,長谷川　健太
28,10.5,(土),鳥栖,1-2,A,駅スタ,"11,616",晴,63,42,13.0%,15,6.7%,49.1%,18.15,15.06,86.36,16.99,三田,長谷川　健太
29,10.19,(土),神戸,3-1,A,ノエスタ,"20,413",曇,39,47,6.9%,7,42.9%,41.2%,12.27,10.19,79.76,17.32,"高萩,Ａシルバ,橋本",長谷川　健太
30,11.2,(土),大分,2-0,A,昭和電ド,"14,359",晴,55,48,10.1%,11,18.2%,36.0%,13.23,10.90,75.91,20.99,"永井,渡辺",長谷川　健太
31,11.9,(土),磐田,1-0,A,ヤマハ,"13,328",晴,46,41,6.4%,7,14.3%,43.4%,11.64,9.05,64.43,18.62,Ｄオリヴェイラ,長谷川　健太
32,11.23,(土),湘南,1-1,H,味スタ,"34,250",雨,62,53,8.0%,11,9.1%,58.4%,19.45,15.37,81.10,14.88,森重,長谷川　健太
33,11.30,(土),浦和,1-1,H,味スタ,"40,202",晴,64,48,14.9%,20,5.0%,42.1%,14.88,11.27,92.92,16.08,田川,長谷川　健太
34,12.7,(土),横浜FM,0-3,A,日産ス,"63,854",雨のち曇,58,57,6.1%,8,0.0%,43.8%,15.30,11.48,140.12,12.87,,長谷川　健太
