節,開催日,曜日,相手,スコア,得点,失点,勝敗,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
1,2020-02-23,(日),北九州,1-0,1,0,1,1,ミクスタ,13440,晴,82,56,0.202,24,0.042,0.396,16.58,11.92,83.08,14.38,['遠野'],長谷部　茂利
2,2020-06-28,(日),琉球,1-1,1,1,0,1,タピスタ,0,晴,51,52,0.088,9,0.111,0.465,12.61,10.33,74.14,10.38,['フアンマ'],長谷部　茂利
3,2020-07-04,(土),長崎,1-2,1,2,2,0,ベススタ,0,曇,55,44,0.143,14,0.071,0.334,10.96,9.28,44.53,14.4,['鈴木'],長谷部　茂利
4,2020-07-11,(土),京都,0-2,0,2,2,1,サンガＳ,3063,曇のち雨,61,50,0.1,11,0.0,0.521,18.89,16.88,68.14,10.35,[''],長谷部　茂利
5,2020-07-15,(水),磐田,1-0,1,0,1,0,ベススタ,1958,曇,53,45,0.094,11,0.091,0.38,9.12,7.36,92.07,18.7,['増山'],長谷部　茂利
6,2020-07-19,(日),徳島,1-0,1,0,1,1,鳴門大塚,2261,晴,41,57,0.063,6,0.167,0.273,5.66,5.17,60.35,11.27,['上島'],長谷部　茂利
7,2020-07-25,(土),岡山,1-0,1,0,1,0,ベススタ,2720,曇,55,53,0.094,12,0.083,0.365,9.35,5.44,102.68,15.45,['石津'],長谷部　茂利
8,2020-07-29,(水),愛媛,1-1,1,1,0,0,ベススタ,1740,晴,54,58,0.181,19,0.053,0.485,15.57,12.75,75.67,7.12,['三國'],長谷部　茂利
10,2020-08-08,(土),甲府,2-2,2,2,0,0,ベススタ,2407,曇,51,61,0.126,12,0.167,0.494,15.92,12.4,71.2,9.71,"['城後', '遠野']",長谷部　茂利
11,2020-08-12,(水),東京Ｖ,1-3,1,3,2,0,ベススタ,2655,晴,64,60,0.105,11,0.091,0.481,15.94,11.8,70.02,10.09,['遠野'],長谷部　茂利
12,2020-08-15,(土),松本,0-1,0,1,2,1,サンアル,3536,晴,55,52,0.1,12,0.0,0.576,15.48,11.5,90.01,9.44,[''],長谷部　茂利
13,2020-08-19,(水),水戸,0-1,0,1,2,0,ベススタ,1595,晴,61,47,0.145,17,0.0,0.441,16.78,12.97,97.4,15.88,[''],長谷部　茂利
14,2020-08-23,(日),栃木,1-0,1,0,1,1,栃木グ,1875,晴,42,33,0.049,6,0.167,0.517,7.58,6.8,87.62,24.68,['Ｅサロモンソン'],長谷部　茂利
15,2020-08-29,(土),新潟,0-1,0,1,2,0,ベススタ,2701,晴,46,60,0.073,9,0.0,0.5,17.45,14.45,69.1,8.72,[''],長谷部　茂利
16,2020-09-02,(水),千葉,2-2,2,2,0,1,フクアリ,1758,曇のち晴一時雨,52,44,0.099,10,0.2,0.442,13.1,12.09,82.77,18.14,"['増山', 'フアンマ']",長谷部　茂利
17,2020-09-05,(土),山口,2-0,2,0,1,0,ベススタ,1692,曇,51,56,0.127,15,0.133,0.368,12.11,8.96,101.59,16.6,"['遠野', '木戸']",長谷部　茂利
18,2020-09-09,(水),山形,1-0,1,0,1,1,ＮＤスタ,2080,曇,40,48,0.058,7,0.143,0.417,8.05,7.18,75.84,21.55,['遠野'],長谷部　茂利
19,2020-09-13,(日),町田,2-1,2,1,1,0,ベススタ,2539,晴,46,53,0.071,8,0.125,0.353,9.41,7.44,92.88,16.52,"['フアンマ', 'OG']",長谷部　茂利
9,2020-09-16,(水),大宮,1-0,1,0,1,1,ＮＡＣＫ,1880,曇,56,65,0.067,8,0.125,0.436,15.78,11.71,88.54,13.78,['フアンマ'],長谷部　茂利
20,2020-09-19,(土),金沢,2-1,2,1,1,1,石川西部,2331,晴,41,45,0.059,7,0.143,0.469,10.24,8.31,71.08,19.71,"['Ｄグローリ', 'OG']",長谷部　茂利
21,2020-09-23,(水),群馬,1-0,1,0,1,0,ベススタ,1880,曇,56,55,0.085,11,0.091,0.502,12.98,10.61,77.4,13.46,['増山'],長谷部　茂利
22,2020-09-27,(日),長崎,3-1,3,1,1,1,トラスタ,4345,晴,54,50,0.09,10,0.3,0.341,8.47,7.33,72.78,16.21,"['遠野x2', '石津']",長谷部　茂利
23,2020-09-03,(水),栃木,1-0,1,0,1,0,ベススタ,1878,晴,34,52,0.043,6,0.167,0.532,6.37,5.32,71.71,17.82,['福満'],長谷部　茂利
24,2020-10-04,(日),北九州,2-0,2,0,1,0,ベススタ,9006,曇,52,52,0.116,13,0.154,0.312,6.41,5.13,89.11,15.69,['フアンマx2'],長谷部　茂利
25,2020-10-01,(土),甲府,2-0,2,0,1,1,中銀スタ,1528,雨,62,51,0.112,13,0.154,0.454,17.91,12.07,74.35,15.31,"['フアンマ', '石津']",長谷部　茂利
26,2020-10-14,(水),新潟,2-1,2,1,1,1,デンカＳ,5774,晴,63,58,0.099,12,0.167,0.353,11.83,10.11,96.62,13.57,"['Ｄグローリ', '福満']",長谷部　茂利
27,2020-10-18,(日),群馬,1-0,1,0,1,1,正田スタ,2009,曇,60,82,0.107,14,0.071,0.483,13.19,10.98,82.23,12.53,['前'],長谷部　茂利
28,2020-10-21,(水),町田,0-0,0,0,0,1,Ｇスタ,1008,晴,57,54,0.082,11,0.0,0.523,15.2,11.72,93.35,11.18,[''],長谷部　茂利
29,2020-10-25,(日),千葉,1-0,1,0,1,0,ベススタ,6563,晴,58,43,0.108,12,0.083,0.401,9.8,9.37,70.71,15.61,['松本'],長谷部　茂利
30,2020-11-01,(日),磐田,1-2,1,2,2,1,ヤマハ,3717,晴,59,68,0.158,19,0.053,0.464,18.75,13.57,82.8,12.0,['遠野'],長谷部　茂利
31,2020-11-04,(水),水戸,1-0,1,0,1,1,Ｋｓスタ,1737,晴,46,53,0.063,8,0.125,0.392,11.19,7.57,92.9,16.91,['増山'],長谷部　茂利
32,2020-11-08,(日),松本,0-1,0,1,2,0,ベススタ,4879,晴,64,38,0.087,12,0.0,0.514,19.36,17.63,89.1,18.3,[''],長谷部　茂利
33,2020-11-11,(水),琉球,3-1,3,1,1,0,ベススタ,2640,晴,59,54,0.125,16,0.188,0.374,12.8,10.52,120.85,19.06,"['山岸x2', '上島']",長谷部　茂利
34,2020-11-15,(日),山口,1-0,1,0,1,1,みらスタ,3538,晴時々曇,62,50,0.102,13,0.077,0.413,16.29,15.05,83.34,18.34,['増山'],長谷部　茂利
35,2020-11-21,(土),山形,1-1,1,1,0,0,ベススタ,4590,晴,56,45,0.111,17,0.059,0.45,14.3,11.66,128.55,18.23,['木戸'],長谷部　茂利
36,2020-11-25,(水),東京Ｖ,1-1,1,1,0,1,味フィ西,1805,曇,69,53,0.124,15,0.0,0.425,18.24,14.27,102.01,13.63,['OG'],長谷部　茂利
37,2020-11-29,(日),大宮,1-0,1,0,1,0,ベススタ,5178,曇時々晴,52,60,0.087,11,0.091,0.445,13.48,10.19,118.05,12.97,['フアンマ'],長谷部　茂利
38,2020-12-02,(水),岡山,1-1,1,1,0,1,ピカスタ,1181,曇,56,53,0.085,11,0.091,0.465,13.36,10.11,91.04,13.69,['重廣'],長谷部　茂利
39,2020-12-06,(日),金沢,2-2,2,2,0,0,ベススタ,5835,晴,59,49,0.107,16,0.125,0.509,17.43,12.21,106.05,17.98,"['田邉', '遠野']",長谷部　茂利
40,2020-12-13,(日),京都,2-0,2,0,1,0,ベススタ,7182,曇のち晴,54,98,0.108,14,0.143,0.453,15.74,11.81,105.87,11.6,"['Ｅサロモンソン', '遠野']",長谷部　茂利
41,2020-12-16,(水),愛媛,2-0,2,0,1,1,ニンスタ,1395,晴,58,59,0.106,13,0.154,0.398,13.8,12.45,101.36,16.24,"['山岸', '遠野']",長谷部　茂利
42,2020-12-02,(日),徳島,1-0,1,0,1,0,ベススタ,8864,晴,48,51,0.124,15,0.067,0.351,10.58,9.52,95.61,19.66,['石津'],長谷部　茂利
