,節,開催日,曜日,相手,スコア,得点,失点,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
0,1,2020-02-23,(日),横浜FM,2-1,2,1,A,日産ス,34521,晴,50,39,0.073,10,0.2,0.344,10.92,6.24,130.11,25.07,"['倉田', '矢島']",宮本　恒靖
1,2,2020-07-04,(土),Ｃ大阪,1-2,1,2,H,パナスタ,0,晴のち曇,55,59,0.134,13,0.077,0.553,19.65,16.63,62.22,10.41,['アデミウソン'],宮本　恒靖
2,3,2020-07-08,(水),名古屋,2-2,2,2,A,豊田ス,0,曇,49,48,0.121,13,0.154,0.591,21.07,17.44,85.9,10.84,"['三浦', '渡邉']",宮本　恒靖
3,4,2020-07-12,(日),清水,2-1,2,1,A,アイスタ,4131,曇,59,40,0.144,16,0.125,0.405,16.19,12.08,75.74,15.81,"['小野瀬', '渡邉']",宮本　恒靖
4,5,2020-07-18,(土),大分,2-1,2,1,H,パナスタ,4395,晴,56,68,0.176,18,0.111,0.53,19.69,17.07,58.77,9.27,"['宇佐美', 'アデミウソン']",宮本　恒靖
5,6,2020-07-22,(水),広島,1-0,1,0,H,パナスタ,4142,晴のち曇時々雨,54,35,0.135,14,0.071,0.451,17.6,15.9,86.61,20.13,['三浦'],宮本　恒靖
6,7,2020-07-26,(日),神戸,2-0,2,0,A,ノエスタ,4746,曇,51,55,0.105,11,0.182,0.375,10.8,10.42,85.57,13.31,"['小野', '宇佐美']",宮本　恒靖
7,8,2020-08-01,(土),川崎Ｆ,0-1,0,1,H,パナスタ,4925,晴,51,42,0.13,14,0.0,0.531,18.22,15.95,67.59,14.27,[''],宮本　恒靖
8,9,2020-08-08,(土),横浜FC,2-1,2,1,H,パナスタ,4638,曇,62,58,0.143,14,0.143,0.519,22.64,19.38,72.99,9.92,"['アデミウソン', 'パトリック']",宮本　恒靖
9,11,2020-08-19,(水),浦和,1-3,1,3,H,パナスタ,4721,晴,57,55,0.191,22,0.045,0.625,29.88,26.65,68.18,10.88,['井手口'],宮本　恒靖
10,12,2020-08-23,(日),鹿島,1-1,1,1,A,カシマ,4949,曇,50,34,0.083,10,0.1,0.353,8.63,7.78,59.49,18.96,['小野瀬'],宮本　恒靖
11,13,2020-08-29,(土),FC東京,1-3,1,3,H,パナスタ,4967,曇,46,51,0.158,18,0.056,0.572,20.44,16.99,109.02,9.22,['宇佐美'],宮本　恒靖
12,14,2020-09-05,(土),仙台,4-1,4,1,A,ユアスタ,2871,曇,45,44,0.138,15,0.267,0.42,12.42,9.89,90.16,17.98,"['山本', 'アデミウソン', '倉田', '井手口']",宮本　恒靖
13,15,2020-09-09,(水),柏,0-3,0,3,A,三協Ｆ柏,2608,晴,58,49,0.133,15,0.0,0.547,21.18,19.7,73.76,11.52,[''],宮本　恒靖
14,16,2020-09-13,(日),湘南,0-1,0,1,H,パナスタ,4788,晴,58,54,0.171,22,0.0,0.583,26.21,21.64,96.42,11.08,[''],宮本　恒靖
15,17,2020-09-19,(土),札幌,1-0,1,0,A,札幌厚別,2749,晴のち曇,46,51,0.061,8,0.125,0.433,11.72,9.8,119.8,21.72,['渡邉'],宮本　恒靖
16,18,2020-09-23,(水),名古屋,2-1,2,1,H,パナスタ,5153,曇,55,46,0.149,18,0.111,0.541,23.67,20.73,111.01,13.09,"['山本', '宇佐美']",宮本　恒靖
17,19,2020-09-27,(日),広島,2-1,2,1,A,Ｅスタ,4104,晴,54,40,0.089,11,0.182,0.428,14.41,11.62,78.74,18.87,"['倉田', 'パトリック']",宮本　恒靖
18,20,2020-10-03,(土),鹿島,2-0,2,0,H,パナスタ,9313,曇,50,39,0.094,12,0.167,0.487,12.94,10.92,103.19,18.35,"['パトリック', '渡邉']",宮本　恒靖
19,10,2020-10-07,(水),鳥栖,2-1,2,1,A,駅スタ,3601,晴,51,43,0.099,11,0.182,0.359,9.93,9.45,85.21,15.7,['渡邉x2'],宮本　恒靖
20,21,2020-10-01,(土),FC東京,1-0,1,0,A,味スタ,8166,雨,41,35,0.079,11,0.091,0.463,6.76,4.63,112.62,21.94,['アデミウソン'],宮本　恒靖
21,22,2020-10-14,(水),横浜FM,1-1,1,1,H,パナスタ,6455,曇,65,48,0.128,18,0.056,0.51,17.63,14.87,135.35,15.48,['宇佐美'],宮本　恒靖
22,23,2020-10-18,(日),大分,1-0,1,0,A,昭和電ド,8570,晴,46,51,0.119,13,0.077,0.461,16.38,13.33,92.59,18.51,['パトリック'],宮本　恒靖
23,24,2020-10-24,(土),柏,2-1,2,1,H,パナスタ,10602,晴,49,45,0.102,13,0.077,0.452,14.65,11.39,105.39,17.87,"['アデミウソン', 'OG']",宮本　恒靖
24,25,2020-10-31,(土),札幌,2-1,2,1,H,パナスタ,16183,晴,54,43,0.089,11,0.182,0.452,15.91,13.98,68.24,21.44,"['井手口', 'パトリック']",宮本　恒靖
25,26,2020-11-03,(火),Ｃ大阪,1-1,1,1,A,ヤンマー,19553,晴のち曇,65,45,0.083,9,0.111,0.466,15.36,12.94,101.24,15.37,['井手口'],宮本　恒靖
26,32,2020-11-11,(水),神戸,1-0,1,0,H,パナスタ,11579,曇,51,53,0.104,11,0.091,0.39,14.79,11.59,96.43,13.03,['パトリック'],宮本　恒靖
27,27,2020-11-14,(土),仙台,0-4,0,4,H,パナスタ,11567,晴,58,44,0.093,11,0.0,0.612,22.21,18.66,74.26,11.07,[''],宮本　恒靖
28,28,2020-11-22,(日),浦和,2-1,2,1,A,埼玉,20288,晴,61,46,0.11,13,0.154,0.526,19.4,18.02,131.41,16.69,"['宇佐美', '高尾']",宮本　恒靖
29,29,2020-11-25,(水),川崎Ｆ,0-5,0,5,A,等々力,11360,曇,45,36,0.056,6,0.0,0.47,15.9,13.59,70.42,12.67,[''],宮本　恒靖
30,30,2020-11-29,(日),鳥栖,1-1,1,1,H,パナスタ,10555,晴時々曇,64,63,0.155,20,0.05,0.506,21.87,17.57,141.04,9.11,['パトリック'],宮本　恒靖
31,31,2020-12-06,(日),湘南,2-1,2,1,A,ＢＭＷス,6461,晴,53,44,0.093,12,0.167,0.409,12.96,9.87,101.48,17.55,"['福田', 'パトリック']",宮本　恒靖
32,33,2020-12-16,(水),横浜FC,2-0,2,0,A,ニッパツ,3898,晴,51,58,0.116,13,0.154,0.349,9.85,8.75,80.39,12.86,"['倉田', 'パトリック']",宮本　恒靖
33,34,2020-12-19,(土),清水,0-2,0,2,H,パナスタ,15252,曇のち晴,59,53,0.142,17,0.0,0.604,22.37,19.39,99.93,8.96,[''],宮本　恒靖
