節,開催日,曜日,相手,スコア,得点,失点,勝敗,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
1,2019-02-23,(土),清水,1-1,1,1,0,0,Ｅスタ,14084,晴,62,55,0.113,14,0.071,0.506,18.84,15.02,124.39,14.73,['Ｅサロモンソン'],城福　浩
2,2019-03-01,(金),磐田,0-0,0,0,0,0,Ｅスタ,7741,晴,50,56,0.083,11,0.0,0.435,11.65,10.01,113.26,13.63,[''],城福　浩
3,2019-03-09,(土),Ｃ大阪,1-0,1,0,1,1,ヤンマー,12044,晴,51,48,0.086,10,0.1,0.33,8.91,6.89,119.6,18.97,['Ｅサロモンソン'],城福　浩
4,2019-03-17,(日),松本,1-0,1,0,1,0,Ｅスタ,13131,晴,64,75,0.098,12,0.083,0.596,20.39,16.93,112.13,11.07,['柏'],城福　浩
5,2019-03-03,(土),大分,1-0,1,0,1,1,昭和電ド,11443,曇,45,67,0.054,5,0.2,0.353,13.8,10.49,65.74,12.05,['Ｄヴィエイラ'],城福　浩
6,2019-04-06,(土),Ｇ大阪,3-0,3,0,1,0,Ｅスタ,13331,晴,58,51,0.062,7,0.429,0.344,11.17,9.09,81.89,12.74,"['柏', '柴崎', '川辺']",城福　浩
7,2019-04-14,(日),神戸,4-2,4,2,1,1,ノエスタ,17708,屋内,60,59,0.107,12,0.333,0.388,15.95,12.18,77.52,12.66,"['パトリック', '柏', '渡x2']",城福　浩
8,2019-04-19,(金),FC東京,0-1,0,1,2,0,Ｅスタ,15827,曇,45,46,0.049,5,0.0,0.551,12.86,11.81,58.56,13.34,[''],城福　浩
9,2019-04-28,(日),名古屋,0-1,0,1,2,1,豊田ス,40000,曇,51,41,0.08,10,0.0,0.464,18.55,14.6,103.45,16.83,[''],城福　浩
10,2019-05-03,(金),横浜FM,0-1,0,1,2,0,Ｅスタ,23559,晴,65,66,0.149,18,0.0,0.409,19.17,10.89,77.49,9.54,[''],城福　浩
11,2019-05-12,(日),仙台,1-2,1,2,2,1,ユアスタ,12180,晴,55,47,0.094,12,0.083,0.453,14.4,10.25,70.62,15.54,['Ｄヴィエイラ'],城福　浩
12,2019-05-17,(金),鳥栖,0-1,0,1,2,0,Ｅスタ,10293,晴,62,64,0.129,15,0.0,0.488,17.72,13.39,80.16,11.86,[''],城福　浩
13,2019-05-26,(日),浦和,4-0,4,0,1,1,埼玉,33235,晴,59,47,0.126,14,0.286,0.397,11.42,8.58,53.53,15.64,"['森島', 'Ｄヴィエイラ', 'ハイネル', '渡']",城福　浩
14,2019-06-01,(土),札幌,0-1,0,1,2,1,札幌ド,14189,屋内,49,57,0.073,8,0.0,0.452,17.3,14.58,105.96,17.51,[''],城福　浩
15,2019-06-14,(金),湘南,2-0,2,0,1,0,Ｅスタ,6491,雨,68,53,0.198,25,0.08,0.589,21.11,15.82,98.9,9.04,"['Ｄヴィエイラ', '稲垣']",城福　浩
17,2019-06-03,(日),鹿島,2-2,2,2,0,1,カシマ,13502,雨,52,47,0.102,12,0.167,0.482,15.61,11.73,100.51,15.33,['柏x2'],城福　浩
18,2019-07-06,(土),Ｃ大阪,1-1,1,1,0,0,Ｅスタ,15032,晴,66,61,0.125,14,0.071,0.512,19.54,16.7,86.77,13.57,['パトリック'],城福　浩
19,2019-07-13,(土),鳥栖,2-0,2,0,1,1,駅スタ,17582,曇のち雨,52,48,0.094,9,0.222,0.462,14.35,11.49,59.27,16.91,"['荒木', 'ハイネル']",城福　浩
20,2019-07-02,(土),松本,2-2,2,2,0,1,サンアル,14907,曇時々雨,49,64,0.126,14,0.143,0.615,17.56,14.84,110.45,10.6,"['柏', 'パトリック']",城福　浩
16,2019-07-31,(水),川崎Ｆ,3-2,3,2,1,0,Ｅスタ,10965,晴,40,46,0.076,7,0.429,0.441,14.73,12.3,67.12,21.85,"['佐々木', 'Ｄヴィエイラ', '荒木']",城福　浩
21,2019-08-03,(土),札幌,1-0,1,0,1,0,Ｅスタ,12672,晴,37,47,0.052,6,0.167,0.527,14.77,14.44,93.51,15.02,['稲垣'],城福　浩
22,2019-08-01,(土),Ｇ大阪,1-1,1,1,0,1,パナスタ,30476,晴,45,45,0.107,11,0.091,0.392,13.25,10.65,74.1,16.26,['Ｌペレイラ'],城福　浩
23,2019-08-17,(土),FC東京,1-0,1,0,1,1,味スタ,30015,晴,53,50,0.043,4,0.25,0.542,15.93,14.36,61.58,13.29,['柏'],城福　浩
24,2019-08-24,(土),大分,0-0,0,0,0,0,Ｅスタ,15420,曇,56,100,0.213,20,0.0,0.561,26.2,21.16,84.75,9.26,[''],城福　浩
25,2019-08-31,(土),磐田,2-0,2,0,1,1,ヤマハ,13051,曇,44,57,0.098,10,0.2,0.461,13.51,12.86,76.87,11.12,"['Ｌペレイラ', '柏']",城福　浩
26,2019-09-14,(土),横浜FM,0-3,0,3,2,1,ニッパツ,12581,曇,41,39,0.067,8,0.0,0.441,12.66,9.76,88.92,16.06,[''],城福　浩
27,2019-09-28,(土),名古屋,1-1,1,1,0,0,Ｅスタ,10880,晴,55,54,0.13,13,0.077,0.612,20.57,19.21,66.82,11.12,['野上'],城福　浩
28,2019-10-05,(土),神戸,6-2,6,2,1,0,Ｅスタ,29666,晴,70,47,0.235,23,0.261,0.435,20.52,14.45,73.91,12.79,"['稲垣x2', '森島x2', '川辺', 'Ｄヴィエイラ']",城福　浩
29,2019-10-19,(土),清水,2-1,2,1,1,1,アイスタ,11572,雨,70,57,0.2,22,0.091,0.616,30.51,23.89,95.25,12.51,"['川辺', 'Ｄヴィエイラ']",城福　浩
31,2019-10-29,(火),浦和,1-1,1,1,0,0,Ｅスタ,6710,晴,55,66,0.149,17,0.0,0.585,24.27,18.99,107.21,6.52,['OG'],城福　浩
