節,開催日,曜日,相手,team_id,スコア,得点,失点,勝敗,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
1,2020-02-23,(日),鹿島,3,3-0,3,0,1,0,Ｅスタ,18713,晴,49,38,0.098,12,0.25,0.368,10.49,9.01,95.45,19.69,"['Ｄヴィエイラ', 'Ｌペレイラ', '森島']",城福　浩
2,2020-07-04,(土),神戸,15,3-0,3,0,1,1,ノエスタ,0,曇,49,47,0.118,13,0.231,0.342,9.51,9.36,82.16,17.88,"['浅野', 'Ｌペレイラx2']",城福　浩
3,2020-07-08,(水),大分,18,1-2,1,2,2,0,Ｅスタ,0,曇,53,60,0.12,12,0.083,0.449,17.37,13.44,56.77,13.14,['Ｌペレイラ'],城福　浩
4,2020-07-12,(日),鳥栖,17,0-0,0,0,0,1,駅スタ,2694,曇のち雨,48,63,0.106,12,0.0,0.443,15.5,12.51,109.16,11.44,[''],城福　浩
5,2020-07-18,(土),Ｃ大阪,14,1-2,1,2,2,0,Ｅスタ,3084,晴,60,53,0.119,13,0.077,0.478,14.73,12.63,92.82,15.01,['Ｄヴィエイラ'],城福　浩
6,2020-07-22,(水),Ｇ大阪,13,0-1,0,1,2,1,パナスタ,4142,晴のち曇時々雨,65,46,0.185,20,0.0,0.549,24.83,20.39,75.89,14.98,[''],城福　浩
8,2020-08-01,(土),横浜FC,9,2-0,2,0,1,1,ニッパツ,2528,晴,59,53,0.13,14,0.143,0.489,18.03,15.81,78.47,13.73,"['森島', 'Ｄヴィエイラ']",城福　浩
9,2020-08-09,(日),湘南,10,1-0,1,0,1,0,Ｅスタ,2886,曇,73,69,0.209,24,0.042,0.546,29.66,23.45,99.28,14.94,['浅野'],城福　浩
10,2020-08-15,(土),浦和,4,0-1,0,1,2,1,埼玉,4287,晴,82,71,0.205,24,0.0,0.657,28.34,23.85,81.37,7.5,[''],城福　浩
11,2020-08-19,(水),FC東京,6,3-3,3,3,0,0,Ｅスタ,2033,晴,66,49,0.126,13,0.231,0.632,24.11,19.92,75.12,10.63,"['野上', '荒木', '川辺']",城福　浩
12,2020-08-23,(日),横浜FM,8,1-3,1,3,2,1,日産ス,4771,晴,48,45,0.096,12,0.083,0.436,12.04,9.21,84.81,14.7,['Ｌペレイラ'],城福　浩
13,2020-08-29,(土),仙台,2,1-1,1,1,0,0,Ｅスタ,3124,晴,64,45,0.106,13,0.077,0.517,18.56,13.9,128.41,13.43,['Ｌペレイラ'],城福　浩
14,2020-09-05,(土),札幌,1,2-0,2,0,1,1,札幌厚別,2104,晴,49,52,0.077,9,0.222,0.39,10.18,9.04,89.74,18.69,"['Ｄヴィエイラ', '浅野']",城福　浩
15,2020-09-09,(水),清水,11,4-1,4,1,1,0,Ｅスタ,1948,晴,70,51,0.171,21,0.19,0.434,19.22,14.71,105.7,10.66,"['エゼキエウ', 'Ｄヴィエイラ', 'Ｌペレイラ', '柏']",城福　浩
16,2020-09-13,(日),川崎Ｆ,7,1-5,1,5,2,1,等々力,4770,雨のち曇,30,46,0.071,8,0.125,0.489,16.28,15.08,94.99,11.29,['浅野'],城福　浩
17,2020-09-19,(土),柏,5,1-1,1,1,0,1,三協Ｆ柏,2728,曇,55,44,0.055,7,0.143,0.5,15.51,12.81,101.82,20.46,['Ｄヴィエイラ'],城福　浩
18,2020-09-23,(水),大分,18,2-0,2,0,1,1,昭和電ド,4247,曇,30,66,0.055,5,0.4,0.48,11.5,10.87,74.37,9.47,"['森島', 'Ｄヴィエイラ']",城福　浩
19,2020-09-27,(日),Ｇ大阪,13,1-2,1,2,2,0,Ｅスタ,4104,晴,60,46,0.133,17,0.059,0.572,21.89,17.06,86.49,8.67,['Ｌペレイラ'],城福　浩
20,2020-10-03,(土),鳥栖,17,3-0,3,0,1,0,Ｅスタ,3765,曇,65,62,0.165,18,0.167,0.502,21.32,16.17,118.21,8.59,"['浅野', '東', '青山']",城福　浩
21,2020-10-01,(土),清水,11,3-2,3,2,1,1,アイスタ,3024,雨,54,46,0.088,10,0.3,0.42,13.81,12.0,88.86,19.71,"['森島', 'Ｌペレイラ', '川辺']",城福　浩
