節,開催日,曜日,相手,team_id,スコア,得点,失点,勝敗,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
1,2018-02-25,(日),磐田,0,3-0,3,0,1,1,エコパ,31375,晴,49,49,0.098,11,0.273,0.526,16.38,14.86,103.02,16.3,"['中村', '谷口', 'エドゥアルド']",鬼木　達
2,2018-03-02,(金),湘南,10,1-1,1,1,0,0,等々力,22475,晴,63,50,0.167,21,0.048,0.583,22.4,17.77,108.59,13.42,['小林'],鬼木　達
3,2018-03-01,(土),Ｇ大阪,13,2-0,2,0,1,0,等々力,22520,曇のち晴,48,58,0.139,16,0.125,0.575,25.65,23.18,102.68,12.89,"['エドゥアルドネット', '家長']",鬼木　達
4,2018-03-18,(日),名古屋,12,1-0,1,0,1,1,豊田ス,25898,曇,55,61,0.093,11,0.091,0.517,20.63,19.2,130.23,11.54,['大久保'],鬼木　達
5,2018-03-31,(土),広島,16,0-1,0,1,2,0,等々力,24018,晴,47,51,0.067,9,0.0,0.573,15.34,13.51,101.71,13.28,[''],鬼木　達
6,2018-04-08,(日),横浜FM,8,1-1,1,1,0,1,日産ス,37332,晴,66,46,0.177,22,0.045,0.492,26.11,22.07,101.05,15.55,['家長'],鬼木　達
7,2018-04-11,(水),Ｃ大阪,14,1-2,1,2,2,0,等々力,17113,曇時々雨,62,55,0.146,18,0.056,0.598,23.37,19.83,86.14,13.95,['知念'],鬼木　達
8,2018-04-14,(土),仙台,2,0-0,0,0,0,1,ユアスタ,14024,曇のち雨,60,48,0.04,5,0.0,0.564,24.46,22.38,99.19,16.19,[''],鬼木　達
9,2018-04-21,(土),鹿島,3,4-1,4,1,1,0,等々力,24358,晴,57,46,0.138,17,0.176,0.459,15.48,12.03,107.0,10.96,"['エドゥアルドネット', '中村', '大久保', 'OG']",鬼木　達
10,2018-04-25,(水),鳥栖,17,2-0,2,0,1,1,ベアスタ,8490,晴,38,42,0.052,6,0.333,0.569,19.84,17.76,87.48,17.96,"['阿部', '小林']",鬼木　達
11,2018-04-28,(土),神戸,15,2-1,2,1,1,1,ノエスタ,19847,晴,56,65,0.125,14,0.143,0.473,17.86,15.3,63.33,12.09,"['谷口', '小林']",鬼木　達
12,2018-05-02,(水),浦和,4,0-2,0,2,2,0,等々力,22817,雨,52,50,0.122,15,0.0,0.621,19.68,17.46,86.15,9.67,[''],鬼木　達
13,2018-05-05,(土),FC東京,6,0-2,0,2,2,0,等々力,24677,晴,68,51,0.129,16,0.0,0.64,29.83,25.36,101.7,11.24,[''],鬼木　達
14,2018-05-12,(土),柏,5,2-1,2,1,1,1,三協Ｆ柏,12584,晴一時曇,68,57,0.149,17,0.118,0.585,31.56,26.14,117.99,10.01,"['小林', '鈴木']",鬼木　達
15,2018-05-02,(日),清水,11,3-0,3,0,1,0,等々力,23969,晴,54,66,0.139,14,0.214,0.603,27.64,24.88,79.83,11.47,"['阿部', '中村x2']",鬼木　達
16,2018-07-18,(水),札幌,1,2-1,2,1,1,1,札幌厚別,10711,曇,66,50,0.132,15,0.133,0.541,22.16,19.77,93.63,17.61,"['エウシーニョ', '小林']",鬼木　達
17,2018-07-22,(日),長崎,0,1-0,1,0,1,0,等々力,22221,晴,62,51,0.212,22,0.045,0.551,21.63,17.65,87.6,13.32,['小林'],鬼木　達
19,2018-08-01,(水),浦和,4,0-2,0,2,2,1,埼玉,28215,晴,52,56,0.157,18,0.0,0.589,26.25,23.12,108.15,10.03,[''],鬼木　達
20,2018-08-05,(日),横浜FM,8,2-0,2,0,1,0,等々力,23033,晴,48,46,0.122,14,0.143,0.534,15.78,13.57,83.82,17.53,['小林x2'],鬼木　達
21,2018-08-11,(土),清水,11,2-1,2,1,1,1,アイスタ,18129,曇,61,55,0.152,17,0.118,0.643,32.21,29.06,77.23,16.63,"['小林', '大島']",鬼木　達
22,2018-08-15,(水),鳥栖,17,0-0,0,0,0,0,等々力,24390,晴,61,59,0.276,27,0.0,0.67,34.27,28.35,88.07,7.07,[''],鬼木　達
23,2018-08-19,(日),広島,16,2-1,2,1,1,1,Ｅスタ,14211,晴,57,47,0.156,17,0.118,0.623,25.44,21.07,96.44,11.3,['小林x2'],鬼木　達
24,2018-08-25,(土),仙台,2,1-0,1,0,1,0,等々力,23816,晴,58,44,0.182,18,0.056,0.565,23.36,20.01,95.61,12.51,['中村'],鬼木　達
25,2018-09-01,(土),Ｇ大阪,13,0-2,0,2,2,1,吹田Ｓ,19683,曇,60,70,0.095,12,0.0,0.621,29.83,27.09,104.38,6.68,[''],鬼木　達
26,2018-09-15,(土),札幌,1,7-0,7,0,1,0,等々力,22522,曇,61,55,0.211,26,0.269,0.49,20.17,18.7,119.32,15.14,"['家長', '中村', '阿部', '下田', '小林', '知念', '田中']",鬼木　達
27,2018-09-22,(土),名古屋,12,3-1,3,1,1,0,等々力,23790,晴,70,63,0.212,21,0.095,0.544,30.18,28.02,97.08,7.84,"['阿部', '小林', 'OG']",鬼木　達
18,2018-09-26,(水),湘南,10,0-0,0,0,0,1,ＢＭＷス,8816,雨,59,56,0.117,14,0.0,0.634,25.65,21.44,65.07,12.2,[''],鬼木　達
28,2018-09-29,(土),長崎,0,2-1,2,1,1,1,トラスタ,12430,雨のち曇,59,37,0.14,15,0.133,0.615,21.08,19.67,71.09,9.37,"['知念', '小林']",鬼木　達
29,2018-10-07,(日),鹿島,3,0-0,0,0,0,1,カシマ,31798,晴,48,30,0.059,6,0.0,0.612,13.71,12.56,57.05,16.98,[''],鬼木　達
30,2018-10-02,(土),神戸,15,5-3,5,3,1,0,等々力,24441,雨のち曇,64,61,0.212,22,0.227,0.521,32.84,26.99,110.6,10.67,"['小林', '家長', '齋藤', '大島', 'エウシーニョ']",鬼木　達
31,2018-11-03,(土),柏,5,3-0,3,0,1,0,等々力,24487,晴一時曇,63,53,0.167,20,0.15,0.593,25.15,22.92,98.87,14.6,"['家長', '谷口', '阿部']",鬼木　達
32,2018-11-01,(土),Ｃ大阪,14,1-2,1,2,2,1,ヤンマー,26600,晴,69,52,0.083,11,0.091,0.583,25.97,22.07,106.21,9.55,['家長'],鬼木　達
33,2018-11-24,(土),FC東京,6,2-0,2,0,1,1,味スタ,37422,晴,57,40,0.097,12,0.167,0.584,26.64,23.32,109.37,13.41,"['知念', '長谷川']",鬼木　達
34,2018-12-01,(土),磐田,0,2-1,2,1,1,0,等々力,24062,晴,65,55,0.12,12,0.083,0.705,31.48,28.39,78.48,9.17,"['奈良', 'OG']",鬼木　達
