節,開催日,曜日,相手,スコア,得点,失点,勝敗,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
1,2019-02-23,(土),FC東京,0-0,0,0,0,0,等々力,23113,晴,66,48,0.142,16,0.0,0.62,24.83,22.04,106.61,11.11,[''],鬼木　達
2,2019-03-01,(金),鹿島,1-1,1,1,0,0,等々力,23927,晴,68,43,0.18,20,0.05,0.653,31.06,26.22,84.71,9.83,['中村'],鬼木　達
3,2019-03-01,(日),横浜FM,2-2,2,2,0,1,日産ス,36216,曇,54,45,0.125,16,0.125,0.466,15.46,12.25,111.93,15.29,['Ｌダミアンx2'],鬼木　達
4,2019-03-17,(日),Ｇ大阪,0-1,0,1,2,0,等々力,23982,晴一時曇,68,52,0.142,19,0.0,0.541,20.59,16.91,99.85,11.63,[''],鬼木　達
5,2019-03-31,(日),松本,2-0,2,0,1,1,サンアル,18563,晴,67,55,0.121,17,0.118,0.668,30.04,24.27,118.66,12.09,"['知念', '阿部']",鬼木　達
6,2019-04-05,(金),Ｃ大阪,1-1,1,1,0,0,等々力,21494,晴,65,56,0.105,13,0.077,0.557,27.36,23.74,127.4,10.25,['知念'],鬼木　達
7,2019-04-14,(日),鳥栖,1-0,1,0,1,1,駅スタ,14463,雨,48,46,0.081,9,0.111,0.563,17.17,14.88,94.16,15.31,['知念'],鬼木　達
8,2019-04-19,(金),湘南,2-0,2,0,1,0,等々力,19556,曇,54,73,0.114,12,0.167,0.526,20.9,20.47,117.19,12.67,"['阿部', '知念']",鬼木　達
9,2019-04-28,(日),神戸,2-1,2,1,1,1,ノエスタ,25929,晴,55,52,0.101,13,0.154,0.387,15.94,11.73,123.65,16.28,"['馬渡', '小林']",鬼木　達
10,2019-05-03,(金),仙台,3-1,3,1,1,0,等々力,25789,晴のち曇,75,50,0.123,14,0.214,0.609,32.67,26.12,114.24,10.72,"['長谷川', '小林x2']",鬼木　達
11,2019-05-12,(日),清水,4-0,4,0,1,1,アイスタ,14125,晴,60,62,0.12,15,0.267,0.502,20.16,16.6,117.93,15.05,"['小林', '脇坂', '大島', 'Ｌダミアン']",鬼木　達
12,2019-05-17,(金),名古屋,1-1,1,1,0,0,等々力,24821,晴,46,31,0.092,11,0.091,0.459,15.34,13.3,121.69,14.03,['Ｌダミアン'],鬼木　達
13,2019-05-26,(日),大分,1-0,1,0,1,1,昭和電ド,14012,晴,57,57,0.102,10,0.1,0.504,22.97,21.48,74.57,12.79,['マギーニョ'],鬼木　達
