,節,開催日,曜日,相手,スコア,得点,失点,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
0,1,2020-02-22,(土),鳥栖,0-0,0,0,H,等々力,21117,曇,71,57,0.216,24,0.0,0.59,28.64,21.64,91.69,9.94,[''],鬼木　達
1,2,2020-07-04,(土),鹿島,2-1,2,1,H,等々力,0,曇のち晴,56,46,0.108,12,0.167,0.511,14.67,11.57,74.8,16.9,"['谷口', '長谷川']",鬼木　達
2,3,2020-07-08,(水),FC東京,4-0,4,0,A,味スタ,0,晴,73,43,0.147,17,0.235,0.565,27.54,23.88,98.02,13.65,"['大島', 'Ｌダミアン', '長谷川x2']",鬼木　達
3,4,2020-07-11,(土),柏,3-1,3,1,H,等々力,4724,曇,62,79,0.109,14,0.214,0.561,23.17,20.29,132.92,10.82,"['家長x2', 'Ｌダミアン']",鬼木　達
4,5,2020-07-18,(土),横浜FC,5-1,5,1,A,ニッパツ,2733,曇,67,51,0.21,25,0.2,0.489,23.26,18.7,95.33,8.78,"['脇坂', '家長', '小林x2', '谷口']",鬼木　達
5,6,2020-07-22,(水),仙台,3-2,3,2,A,ユアスタ,2507,曇,64,56,0.212,22,0.136,0.606,22.06,19.09,94.08,7.21,"['山根', '小林x2']",鬼木　達
6,7,2020-07-26,(日),湘南,3-1,3,1,H,等々力,4724,曇のち雷雨,70,71,0.264,29,0.103,0.584,33.14,26.25,94.64,8.04,"['山根', '三笘', '田中']",鬼木　達
7,8,2020-08-01,(土),Ｇ大阪,1-0,1,0,A,パナスタ,4925,晴,58,49,0.157,16,0.063,0.469,18.71,17.29,90.31,14.39,['大島'],鬼木　達
8,9,2020-08-08,(土),大分,2-0,2,0,H,等々力,4735,曇のち晴,60,100,0.188,18,0.111,0.482,20.13,17.17,107.95,3.14,"['三笘', 'Ｌダミアン']",鬼木　達
9,10,2020-08-15,(土),札幌,6-1,6,1,A,札幌ド,4601,屋内,50,43,0.143,16,0.375,0.52,18.92,14.74,121.96,18.14,"['車屋', 'Ｌダミアン', '三笘x2', '小林x2']",鬼木　達
10,11,2020-08-19,(水),Ｃ大阪,5-2,5,2,H,等々力,4794,晴,68,66,0.15,15,0.333,0.522,22.97,20.49,92.37,10.49,"['脇坂', '家長', '小林', '三笘', 'Ｌダミアン']",鬼木　達
11,12,2020-08-23,(日),名古屋,0-1,0,1,A,豊田ス,4968,晴,65,55,0.167,16,0.0,0.598,27.43,25.54,76.05,10.22,[''],鬼木　達
12,24,2020-08-26,(水),神戸,2-2,2,2,A,ノエスタ,3453,晴,47,52,0.074,9,0.222,0.438,14.83,11.78,91.96,15.29,"['大島', '旗手']",鬼木　達
13,13,2020-08-29,(土),清水,5-0,5,0,H,等々力,4798,晴,67,57,0.358,39,0.128,0.519,25.18,19.97,109.47,10.7,"['Ｌダミアン', '旗手x2', '中村', '三笘']",鬼木　達
14,14,2020-09-05,(土),横浜FM,3-1,3,1,A,日産ス,4971,晴時々雨,62,50,0.107,14,0.214,0.495,19.65,13.78,145.08,13.66,"['家長', '三笘x2']",鬼木　達
15,15,2020-09-09,(水),神戸,3-2,3,2,H,等々力,4778,晴,56,50,0.161,20,0.15,0.446,15.21,11.17,76.96,15.22,"['小林', 'Ｌダミアン', '宮代']",鬼木　達
16,16,2020-09-13,(日),広島,5-1,5,1,H,等々力,4770,雨のち曇,54,70,0.129,15,0.333,0.511,22.64,17.57,106.24,12.92,"['Ｌダミアン', '山村', '田中x2', '小林']",鬼木　達
17,17,2020-09-02,(日),浦和,3-0,3,0,A,埼玉,6357,晴,63,57,0.219,25,0.12,0.577,26.51,21.87,103.3,12.95,"['山根', '小林', 'Ｌダミアン']",鬼木　達
