Sec,Date,Opp,OppID,Score,GF,GA,W/L,H/A,Stadium,Attendances,Weather,AGI,KAGI,CBR,Shots,SSR,Possession,AttackCBP,PassCBP,StealP,DefenceP,Scorers,HeadCoach
1,2019-02-23,sanfrecce-hiroshima,16,0-3,0,3,2,1,Ｅスタ,18713,晴,62,51,0.156,19,0.0,0.632,23.88,16.68,77.57,10.77,[''],ザーゴ
2,2019-07-04,kawasaki-frontale,7,1-2,1,2,2,1,等々力,0,曇のち晴,54,44,0.131,14,0.0,0.489,12.47,10.16,89.74,10.41,['OG'],ザーゴ
3,2019-07-08,consadole-sapporo,1,0-2,0,2,2,0,カシマ,0,曇,47,66,0.183,20,0.0,0.538,16.57,15.09,108.15,11.59,[''],ザーゴ
4,2019-07-12,urawa-red-diamonds,4,0-1,0,1,2,1,埼玉,3094,晴,45,49,0.059,7,0.0,0.583,14.03,12.09,90.09,11.74,[''],ザーゴ
5,2019-07-18,yokohama-fa-marinos,8,4-2,4,2,1,0,カシマ,3090,雨,52,48,0.122,16,0.25,0.352,10.19,6.29,130.21,13.82,"['上田x2', 'エヴェラウド', '白崎']",ザーゴ
6,2019-07-22,shonan-bellmare,10,0-1,0,1,2,1,ＢＭＷス,3498,晴,53,58,0.135,17,0.0,0.608,22.62,17.08,88.78,9.42,[''],ザーゴ
7,2019-07-26,fc-tokyo,6,2-2,2,2,0,0,カシマ,3027,曇一時雨,60,39,0.187,23,0.087,0.509,19.07,14.2,75.33,13.31,"['エヴェラウド', '土居']",ザーゴ
8,2019-08-01,oita-trinita,18,4-1,4,1,1,1,昭和電ド,4225,晴,42,74,0.132,16,0.25,0.502,14.76,13.84,86.01,11.91,"['エヴェラウドx3', '伊藤']",ザーゴ
9,2019-08-08,sagan-tosu,17,2-0,2,0,1,0,カシマ,3913,曇,49,55,0.088,10,0.2,0.453,12.76,11.49,83.54,10.06,"['和泉', 'エヴェラウド']",ザーゴ
10,2019-08-16,vissel-kobe,15,2-2,2,2,0,0,カシマ,4766,晴のち曇,52,57,0.18,20,0.1,0.469,15.23,10.67,74.49,8.71,"['エヴェラウド', '荒木']",ザーゴ
