,節,開催日,曜日,相手,スコア,得点,失点,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
0,1,2018-02-25,(日),清水,0-0,0,0,A,アイスタ,19632,曇,59,49,0.074,10,0.0,0.567,17.84,11.64,83.65,15.61,[''],大岩　剛
1,2,2018-03-03,(土),Ｇ大阪,1-0,1,0,H,カシマ,24545,晴のち曇,64,53,0.164,24,0.042,0.453,16.05,11.31,145.14,17.91,['金崎'],大岩　剛
2,3,2018-03-01,(土),広島,0-1,0,1,H,カシマ,16799,晴,53,41,0.124,17,0.0,0.596,16.84,12.97,94.4,13.88,[''],大岩　剛
3,4,2018-03-18,(日),鳥栖,1-0,1,0,A,ベアスタ,17757,晴のち曇,56,32,0.066,9,0.111,0.479,10.99,7.8,89.76,19.12,['金崎'],大岩　剛
4,5,2018-03-31,(土),札幌,0-0,0,0,H,カシマ,19629,晴,60,40,0.11,14,0.0,0.494,13.15,10.53,73.79,16.79,[''],大岩　剛
5,6,2018-04-07,(土),湘南,1-2,1,2,A,ＢＭＷス,13947,曇のち雨,65,46,0.132,18,0.056,0.593,17.51,15.32,67.54,12.75,['鈴木'],大岩　剛
6,7,2018-04-11,(水),FC東京,1-2,1,2,A,味スタ,17260,曇,58,47,0.072,10,0.1,0.597,17.81,14.48,67.28,12.31,['金崎'],大岩　剛
7,8,2018-04-14,(土),名古屋,2-0,2,0,H,カシマ,17921,曇,55,45,0.102,14,0.143,0.383,11.88,9.5,136.64,20.42,['金崎x2'],大岩　剛
8,9,2018-04-21,(土),川崎Ｆ,1-4,1,4,A,等々力,24358,晴,54,43,0.104,14,0.071,0.541,13.9,9.59,107.26,8.09,['永木'],大岩　剛
9,10,2018-04-25,(水),神戸,1-1,1,1,H,カシマ,7672,晴のち曇,75,63,0.101,15,0.067,0.473,17.91,14.13,137.95,12.99,['鈴木'],大岩　剛
10,11,2018-04-28,(土),横浜FM,0-3,0,3,A,日産ス,27348,晴,68,56,0.111,18,0.0,0.484,16.32,11.56,131.29,15.7,[''],大岩　剛
11,12,2018-05-02,(水),長崎,2-1,2,1,H,カシマ,11848,曇のち雨,45,50,0.092,11,0.182,0.483,12.91,10.98,84.16,17.26,"['鈴木', '金崎']",大岩　剛
12,13,2018-05-05,(土),浦和,1-0,1,0,H,カシマ,33647,晴,37,50,0.082,10,0.1,0.416,8.41,6.7,84.37,17.32,['金崎'],大岩　剛
13,15,2018-05-02,(日),仙台,1-2,1,2,H,カシマ,23942,晴,60,45,0.079,11,0.091,0.516,18.01,14.52,118.21,11.92,['鈴木'],大岩　剛
14,16,2018-07-18,(水),磐田,3-3,3,3,A,ヤマハ,13577,晴,55,53,0.116,13,0.231,0.602,20.96,15.33,73.72,8.61,"['遠藤', '安部', '土居']",大岩　剛
15,17,2018-07-22,(日),柏,6-2,6,2,H,カシマ,24480,晴,62,47,0.158,18,0.333,0.489,21.83,16.27,80.12,14.73,"['鈴木x2', '中村', '土居', '安部', '安西']",大岩　剛
16,14,2018-07-25,(水),Ｃ大阪,2-0,2,0,A,ヤンマー,16631,晴,48,61,0.092,11,0.182,0.459,13.19,9.12,93.26,15.4,"['鈴木', '土居']",大岩　剛
17,18,2018-07-28,(土),Ｇ大阪,1-1,1,1,A,吹田Ｓ,28534,曇時々雨,48,50,0.051,6,0.167,0.51,13.91,11.5,81.84,14.95,['町田'],大岩　剛
18,19,2018-08-01,(水),FC東京,1-2,1,2,H,カシマ,12643,晴,51,35,0.063,7,0.143,0.516,12.09,9.39,72.5,13.32,['安西'],大岩　剛
19,20,2018-08-05,(日),清水,1-0,1,0,H,カシマ,19119,晴,53,58,0.098,12,0.083,0.609,15.69,13.35,94.27,10.52,['西'],大岩　剛
20,21,2018-08-11,(土),名古屋,2-4,2,4,A,豊田ス,43579,晴,68,47,0.235,23,0.087,0.587,21.38,16.06,64.72,10.54,"['土居', '鈴木']",大岩　剛
