,節,開催日,曜日,相手,スコア,得点,失点,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
0,1,2019-02-24,(日),山口,2-1,2,1,1,みらスタ,8440,晴,63,48,0.127,20,0.1,0.538,20.71,16.69,97.28,16.7,['クリスティアーノx2'],ネルシーニョ
1,2,2019-03-02,(土),町田,1-0,1,0,0,三協Ｆ柏,10134,晴,63,32,0.132,15,0.067,0.576,14.89,11.34,60.99,19.26,['瀬川'],ネルシーニョ
2,3,2019-03-09,(土),新潟,1-0,1,0,1,デンカＳ,20486,晴,56,43,0.132,15,0.067,0.555,16.7,12.66,70.58,18.17,['オルンガ'],ネルシーニョ
3,4,2019-03-17,(日),京都,1-0,1,0,1,西京極,6143,曇,51,97,0.125,12,0.083,0.407,15.47,13.13,90.63,7.92,['鎌田'],ネルシーニョ
4,5,2019-03-23,(土),岡山,0-1,0,1,0,三協Ｆ柏,7845,曇,50,59,0.088,12,0.0,0.501,12.76,10.11,95.52,15.56,[''],ネルシーニョ
5,6,2019-03-03,(土),東京Ｖ,0-2,0,2,1,味スタ,5708,曇,72,71,0.215,26,0.0,0.624,29.81,22.43,89.46,7.11,[''],ネルシーニョ
6,7,2019-04-03,(水),長崎,3-0,3,0,0,三協Ｆ柏,6415,晴,62,62,0.213,30,0.1,0.507,22.71,16.12,149.07,15.65,"['古賀', 'オルンガx2']",ネルシーニョ
7,8,2019-04-07,(日),琉球,1-1,1,1,1,タピスタ,7913,曇,50,59,0.126,16,0.063,0.456,12.34,11.2,100.48,18.47,['ガブリエル'],ネルシーニョ
8,9,2019-04-14,(日),栃木,0-0,0,0,0,三協Ｆ柏,7498,曇一時雨,69,72,0.135,20,0.0,0.621,21.3,16.62,81.29,9.26,[''],ネルシーニョ
9,10,2019-04-21,(日),金沢,0-0,0,0,1,石川西部,7685,曇,64,52,0.146,23,0.0,0.55,16.61,12.97,104.59,13.54,[''],ネルシーニョ
10,11,2019-04-28,(日),横浜FC,0-0,0,0,0,三協Ｆ柏,13056,晴一時曇,58,59,0.115,15,0.0,0.57,20.1,16.52,117.52,10.1,[''],ネルシーニョ
11,12,2019-05-04,(土),鹿児島,1-2,1,2,1,白波スタ,7965,晴,64,63,0.131,19,0.053,0.536,19.99,15.43,116.5,7.61,['江坂'],ネルシーニョ
12,13,2019-05-12,(日),徳島,1-0,1,0,0,三協Ｆ柏,7785,晴,62,49,0.176,22,0.045,0.401,14.62,9.56,102.82,14.69,['オルンガ'],ネルシーニョ
13,14,2019-05-19,(日),水戸,0-0,0,0,1,Ｋｓスタ,8829,晴時々曇,58,64,0.143,20,0.0,0.561,23.24,14.32,83.73,11.65,[''],ネルシーニョ
14,15,2019-05-26,(日),大宮,1-1,1,1,0,三協Ｆ柏,10671,晴,57,47,0.142,19,0.053,0.575,20.34,17.05,104.33,14.17,['オルンガ'],ネルシーニョ
15,16,2019-06-01,(土),岐阜,1-0,1,0,0,三協Ｆ柏,7596,曇時々晴,64,63,0.111,14,0.071,0.621,21.24,16.25,68.55,13.32,['オルンガ'],ネルシーニョ
16,17,2019-06-09,(日),愛媛,1-3,1,3,1,ニンスタ,7874,晴,44,39,0.084,10,0.1,0.528,13.28,11.27,81.98,11.95,['クリスティアーノ'],ネルシーニョ
17,18,2019-06-16,(日),福岡,1-1,1,1,1,レベスタ,10348,晴,68,59,0.171,21,0.048,0.603,27.25,20.45,94.38,7.29,['江坂'],ネルシーニョ
18,19,2019-06-22,(土),千葉,2-0,2,0,0,三協Ｆ柏,12016,曇一時雨,59,57,0.154,20,0.1,0.498,18.65,11.81,97.13,11.95,"['クリスティアーノ', '瀬川']",ネルシーニョ
19,20,2019-06-29,(土),山形,1-0,1,0,1,ＮＤスタ,8117,雨,51,52,0.096,12,0.083,0.487,11.93,10.03,59.13,15.04,['鎌田'],ネルシーニョ
20,21,2019-07-07,(日),甲府,4-2,4,2,0,三協Ｆ柏,7672,雨,56,47,0.173,22,0.182,0.535,18.2,13.89,89.72,11.81,"['クリスティアーノ', 'オルンガ', '江坂x2']",ネルシーニョ
21,22,2019-07-13,(土),徳島,2-1,2,1,1,鳴門大塚,7211,雨,54,45,0.146,14,0.143,0.439,12.11,8.99,75.09,14.95,"['鎌田', '瀬川']",ネルシーニョ
22,23,2019-07-02,(土),金沢,1-0,1,0,0,三協Ｆ柏,8081,曇,45,43,0.083,11,0.091,0.585,17.39,14.25,104.05,17.94,['クリスティアーノ'],ネルシーニョ
23,24,2019-07-27,(土),栃木,2-1,2,1,1,栃木グ,5815,晴,45,42,0.109,12,0.167,0.579,15.34,12.05,66.02,20.23,"['オルンガ', 'クリスティアーノ']",ネルシーニョ
24,25,2019-07-31,(水),岡山,4-0,4,0,1,Ｃスタ,11148,晴,46,47,0.157,17,0.176,0.535,15.29,13.42,70.18,16.05,"['瀬川', '江坂', 'Ｍサヴィオ', 'OG']",ネルシーニョ
25,26,2019-08-04,(日),琉球,5-1,5,1,0,三協Ｆ柏,8441,晴,52,46,0.126,15,0.333,0.543,16.36,14.67,93.0,13.7,"['瀬川', '古賀', 'クリスティアーノ', '江坂x2']",ネルシーニョ
26,27,2019-08-01,(土),山口,4-1,4,1,0,三協Ｆ柏,9696,晴,48,39,0.116,14,0.286,0.491,13.22,11.22,69.29,14.28,"['クリスティアーノ', 'オルンガx3']",ネルシーニョ
27,28,2019-08-17,(土),長崎,2-1,2,1,1,トラスタ,8869,晴,65,56,0.148,18,0.111,0.542,19.25,15.46,80.34,12.45,"['Ｍサヴィオ', 'オルンガ']",ネルシーニョ
28,29,2019-08-25,(日),岐阜,4-0,4,0,1,長良川,9327,晴,56,56,0.132,16,0.25,0.505,22.02,18.69,95.53,12.74,"['クリスティアーノ', '鎌田', 'オルンガx2']",ネルシーニョ
29,30,2019-08-31,(土),新潟,1-1,1,1,0,三協Ｆ柏,12926,曇,62,53,0.169,21,0.048,0.592,23.63,18.59,70.64,14.12,['Ｍサヴィオ'],ネルシーニョ
30,31,2019-09-07,(土),山形,3-4,3,4,0,三協Ｆ柏,10745,晴,64,48,0.164,20,0.15,0.624,21.18,17.92,86.59,9.93,"['クリスティアーノx2', 'Ｍサヴィオ']",ネルシーニョ
31,32,2019-09-14,(土),甲府,1-1,1,1,1,中銀スタ,10500,曇,50,46,0.117,14,0.071,0.516,15.49,11.8,80.3,17.36,['江坂'],ネルシーニョ
32,33,2019-09-22,(日),愛媛,2-1,2,1,0,三協Ｆ柏,7671,曇,52,53,0.16,19,0.105,0.527,21.29,16.48,85.62,10.98,"['染谷', '江坂']",ネルシーニョ
33,34,2019-09-28,(土),東京Ｖ,3-0,3,0,0,三協Ｆ柏,9064,曇,53,82,0.165,16,0.188,0.429,14.81,12.62,79.48,11.28,"['オルンガx2', 'クリスティアーノ']",ネルシーニョ
34,35,2019-10-06,(日),横浜FC,0-1,0,1,1,ニッパツ,11480,曇のち晴,60,47,0.148,16,0.0,0.471,16.36,12.62,59.43,17.63,[''],ネルシーニョ
35,36,2019-10-14,(月),水戸,2-3,2,3,0,三協Ｆ柏,9260,雨,65,50,0.158,21,0.095,0.625,24.75,20.51,69.8,14.18,"['染谷', 'クリスティアーノ']",ネルシーニョ
36,37,2019-10-02,(日),千葉,3-0,3,0,1,フクアリ,14950,曇のち晴,43,58,0.174,20,0.15,0.538,14.8,12.64,71.74,14.17,"['瀬川', '三原x2']",ネルシーニョ
37,38,2019-10-27,(日),福岡,4-0,4,0,0,三協Ｆ柏,9850,曇時々晴,50,78,0.202,23,0.174,0.59,24.02,19.61,92.61,11.02,"['江坂', 'オルンガx2', 'Ｍサヴィオ']",ネルシーニョ
38,39,2019-11-02,(土),大宮,1-2,1,2,1,ＮＡＣＫ,11687,晴,59,53,0.196,22,0.045,0.688,26.04,20.0,78.63,11.4,['Ｍサヴィオ'],ネルシーニョ
39,40,2019-11-09,(土),鹿児島,3-0,3,0,0,三協Ｆ柏,10729,晴,53,48,0.137,18,0.167,0.508,17.1,13.71,100.3,13.6,"['ヒシャルジソン', '江坂', 'オルンガ']",ネルシーニョ
40,41,2019-11-16,(土),町田,3-0,3,0,1,町田,6872,晴,51,40,0.1,14,0.214,0.54,18.68,14.94,98.45,22.39,"['瀬川', 'クリスティアーノx2']",ネルシーニョ
41,42,2019-11-24,(日),京都,13-1,13,1,0,三協Ｆ柏,11736,曇,50,41,0.253,25,0.52,0.444,21.73,14.96,85.5,12.48,"['瀬川', 'オルンガx8', 'Ｍサヴィオ', 'クリスティアーノx3']",ネルシーニョ
