Sec,Date,Opp,OppID,Score,GF,GA,W/L,H/A,Stadium,Attendances,Weather,AGI,KAGI,CBR,Shots,SSR,Possession,AttackCBP,PassCBP,StealP,DefenceP,Scorers,HeadCoach
1,2019-02-22,sagan-tosu,17,0-0,0,0,0,0,等々力,21117,曇,71,57,0.216,24,0.0,0.59,28.64,21.64,91.69,9.94,[''],鬼木　達
2,2019-07-04,kashima-antlers,3,2-1,2,1,1,0,等々力,0,曇のち晴,56,46,0.108,12,0.167,0.511,14.67,11.57,74.8,16.9,"['谷口', '長谷川']",鬼木　達
3,2019-07-08,fc-tokyo,6,4-0,4,0,1,1,味スタ,0,晴,73,43,0.147,17,0.235,0.565,27.54,23.88,98.02,13.65,"['大島', 'Ｌダミアン', '長谷川x2']",鬼木　達
4,2019-07-11,kashiwa-reysol,5,3-1,3,1,1,0,等々力,4724,曇,62,79,0.109,14,0.214,0.561,23.17,20.29,132.92,10.82,"['家長x2', 'Ｌダミアン']",鬼木　達
5,2019-07-18,yokohama-fc,9,5-1,5,1,1,1,ニッパツ,2733,曇,67,51,0.21,25,0.2,0.489,23.26,18.7,95.33,8.78,"['脇坂', '家長', '小林x2', '谷口']",鬼木　達
6,2019-07-22,vegalta-sendai,2,3-2,3,2,1,1,ユアスタ,2507,曇,64,56,0.212,22,0.136,0.606,22.06,19.09,94.08,7.21,"['山根', '小林x2']",鬼木　達
7,2019-07-26,shonan-bellmare,10,3-1,3,1,1,0,等々力,4724,曇のち雷雨,70,71,0.264,29,0.103,0.584,33.14,26.25,94.64,8.04,"['山根', '三笘', '田中']",鬼木　達
8,2019-08-01,gamba-osaka,13,1-0,1,0,1,1,パナスタ,4925,晴,58,49,0.157,16,0.063,0.469,18.71,17.29,90.31,14.39,['大島'],鬼木　達
9,2019-08-08,oita-trinita,18,2-0,2,0,1,0,等々力,4735,曇のち晴,60,100,0.188,18,0.111,0.482,20.13,17.17,107.95,3.14,"['三笘', 'Ｌダミアン']",鬼木　達
10,2019-08-15,consadole-sapporo,1,6-1,6,1,1,1,札幌ド,4601,屋内,50,43,0.143,16,0.375,0.52,18.92,14.74,121.96,18.14,"['車屋', 'Ｌダミアン', '三笘x2', '小林x2']",鬼木　達
11,2019-08-19,cerezo-osaka,14,5-2,5,2,1,0,等々力,4794,晴,68,66,0.15,15,0.333,0.522,22.97,20.49,92.37,10.49,"['脇坂', '家長', '小林', '三笘', 'Ｌダミアン']",鬼木　達
12,2019-08-23,nagoya-grampus-eight,12,0-1,0,1,2,1,豊田ス,4968,晴,65,55,0.167,16,0.0,0.598,27.43,25.54,76.05,10.22,[''],鬼木　達
