,節,開催日,曜日,相手,スコア,得点,失点,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
0,1,2019-02-22,(金),Ｃ大阪,0-1,0,1,A,ヤンマー,42221,曇,61,57,0.15,15,0.0,0.612,25.05,22.83,77.88,7.29,[''],フアン　マヌエル　リージョ
1,2,2019-03-02,(土),鳥栖,1-0,1,0,H,ノエスタ,25172,晴,44,47,0.148,16,0.063,0.647,17.92,16.92,72.59,10.53,['ダビドビジャ'],フアン　マヌエル　リージョ
2,3,2019-03-01,(日),仙台,3-1,3,1,A,ユアスタ,19503,晴,49,48,0.143,17,0.118,0.597,24.9,19.95,102.82,13.07,"['古橋', 'ダビドビジャ', 'OG']",フアン　マヌエル　リージョ
3,4,2019-03-17,(日),清水,1-1,1,1,H,ノエスタ,22542,晴,45,35,0.111,13,0.077,0.6,20.18,16.01,79.61,18.17,['Ｌポドルスキ'],フアン　マヌエル　リージョ
4,5,2019-03-03,(土),Ｇ大阪,4-3,4,3,A,パナスタ,37076,雨,55,32,0.109,13,0.308,0.533,18.98,15.75,75.21,18.27,"['Ｌポドルスキ', 'ダビドビジャ', '田中x2']",フアン　マヌエル　リージョ
5,6,2019-04-06,(土),松本,1-2,1,2,A,サンアル,18831,晴,62,43,0.101,13,0.077,0.673,26.39,18.7,93.22,10.17,['ウェリントン'],フアン　マヌエル　リージョ
6,7,2019-04-14,(日),広島,2-4,2,4,H,ノエスタ,17708,屋内,41,40,0.116,13,0.154,0.612,19.92,16.76,99.12,10.29,"['ウェリントン', '古橋']",フアン　マヌエル　リージョ
7,8,2019-04-02,(土),浦和,0-1,0,1,A,埼玉,54599,晴,57,52,0.109,14,0.0,0.707,23.71,21.52,110.36,8.97,[''],吉田　孝行
8,9,2019-04-28,(日),川崎Ｆ,1-2,1,2,H,ノエスタ,25929,晴,48,45,0.101,13,0.077,0.613,19.94,17.01,91.12,9.57,['古橋'],吉田　孝行
9,10,2019-05-04,(土),札幌,1-2,1,2,A,札幌ド,34591,屋内,42,40,0.121,13,0.077,0.568,17.31,14.0,81.66,17.61,['ダビドビジャ'],吉田　孝行
10,11,2019-05-12,(日),鹿島,0-1,0,1,H,ノエスタ,20119,晴,39,44,0.038,5,0.0,0.577,14.85,13.75,108.72,14.31,[''],吉田　孝行
11,12,2019-05-18,(土),横浜FM,1-4,1,4,A,日産ス,44210,晴,45,46,0.104,13,0.077,0.418,10.62,7.72,109.89,17.84,['ウェリントン'],吉田　孝行
12,13,2019-05-26,(日),湘南,4-1,4,1,H,ノエスタ,18091,晴,53,53,0.126,15,0.267,0.608,15.75,13.71,88.35,9.48,"['三田', 'ダビドビジャ', 'ウェリントンx2']",吉田　孝行
13,14,2019-06-01,(土),磐田,1-1,1,1,A,エコパ,26753,晴,43,46,0.082,9,0.111,0.505,9.97,8.65,72.97,15.84,['ダビドビジャ'],吉田　孝行
14,15,2019-06-15,(土),FC東京,1-0,1,0,A,味スタ,38506,雨のち曇,52,34,0.187,20,0.05,0.583,22.7,13.52,80.89,16.14,['Ａイニエスタ'],トルステン　フィンク
15,16,2019-06-22,(土),大分,2-2,2,2,H,ノエスタ,20192,曇,53,84,0.17,15,0.133,0.452,17.23,12.95,58.48,7.53,"['ダビドビジャ', 'ウェリントン']",トルステン　フィンク
16,17,2019-06-03,(日),名古屋,5-3,5,3,H,ノエスタ,22123,曇,42,35,0.103,10,0.5,0.394,8.8,5.98,83.56,16.2,"['Ａイニエスタx2', 'ダビドビジャx2', '小川']",トルステン　フィンク
17,18,2019-07-06,(土),清水,1-2,1,2,A,アイスタ,15420,曇のち雨,36,43,0.104,12,0.083,0.636,15.37,11.83,74.23,12.37,['ダビドビジャ'],トルステン　フィンク
18,19,2019-07-14,(日),湘南,1-3,1,3,A,ＢＭＷス,14246,曇のち雨,44,35,0.08,9,0.111,0.58,14.91,12.79,52.67,17.78,['古橋'],トルステン　フィンク
19,20,2019-07-02,(土),横浜FM,0-2,0,2,H,ノエスタ,20269,曇,55,53,0.179,20,0.0,0.482,18.68,11.97,84.87,11.64,[''],トルステン　フィンク
20,21,2019-08-02,(金),Ｇ大阪,2-2,2,2,H,ノエスタ,21276,晴,62,49,0.241,27,0.074,0.572,25.34,16.56,98.0,9.06,"['Ａイニエスタ', '増山']",トルステン　フィンク
21,22,2019-08-01,(土),大分,1-1,1,1,A,昭和電ド,26085,晴,37,63,0.106,9,0.111,0.567,14.92,12.35,61.23,9.61,['古橋'],トルステン　フィンク
22,23,2019-08-17,(土),浦和,3-0,3,0,H,ノエスタ,22513,晴,45,54,0.202,19,0.158,0.525,15.16,12.42,83.36,15.58,"['古橋', '山口', 'Ａイニエスタ']",トルステン　フィンク
23,24,2019-08-23,(金),鳥栖,6-1,6,1,A,駅スタ,23055,雨のち曇,43,39,0.158,16,0.375,0.6,19.75,16.93,58.86,16.16,"['山口x2', 'Ａイニエスタ', '田中', '古橋x2']",トルステン　フィンク
24,25,2019-08-31,(土),札幌,2-3,2,3,H,ノエスタ,20825,曇,45,63,0.194,19,0.105,0.654,22.85,19.68,99.65,8.04,['田中x2'],トルステン　フィンク
25,26,2019-09-14,(土),松本,2-1,2,1,H,ノエスタ,20215,晴,51,56,0.17,18,0.111,0.692,24.34,21.19,98.22,8.23,"['ダビドビジャ', '小川']",トルステン　フィンク
