,年度,大会,節,試合日,K/O時刻,ホーム,アウェイ,ホーム得点,アウェイ得点,勝敗,スタジアム,入場者数,インターネット中継・TV放送
0,2020,Ｊ１ ,26,08/26,2020-08-26 19:03:00,fctk,kasm,1,2,2,味スタ,4390,ＤＡＺＮ
1,2020,Ｊ１ ,26,11/03,2020-11-03 13:03:00,tosu,nago,0,0,0,駅スタ,6912,ＤＡＺＮ
2,2020,Ｊ１ ,26,11/03,2020-11-03 14:03:00,c-os,g-os,1,1,0,ヤンマー,19553,ＤＡＺＮ／ＮＨＫ大阪
3,2020,Ｊ１ ,26,11/03,2020-11-03 14:03:00,ka-f,sapp,0,2,2,等々力,11165,ＤＡＺＮ／ＮＨＫ　ＢＳ１
4,2020,Ｊ１ ,26,11/03,2020-11-03 15:03:00,shim,kobe,3,1,1,アイスタ,6168,ＤＡＺＮ　ＡＦＣチャンピオンズリーグ２０２０の日程等に伴い、８月４日の発表時より日程が変更となっております。
5,2020,Ｊ１ ,26,11/03,2020-11-03 16:03:00,y-fc,oita,2,3,2,ニッパツ,3704,ＤＡＺＮ
6,2020,Ｊ１ ,26,11/03,2020-11-03 17:03:00,hiro,uraw,1,1,0,Ｅスタ,5475,ＤＡＺＮ
7,2020,Ｊ１ ,26,11/11,2020-11-11 19:33:00,shon,y-fm,1,0,1,ＢＭＷス,5082,ＤＡＺＮ
8,2020,Ｊ１ ,26,12/01,2020-12-01 19:03:00,send,kasw,0,2,2,ユアスタ,2720,ＤＡＺＮ
9,2020,Ｊ１ ,27,11/14,2020-11-14 14:03:00,shim,c-os,3,1,1,アイスタ,6076,ＤＡＺＮ
10,2020,Ｊ１ ,27,11/14,2020-11-14 14:03:00,hiro,y-fc,1,1,0,Ｅスタ,6081,ＤＡＺＮ／ＮＨＫ広島
11,2020,Ｊ１ ,27,11/14,2020-11-14 14:03:00,sapp,tosu,1,1,0,札幌ド,5663,ＤＡＺＮ／札幌テレビ
12,2020,Ｊ１ ,27,11/14,2020-11-14 15:03:00,g-os,send,0,4,2,パナスタ,11567,ＤＡＺＮ
13,2020,Ｊ１ ,27,11/14,2020-11-14 16:03:00,y-fm,uraw,6,2,1,日産ス,18148,ＤＡＺＮ
14,2020,Ｊ１ ,27,11/14,2020-11-14 17:03:00,kasm,ka-f,1,1,0,カシマ,13463,ＤＡＺＮ
15,2020,Ｊ１ ,27,11/15,2020-11-15 14:03:00,kobe,shon,0,2,2,ノエスタ,11232,ＤＡＺＮ／サンテレビ
16,2020,Ｊ１ ,27,11/15,2020-11-15 19:03:00,nago,fctk,1,0,1,豊田ス,16709,ＤＡＺＮ／ＮＨＫ　ＢＳ１
17,2020,Ｊ１ ,27,12/09,2020-12-09 19:03:00,kasw,oita,1,1,0,三協Ｆ柏,2412,ＤＡＺＮ
18,2020,Ｊ１ ,28,10/24,2020-10-24 15:03:00,fctk,y-fm,0,4,2,味スタ,9518,ＤＡＺＮ　ＡＦＣチャンピオンズリーグ２０２０の日程等に伴い、８月４日の発表時より日程が変更となっております。
19,2020,Ｊ１ ,28,11/08,2020-11-08 14:03:00,y-fc,kobe,2,1,1,ニッパツ,6965,ＤＡＺＮ　ＡＦＣチャンピオンズリーグ２０２０の日程等に伴い、８月４日の発表時より日程が変更となっております。
20,2020,Ｊ１ ,28,11/21,2020-11-21 14:03:00,oita,ka-f,1,0,1,昭和電ド,9820,ＤＡＺＮ／ＮＨＫ　ＢＳ１
21,2020,Ｊ１ ,28,11/21,2020-11-21 14:03:00,sapp,shim,5,1,1,札幌ド,5220,ＤＡＺＮ／北海道文化放送
22,2020,Ｊ１ ,28,11/21,2020-11-21 15:03:00,kasw,tosu,1,2,2,三協Ｆ柏,3784,ＤＡＺＮ
23,2020,Ｊ１ ,28,11/21,2020-11-21 15:03:00,send,kasm,1,3,2,ユアスタ,7487,ＤＡＺＮ
24,2020,Ｊ１ ,28,11/21,2020-11-21 16:03:00,c-os,hiro,0,1,2,ヤンマー,6625,ＤＡＺＮ／ＮＨＫ　ＢＳ１
25,2020,Ｊ１ ,28,11/21,2020-11-21 17:03:00,nago,shon,3,1,1,豊田ス,15480,ＤＡＺＮ
26,2020,Ｊ１ ,28,11/22,2020-11-22 16:03:00,uraw,g-os,1,2,2,埼玉,20288,ＤＡＺＮ
27,2020,Ｊ１ ,29,08/26,2020-08-26 19:33:00,y-fm,sapp,4,1,1,日産ス,4181,ＤＡＺＮ
28,2020,Ｊ１ ,29,09/30,2020-09-30 19:03:00,kobe,nago,1,0,1,ノエスタ,4825,ＤＡＺＮ
29,2020,Ｊ１ ,29,09/30,2020-09-30 19:33:00,uraw,fctk,0,1,2,埼玉,5623,ＤＡＺＮ
30,2020,Ｊ１ ,29,11/25,2020-11-25 18:33:00,ka-f,g-os,5,0,1,等々力,11360,ＤＡＺＮ／ＮＨＫ　ＢＳ１
31,2020,Ｊ１ ,29,11/25,2020-11-25 19:03:00,oita,c-os,0,1,2,昭和電ド,3861,ＤＡＺＮ
32,2020,Ｊ１ ,29,11/25,2020-11-25 19:03:00,y-fc,shim,1,3,2,ニッパツ,3165,ＤＡＺＮ
33,2020,Ｊ１ ,29,11/25,2020-11-25 19:03:00,kasm,kasw,1,4,2,カシマ,4327,ＤＡＺＮ
34,2020,Ｊ１ ,29,11/25,2020-11-25 19:33:00,shon,hiro,1,1,0,ＢＭＷス,3182,ＤＡＺＮ
35,2020,Ｊ１ ,29,11/25,2020-11-25 19:33:00,tosu,send,0,1,2,駅スタ,3694,ＤＡＺＮ
36,2020,Ｊ１ ,30,10/28,2020-10-28 19:03:00,fctk,kasw,1,3,2,味スタ,6632,ＤＡＺＮ　ＡＦＣチャンピオンズリーグ２０２０の日程等に伴い、８月４日の発表時より日程が変更となっております。
