節,開催日,曜日,相手,スコア,得点,失点,勝敗,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
1,2018-02-24,(土),Ｇ大阪,3-2,3,2,1,1,吹田Ｓ,28681,曇,50,51,0.09,12,0.25,0.503,17.93,15.38,95.16,14.24,"['ガブリエルシャビエル', 'ホーシャ', 'ジョー']",風間　八宏
2,2018-03-03,(土),磐田,1-0,1,0,1,0,豊田ス,38916,曇,52,43,0.103,13,0.077,0.473,15.82,12.63,73.28,14.99,['ガブリエルシャビエル'],風間　八宏
3,2018-03-11,(日),湘南,0-0,0,0,0,1,ＢＭＷス,12465,晴,64,46,0.099,13,0.0,0.555,19.65,17.56,93.54,12.56,[''],風間　八宏
4,2018-03-18,(日),川崎Ｆ,0-1,0,1,2,0,豊田ス,25898,曇,39,45,0.074,9,0.0,0.483,19.12,16.6,104.67,13.93,[''],風間　八宏
5,2018-03-31,(土),鳥栖,2-3,2,3,2,1,ベアスタ,12957,晴,34,26,0.079,10,0.2,0.541,13.73,10.81,68.15,21.28,['ガブリエルシャビエルx2'],風間　八宏
6,2018-04-07,(土),札幌,0-3,0,3,2,1,札幌ド,17390,屋内,44,44,0.066,8,0.0,0.581,18.93,16.39,64.65,12.79,[''],風間　八宏
7,2018-04-11,(水),仙台,2-3,2,3,2,0,パロ瑞穂,9297,曇,47,56,0.092,12,0.167,0.561,17.03,13.6,59.98,10.85,['ジョーx2'],風間　八宏
8,2018-04-14,(土),鹿島,0-2,0,2,2,1,カシマ,17921,曇,55,45,0.039,6,0.0,0.617,25.93,22.91,123.02,10.73,[''],風間　八宏
9,2018-04-21,(土),神戸,0-3,0,3,2,1,ノエスタ,18681,晴,62,49,0.132,15,0.0,0.44,16.11,14.81,57.38,11.12,[''],風間　八宏
10,2018-04-25,(水),清水,1-3,1,3,2,0,パロ瑞穂,9774,晴,56,48,0.091,12,0.083,0.515,18.56,16.32,76.86,14.31,['ホーシャ'],風間　八宏
11,2018-04-28,(土),FC東京,2-3,2,3,2,1,味スタ,25185,晴,56,50,0.113,14,0.143,0.542,15.76,14.84,93.67,10.33,"['ジョー', 'ホーシャ']",風間　八宏
12,2018-05-02,(水),Ｃ大阪,0-0,0,0,0,0,パロ瑞穂,13220,雨,40,48,0.061,8,0.0,0.51,10.95,9.56,113.67,16.27,[''],風間　八宏
