節,開催日,曜日,相手,team_id,スコア,得点,失点,勝敗,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
1,2018-02-25,(日),栃木,0,4-2,4,2,1,1,栃木グ,8526,曇,42,34,0.095,13,0.308,0.461,11.76,9.67,84.21,24.41,"['後藤x2', '藤本', '伊佐']",片野坂　知宏
2,2018-03-04,(日),山形,0,2-2,2,2,0,0,大銀ド,9024,晴,28,45,0.124,13,0.154,0.508,14.12,12.4,60.16,14.03,"['後藤', '松本']",片野坂　知宏
3,2018-03-11,(日),岡山,0,0-1,0,1,2,1,Ｃスタ,8358,晴,39,54,0.084,11,0.0,0.634,21.15,18.92,81.98,16.86,[''],片野坂　知宏
4,2018-03-17,(土),東京Ｖ,0,0-0,0,0,0,0,大銀ド,6297,晴,56,53,0.194,21,0.0,0.489,25.05,18.91,88.56,13.62,[''],片野坂　知宏
5,2018-03-21,(水),水戸,0,3-1,3,1,1,0,大銀ド,6133,屋内,48,50,0.107,13,0.231,0.461,16.12,12.86,94.74,16.95,"['後藤', '星', '林']",片野坂　知宏
6,2018-03-25,(日),讃岐,0,2-1,2,1,1,1,ピカスタ,2770,晴,47,59,0.156,17,0.118,0.454,16.97,14.99,64.21,12.69,"['宮阪', '馬場']",片野坂　知宏
7,2018-04-01,(日),千葉,0,4-0,4,0,1,0,大銀ド,6797,晴,51,64,0.085,10,0.4,0.3,8.79,6.59,66.56,20.56,"['林', '星', '清本', '川西']",片野坂　知宏
8,2018-04-07,(土),京都,0,1-0,1,0,1,1,西京極,5099,雨時々晴,50,50,0.11,13,0.077,0.445,17.01,14.03,70.12,16.45,['清本'],片野坂　知宏
9,2018-04-15,(日),横浜FC,9,1-1,1,1,0,0,大銀ド,8102,曇時々晴,57,56,0.114,13,0.077,0.55,25.14,18.91,66.01,12.54,['松本'],片野坂　知宏
10,2018-04-22,(日),金沢,0,1-0,1,0,1,1,石川西部,4131,晴,40,43,0.088,11,0.091,0.52,19.33,17.2,60.06,15.84,['丸谷'],片野坂　知宏
11,2018-04-28,(土),町田,0,4-3,4,3,1,0,大銀ド,7205,晴,52,60,0.113,13,0.308,0.628,22.02,17.64,77.51,13.79,"['馬場x3', '伊佐']",片野坂　知宏
12,2018-05-03,(木),大宮,0,1-2,1,2,2,0,大銀ド,10134,晴,37,46,0.059,7,0.143,0.482,13.51,11.74,61.85,17.51,['清本'],片野坂　知宏
13,2018-05-06,(日),新潟,0,2-1,2,1,1,1,デンカＳ,19020,曇,42,43,0.1,11,0.091,0.516,16.14,14.63,84.16,13.59,"['松本', 'OG']",片野坂　知宏
14,2018-05-13,(日),岐阜,0,2-1,2,1,1,0,大銀ド,6609,屋内,46,60,0.122,12,0.167,0.402,15.01,11.89,72.86,14.32,"['伊佐', '三平']",片野坂　知宏
15,2018-05-02,(日),山口,0,2-2,2,2,0,0,大銀ド,11862,晴,46,38,0.096,13,0.154,0.484,14.39,11.39,67.02,18.58,['馬場x2'],片野坂　知宏
16,2018-05-26,(土),甲府,0,2-6,2,6,2,1,中銀スタ,7639,曇,54,50,0.112,14,0.143,0.595,26.11,19.62,83.14,13.37,"['馬場', '後藤']",片野坂　知宏
17,2018-06-03,(日),熊本,0,2-0,2,0,1,0,大銀ド,8371,曇時々晴,55,60,0.152,16,0.125,0.4,16.91,13.7,90.09,13.1,"['馬場', '後藤']",片野坂　知宏
18,2018-06-01,(日),愛媛,0,0-1,0,1,2,1,ニンスタ,2720,雨,52,68,0.192,19,0.0,0.506,20.35,16.56,57.79,9.66,[''],片野坂　知宏
19,2018-06-16,(土),松本,0,4-1,4,1,1,1,松本,11942,曇,44,57,0.158,18,0.222,0.641,24.62,16.4,65.82,12.41,"['藤本', '三平', '後藤x2']",片野坂　知宏
20,2018-06-23,(土),福岡,0,1-0,1,0,1,0,大銀ド,12056,屋内,38,30,0.115,13,0.077,0.478,12.47,9.89,52.61,23.55,['藤本'],片野坂　知宏
21,2018-06-03,(土),徳島,0,0-3,0,3,2,1,鳴門大塚,4491,曇,47,48,0.116,11,0.0,0.561,20.64,18.49,72.32,9.29,[''],片野坂　知宏
22,2018-07-07,(土),甲府,0,2-4,2,4,2,0,大銀ド,7152,屋内,40,53,0.116,15,0.133,0.574,18.13,16.08,71.99,13.09,['藤本x2'],片野坂　知宏
23,2018-07-15,(日),大宮,0,0-1,0,1,2,1,ＮＡＣＫ,9272,晴,47,76,0.058,6,0.0,0.521,19.1,15.39,51.9,7.5,[''],片野坂　知宏
24,2018-07-21,(土),栃木,0,0-0,0,0,0,0,大銀ド,7080,晴時々曇,43,39,0.13,14,0.0,0.681,19.35,16.78,58.79,11.07,[''],片野坂　知宏
25,2018-07-25,(水),愛媛,0,0-1,0,1,2,0,大銀ド,4880,晴,59,100,0.204,21,0.0,0.646,32.69,25.91,70.31,4.11,[''],片野坂　知宏
26,2018-07-29,(日),岐阜,0,2-0,2,0,1,1,長良川,6068,晴,55,61,0.12,15,0.067,0.396,17.17,11.95,101.54,13.05,"['三平', 'OG']",片野坂　知宏
27,2018-08-05,(日),新潟,0,4-0,4,0,1,0,大銀ド,5635,晴,53,72,0.136,15,0.267,0.502,19.34,15.35,81.25,14.58,"['那須川', '三平x2', '小手川']",片野坂　知宏
28,2018-08-11,(土),岡山,0,4-1,4,1,1,0,大銀ド,11064,曇時々雨,52,61,0.193,21,0.19,0.605,22.97,17.86,71.42,11.75,"['三平', '後藤x2', '馬場']",片野坂　知宏
29,2018-08-18,(土),東京Ｖ,0,0-0,0,0,0,1,味スタ,9214,晴,52,58,0.167,15,0.0,0.505,20.95,17.18,72.68,13.03,[''],片野坂　知宏
30,2018-08-25,(土),徳島,0,0-1,0,1,2,0,大銀ド,8738,晴,75,65,0.217,20,0.0,0.657,39.68,32.54,101.11,8.09,[''],片野坂　知宏
31,2018-09-01,(土),福岡,0,0-1,0,1,2,1,レベスタ,10120,曇,57,44,0.129,15,0.0,0.578,19.06,14.38,56.54,13.25,[''],片野坂　知宏
32,2018-09-08,(土),熊本,0,3-1,3,1,1,1,えがおＳ,10226,曇,46,62,0.114,13,0.231,0.527,17.84,15.75,91.94,13.09,"['三平', '丸谷', '藤本']",片野坂　知宏
33,2018-09-15,(土),讃岐,0,5-0,5,0,1,0,大銀ド,11156,曇,70,53,0.218,19,0.263,0.61,28.78,23.55,57.03,10.83,"['馬場', '星', '藤本x2', '清本']",片野坂　知宏
34,2018-09-22,(土),山口,0,3-1,3,1,1,1,みらスタ,8189,晴,45,42,0.151,19,0.158,0.54,17.63,14.0,80.59,18.42,"['松本', '藤本x2']",片野坂　知宏
35,2018-09-29,(土),水戸,0,2-1,2,1,1,1,Ｋｓスタ,4001,雨,41,64,0.121,13,0.154,0.54,20.46,15.22,91.35,11.42,"['伊佐', '藤本']",片野坂　知宏
36,2018-10-07,(日),京都,0,2-1,2,1,1,0,大銀ド,9563,晴,55,53,0.13,14,0.143,0.634,21.84,17.75,68.32,14.62,['小手川x2'],片野坂　知宏
37,2018-10-14,(日),町田,0,2-3,2,3,2,1,町田,5161,晴,58,39,0.087,10,0.2,0.637,17.95,13.8,47.73,13.14,"['小手川', '馬場']",片野坂　知宏
38,2018-10-21,(日),千葉,0,4-2,4,2,1,1,フクアリ,8973,晴,44,46,0.087,11,0.364,0.365,9.31,6.49,95.53,20.74,"['藤本', '三平x2', '星']",片野坂　知宏
39,2018-10-28,(日),松本,0,1-0,1,0,1,0,大銀ド,15125,晴,39,69,0.067,8,0.125,0.581,17.25,13.95,99.09,14.99,['三平'],片野坂　知宏
40,2018-11-04,(日),横浜FC,9,1-3,1,3,2,1,ニッパツ,8222,雨,39,59,0.115,12,0.083,0.542,18.85,15.28,83.47,10.32,['馬場'],片野坂　知宏
41,2018-11-01,(土),金沢,0,2-1,2,1,1,0,大銀ド,14069,晴,46,56,0.119,13,0.154,0.541,17.3,12.83,75.73,12.82,"['鈴木', '川西']",片野坂　知宏
42,2018-11-17,(土),山形,0,1-1,1,1,0,1,ＮＤスタ,6852,晴,38,71,0.092,10,0.1,0.52,10.98,9.14,90.77,10.63,['星'],片野坂　知宏
