,節,開催日,曜日,相手,スコア,得点,失点,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
0,1,2020-02-22,(土),Ｃ大阪,0-1,0,1,A,ヤンマー,15535,曇,52,58,0.184,18,0.0,0.548,17.71,13.01,84.66,10.36,[''],片野坂　知宏
1,2,2020-07-04,(土),鳥栖,2-0,2,0,H,昭和電ド,0,曇,36,58,0.098,9,0.222,0.5,12.96,11.87,81.08,15.03,['田中x2'],片野坂　知宏
2,3,2020-07-08,(水),広島,2-1,2,1,A,Ｅスタ,0,曇,40,47,0.158,16,0.125,0.551,16.87,14.64,75.96,14.47,"['高澤', '三平']",片野坂　知宏
3,4,2020-07-11,(土),神戸,1-1,1,1,H,昭和電ド,4263,屋内,33,60,0.117,11,0.091,0.392,8.76,7.58,68.5,13.68,['岩田'],片野坂　知宏
4,5,2020-07-18,(土),Ｇ大阪,1-2,1,2,A,パナスタ,4395,晴,32,44,0.087,8,0.125,0.47,11.57,8.93,49.46,12.75,['渡'],片野坂　知宏
5,6,2020-07-22,(水),名古屋,0-3,0,3,H,昭和電ド,3603,曇,47,62,0.053,5,0.0,0.53,11.8,10.8,73.38,8.0,[''],片野坂　知宏
6,7,2020-07-26,(日),清水,2-4,2,4,A,アイスタ,2697,雨のち雷雨のち雨,33,44,0.038,4,0.5,0.47,11.93,9.34,83.83,15.11,"['知念', '高澤']",片野坂　知宏
7,8,2020-08-01,(土),鹿島,1-4,1,4,H,昭和電ド,4225,晴,26,58,0.059,7,0.143,0.498,9.46,8.48,96.8,11.74,['高澤'],片野坂　知宏
8,9,2020-08-08,(土),川崎Ｆ,0-2,0,2,A,等々力,4735,曇のち晴,0,40,0.05,4,0.0,0.518,10.61,10.51,63.35,13.95,[''],片野坂　知宏
9,10,2020-08-15,(土),横浜FM,1-0,1,0,H,昭和電ド,4311,晴,39,51,0.065,8,0.125,0.42,11.69,7.52,95.98,15.65,['田中達'],片野坂　知宏
10,11,2020-08-19,(水),札幌,1-1,1,1,A,札幌厚別,2039,晴,23,39,0.07,7,0.143,0.443,8.29,6.43,94.68,22.11,['伊佐'],片野坂　知宏
11,12,2020-08-23,(日),柏,0-0,0,0,H,昭和電ド,4004,屋内,47,48,0.101,10,0.0,0.546,16.92,11.84,47.93,16.77,[''],片野坂　知宏
12,13,2020-08-29,(土),浦和,1-2,1,2,A,埼玉,4316,晴,58,55,0.173,17,0.059,0.511,19.37,15.41,68.48,11.36,['三平'],片野坂　知宏
13,14,2020-09-05,(土),FC東京,0-1,0,1,H,昭和電ド,4518,曇,37,49,0.018,2,0.0,0.598,15.79,15.79,63.91,9.91,[''],片野坂　知宏
14,15,2020-09-09,(水),湘南,2-2,2,2,H,昭和電ド,3465,晴,57,48,0.131,16,0.125,0.671,24.3,20.13,95.26,8.11,"['島川', '伊佐']",片野坂　知宏
15,16,2020-09-13,(日),仙台,3-0,3,0,A,ユアスタ,2191,曇のち雨,50,56,0.135,14,0.214,0.554,17.01,13.09,78.44,13.31,"['三平', '知念', '田中達']",片野坂　知宏
16,24,2020-09-16,(水),FC東京,3-2,3,2,A,味スタ,4782,曇,39,45,0.124,13,0.231,0.533,13.8,10.63,89.23,16.23,"['松本', '田中達', '野村']",片野坂　知宏
