,節,開催日,曜日,相手,スコア,得点,失点,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
0,1,2019-02-23,(土),湘南,0-2,0,2,1,ＢＭＷス,13249,曇,54,47,0.08,11,0.0,0.599,23.86,17.82,104.53,16.01,[''],ペトロヴィッチ
1,2,2019-03-02,(土),浦和,2-0,2,0,1,埼玉,41109,晴,48,51,0.189,23,0.087,0.527,19.55,15.24,101.86,11.97,['鈴木x2'],ペトロヴィッチ
2,3,2019-03-09,(土),清水,5-2,5,2,0,札幌ド,22692,屋内,50,58,0.216,24,0.208,0.504,18.99,12.5,90.47,12.28,"['鈴木', 'Ａロペスx4']",ペトロヴィッチ
3,4,2019-03-17,(日),鹿島,1-3,1,3,0,札幌ド,23002,屋内,47,49,0.119,13,0.077,0.539,17.64,13.4,57.67,8.52,['Ａロペス'],ペトロヴィッチ
4,5,2019-03-03,(土),名古屋,0-4,0,4,1,豊田ス,31083,曇時々雨,54,33,0.094,13,0.0,0.458,15.22,10.8,100.71,18.32,[''],ペトロヴィッチ
5,6,2019-04-06,(土),大分,1-2,1,2,0,札幌ド,13852,屋内,51,58,0.164,19,0.0,0.611,23.46,19.76,89.36,13.08,['OG'],ペトロヴィッチ
6,7,2019-04-13,(土),Ｃ大阪,1-0,1,0,1,ヤンマー,15125,晴,60,46,0.151,14,0.071,0.47,19.11,15.34,56.77,16.68,['進藤'],ペトロヴィッチ
7,8,2019-04-02,(土),横浜FM,3-0,3,0,0,札幌ド,15674,屋内,54,57,0.127,14,0.214,0.366,14.11,7.73,99.44,11.8,"['チャナティップ', '福森', 'Ａロペス']",ペトロヴィッチ
8,9,2019-04-28,(日),磐田,2-1,2,1,1,ヤマハ,13904,曇,42,54,0.076,9,0.222,0.513,15.82,12.39,105.81,14.15,"['Ａロペス', '進藤']",ペトロヴィッチ
9,10,2019-05-04,(土),神戸,2-1,2,1,0,札幌ド,34591,屋内,60,58,0.16,17,0.118,0.432,18.44,13.11,85.61,14.38,"['進藤', '鈴木']",ペトロヴィッチ
10,11,2019-05-12,(日),松本,0-0,0,0,1,サンアル,16646,晴,56,46,0.103,11,0.0,0.566,19.18,14.22,76.5,16.1,[''],ペトロヴィッチ
11,12,2019-05-18,(土),FC東京,0-2,0,2,1,味スタ,24772,晴のち曇,57,44,0.102,11,0.0,0.55,18.65,16.74,84.76,12.84,[''],ペトロヴィッチ
12,13,2019-05-25,(土),Ｇ大阪,0-0,0,0,0,札幌ド,15690,屋内,62,63,0.14,16,0.0,0.528,20.94,17.21,93.02,10.2,[''],ペトロヴィッチ
13,14,2019-06-01,(土),広島,1-0,1,0,0,札幌ド,14189,屋内,43,51,0.072,7,0.143,0.548,15.2,14.01,80.09,16.16,['早坂'],ペトロヴィッチ
14,15,2019-06-14,(金),川崎Ｆ,1-1,1,1,1,等々力,22609,曇,34,30,0.035,4,0.25,0.414,9.84,8.4,49.45,23.36,['鈴木'],ペトロヴィッチ
15,16,2019-06-22,(土),鳥栖,3-1,3,1,0,札幌厚別,6836,雨,51,48,0.092,10,0.3,0.427,12.32,9.98,57.24,13.13,"['石川', 'ジェイ', '鈴木']",ペトロヴィッチ
16,17,2019-06-03,(日),仙台,1-2,1,2,1,ユアスタ,12125,雨,57,54,0.126,15,0.067,0.583,19.56,16.08,73.11,10.66,['Ａロペス'],ペトロヴィッチ
17,18,2019-07-07,(日),松本,1-1,1,1,0,札幌ド,18663,屋内,57,54,0.129,16,0.063,0.565,17.24,14.88,111.42,13.58,['白井'],ペトロヴィッチ
18,19,2019-07-13,(土),大分,1-2,1,2,1,昭和電ド,12384,屋内,64,69,0.165,17,0.0,0.458,24.25,18.28,102.0,9.04,['OG'],ペトロヴィッチ
19,20,2019-07-02,(土),湘南,5-2,5,2,0,札幌厚別,9055,晴,50,46,0.202,23,0.217,0.47,17.22,12.82,54.85,17.68,"['進藤', 'ジェイx2', 'Ａロペス', 'チャナティップ']",ペトロヴィッチ
20,21,2019-08-03,(土),広島,0-1,0,1,1,Ｅスタ,12672,晴,53,63,0.148,16,0.0,0.473,19.39,15.01,115.61,11.07,[''],ペトロヴィッチ
21,22,2019-08-01,(土),浦和,1-1,1,1,0,札幌ド,35531,屋内,57,55,0.171,18,0.056,0.398,14.74,11.2,90.86,11.58,['鈴木'],ペトロヴィッチ
22,23,2019-08-17,(土),清水,8-0,8,0,1,アイスタ,14340,晴,52,52,0.162,16,0.5,0.473,15.43,11.2,72.79,13.33,"['チャナティップx2', '進藤', '鈴木', 'ジェイx3', '福森']",ペトロヴィッチ
23,24,2019-08-24,(土),FC東京,1-1,1,1,0,札幌ド,19454,屋内,51,40,0.165,16,0.063,0.451,13.41,10.83,71.49,14.6,['ジェイ'],ペトロヴィッチ
24,25,2019-08-31,(土),神戸,3-2,3,2,1,ノエスタ,20825,曇,37,55,0.098,10,0.3,0.346,10.83,8.97,80.57,14.96,"['鈴木', 'ジェイ', '宮澤']",ペトロヴィッチ
25,26,2019-09-14,(土),仙台,1-3,1,3,0,札幌厚別,11254,晴,53,51,0.071,8,0.125,0.637,19.02,14.84,67.79,11.86,['荒野'],ペトロヴィッチ
26,27,2019-09-28,(土),鹿島,1-1,1,1,1,カシマ,19314,曇,43,49,0.117,13,0.077,0.403,13.03,9.93,72.76,15.05,['進藤'],ペトロヴィッチ
27,28,2019-10-04,(金),Ｇ大阪,0-5,0,5,1,パナスタ,20554,曇,51,45,0.065,7,0.0,0.505,19.26,16.34,83.76,10.54,[''],ペトロヴィッチ
28,29,2019-10-18,(金),Ｃ大阪,0-1,0,1,0,札幌ド,12443,屋内,73,51,0.174,19,0.0,0.514,21.37,16.07,73.66,11.43,[''],ペトロヴィッチ
29,30,2019-11-02,(土),名古屋,3-0,3,0,0,札幌ド,19943,屋内,40,49,0.156,15,0.2,0.589,18.51,16.29,76.18,12.24,"['深井', '鈴木', 'Ｌフェルナンデス']",ペトロヴィッチ
30,31,2019-11-09,(土),横浜FM,2-4,2,4,1,ニッパツ,13617,晴,58,46,0.104,14,0.143,0.411,15.21,11.92,116.29,12.16,['鈴木x2'],ペトロヴィッチ
31,32,2019-11-23,(土),磐田,1-2,1,2,0,札幌ド,19785,屋内,56,73,0.101,13,0.077,0.541,23.0,17.6,92.41,10.17,['深井'],ペトロヴィッチ
32,33,2019-11-03,(土),鳥栖,2-0,2,0,1,駅スタ,17512,晴,40,45,0.111,12,0.167,0.424,13.51,10.72,99.19,19.87,"['ジェイ', '鈴木']",ペトロヴィッチ
33,34,2019-12-07,(土),川崎Ｆ,1-2,1,2,0,札幌ド,26399,屋内,53,41,0.098,12,0.083,0.565,20.15,15.83,123.14,7.41,['Ｌフェルナンデス'],ペトロヴィッチ
