,節,開催日,曜日,相手,スコア,得点,失点,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
0,1,2019-02-23,(土),浦和,0-0,0,0,H,ユアスタ,18567,晴,47,49,0.067,8,0.0,0.383,9.48,6.09,89.37,16.49,[''],渡邉　晋
1,2,2019-03-02,(土),横浜FM,1-2,1,2,A,日産ス,22751,晴,34,39,0.041,5,0.2,0.336,6.99,5.25,87.59,19.23,['石原直'],渡邉　晋
2,3,2019-03-01,(日),神戸,1-3,1,3,H,ユアスタ,19503,晴,52,51,0.19,20,0.05,0.403,15.07,13.94,94.43,15.03,['シマオマテ'],渡邉　晋
3,4,2019-03-17,(日),湘南,1-2,1,2,A,ＢＭＷス,9290,晴,45,48,0.098,13,0.077,0.54,19.01,15.46,121.6,14.26,['ハモンロペス'],渡邉　晋
4,5,2019-03-03,(土),Ｃ大阪,0-2,0,2,H,ユアスタ,10931,雪,44,54,0.096,13,0.0,0.457,14.08,12.48,113.63,14.02,[''],渡邉　晋
5,6,2019-04-06,(土),鳥栖,3-0,3,0,H,ユアスタ,11235,晴,54,58,0.142,16,0.188,0.406,11.97,8.5,87.48,10.82,"['ジャーメイン', '兵藤', 'ハモンロペス']",渡邉　晋
6,7,2019-04-14,(日),大分,0-2,0,2,A,昭和電ド,11477,屋内,56,53,0.16,16,0.0,0.458,15.85,13.64,77.75,12.86,[''],渡邉　晋
7,8,2019-04-02,(土),鹿島,0-1,0,1,A,カシマ,16844,曇のち晴,45,40,0.089,11,0.0,0.435,11.02,9.26,90.69,19.37,[''],渡邉　晋
8,9,2019-04-28,(日),Ｇ大阪,2-1,2,1,H,ユアスタ,16004,晴,58,40,0.143,18,0.111,0.505,15.52,12.33,96.09,16.75,"['永戸', '長沢']",渡邉　晋
9,10,2019-05-03,(金),川崎Ｆ,1-3,1,3,A,等々力,25789,晴のち曇,50,25,0.084,9,0.111,0.391,13.12,10.66,85.54,18.11,['大岩'],渡邉　晋
10,11,2019-05-12,(日),広島,2-1,2,1,H,ユアスタ,12180,晴,53,45,0.149,17,0.118,0.547,19.72,16.56,111.66,10.66,"['ハモンロペス', '松下']",渡邉　晋
11,12,2019-05-18,(土),磐田,0-2,0,2,A,ヤマハ,12864,曇,55,50,0.112,14,0.0,0.528,16.62,13.44,86.66,13.04,[''],渡邉　晋
12,13,2019-05-25,(土),清水,3-4,3,4,A,アイスタ,12234,晴,52,53,0.158,21,0.143,0.512,15.99,11.83,87.49,15.79,"['松下', '吉尾', '長沢']",渡邉　晋
13,14,2019-06-01,(土),名古屋,3-1,3,1,H,ユアスタ,12853,晴,43,40,0.083,10,0.3,0.384,8.69,7.23,122.94,18.4,"['吉尾', '長沢x2']",渡邉　晋
14,15,2019-06-15,(土),松本,1-0,1,0,A,サンアル,14078,曇時々雨,56,48,0.089,11,0.091,0.494,16.4,10.42,89.25,17.48,['道渕'],渡邉　晋
15,16,2019-06-23,(日),FC東京,2-0,2,0,H,ユアスタ,12343,曇,58,50,0.178,21,0.095,0.452,14.05,9.14,95.89,19.0,"['関口', 'ハモンロペス']",渡邉　晋
16,17,2019-06-03,(日),札幌,2-1,2,1,H,ユアスタ,12125,雨,46,43,0.138,15,0.133,0.417,11.52,8.23,86.84,22.69,"['シマオマテ', '関口']",渡邉　晋
17,18,2019-07-06,(土),浦和,0-1,0,1,A,埼玉,28904,曇,38,41,0.032,3,0.0,0.38,9.04,8.51,67.54,13.64,[''],渡邉　晋
18,19,2019-07-13,(土),鹿島,0-4,0,4,H,ユアスタ,17639,晴,55,42,0.144,17,0.0,0.507,13.83,10.17,86.05,12.16,[''],渡邉　晋
19,20,2019-07-02,(土),Ｃ大阪,0-0,0,0,A,ヤンマー,15574,曇,60,41,0.153,17,0.0,0.402,11.08,8.62,76.08,18.94,[''],渡邉　晋
20,21,2019-08-03,(土),磐田,2-1,2,1,H,ユアスタ,15084,晴,46,34,0.115,11,0.182,0.432,12.32,8.06,83.32,24.75,"['関口', '道渕']",渡邉　晋
21,22,2019-08-01,(土),FC東京,0-1,0,1,A,味スタ,28435,晴,45,54,0.126,13,0.0,0.521,13.26,10.71,59.0,11.84,[''],渡邉　晋
22,23,2019-08-17,(土),川崎Ｆ,2-2,2,2,H,ユアスタ,17860,晴,51,32,0.1,9,0.222,0.333,8.42,5.97,73.38,15.97,['長沢x2'],渡邉　晋
23,24,2019-08-24,(土),湘南,1-1,1,1,H,ユアスタ,17759,曇,58,42,0.139,19,0.053,0.552,13.41,9.91,89.73,16.35,['道渕'],渡邉　晋
24,25,2019-08-31,(土),鳥栖,1-2,1,2,A,駅スタ,15194,曇,54,35,0.117,13,0.077,0.413,12.44,10.19,75.35,19.65,['道渕'],渡邉　晋
25,26,2019-09-14,(土),札幌,3-1,3,1,A,札幌厚別,11254,晴,49,47,0.138,16,0.188,0.363,8.71,6.5,97.05,20.8,"['松下', 'シマオマテ', 'ハモンロペス']",渡邉　晋
26,27,2019-09-28,(土),横浜FM,1-1,1,1,H,ユアスタ,15688,雨,46,43,0.099,13,0.077,0.355,11.19,7.66,92.84,17.61,['永戸'],渡邉　晋
27,28,2019-10-05,(土),松本,0-1,0,1,H,ユアスタ,15285,晴,62,50,0.24,29,0.0,0.635,33.47,19.58,88.49,9.78,[''],渡邉　晋
28,29,2019-10-19,(土),名古屋,2-0,2,0,A,パロ瑞穂,15485,曇時々雨,46,33,0.102,11,0.182,0.374,9.59,8.57,72.56,24.88,"['平岡', 'ハモンロペス']",渡邉　晋
29,30,2019-11-02,(土),神戸,0-2,0,2,A,ノエスタ,18975,晴,47,59,0.13,15,0.0,0.398,11.58,9.83,90.68,9.2,[''],渡邉　晋
30,31,2019-11-01,(日),清水,2-0,2,0,H,ユアスタ,15553,晴,64,43,0.144,17,0.118,0.397,13.33,8.49,95.81,21.6,"['関口', '平岡']",渡邉　晋
31,32,2019-11-23,(土),Ｇ大阪,0-2,0,2,A,パナスタ,26256,晴,47,32,0.087,10,0.0,0.376,10.2,8.22,79.6,24.98,[''],渡邉　晋
32,33,2019-11-03,(土),大分,2-0,2,0,H,ユアスタ,13894,晴,40,49,0.115,11,0.182,0.29,5.87,4.72,75.96,19.17,"['道渕', '長沢']",渡邉　晋
33,34,2019-12-07,(土),広島,0-1,0,1,A,Ｅスタ,13228,晴,32,24,0.045,5,0.0,0.346,7.74,6.94,90.1,23.01,[''],渡邉　晋
