節,開催日,曜日,相手,スコア,得点,失点,勝敗,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
1,2020-02-22,(土),名古屋,1-1,1,1,0,0,ユアスタ,13968,曇,50,44,0.092,12,0.083,0.384,7.43,5.74,113.31,17.22,['シマオマテ'],木山　隆之
2,2020-07-04,(土),湘南,1-0,1,0,1,1,ＢＭＷス,0,曇,58,50,0.122,15,0.067,0.419,14.16,8.27,80.49,17.18,['ジャーメイン'],木山　隆之
3,2020-07-08,(水),浦和,1-2,1,2,2,0,ユアスタ,0,曇,52,44,0.132,16,0.063,0.457,15.71,10.21,98.23,12.57,['山田'],木山　隆之
4,2020-07-12,(日),横浜FC,1-1,1,1,0,1,ニッパツ,2235,晴のち曇,62,49,0.103,13,0.077,0.407,13.33,7.74,124.63,13.03,['Ａゲデス'],木山　隆之
5,2020-07-18,(土),札幌,2-2,2,2,0,0,ユアスタ,2597,曇,55,51,0.171,19,0.105,0.496,17.16,11.86,103.35,12.69,"['ジャーメイン', '椎橋']",木山　隆之
6,2020-07-22,(水),川崎Ｆ,2-3,2,3,2,0,ユアスタ,2507,曇,44,36,0.11,11,0.182,0.394,10.16,8.8,59.86,15.73,"['長沢', '道渕']",木山　隆之
7,2020-07-26,(日),柏,1-5,1,5,2,1,三協Ｆ柏,2500,曇一時雨,46,46,0.12,14,0.071,0.505,16.65,10.94,62.64,14.11,['西村'],木山　隆之
8,2020-08-01,(土),横浜FM,0-1,0,1,2,0,ユアスタ,2758,晴,48,41,0.073,9,0.0,0.317,7.74,5.57,102.71,25.31,[''],木山　隆之
9,2020-08-08,(土),神戸,2-1,2,1,1,1,ノエスタ,4333,晴,39,38,0.106,10,0.1,0.369,11.18,7.56,50.89,18.19,"['赤崎', 'OG']",木山　隆之
10,2020-08-15,(土),清水,0-0,0,0,0,0,ユアスタ,2718,晴,57,46,0.115,13,0.0,0.447,17.15,11.84,101.9,19.05,[''],木山　隆之
12,2020-08-23,(日),Ｃ大阪,1-2,1,2,2,1,ヤンマー,3921,曇,50,50,0.075,8,0.125,0.497,12.09,10.88,93.01,10.82,['蜂須賀'],木山　隆之
13,2020-08-29,(土),広島,1-1,1,1,0,1,Ｅスタ,3124,晴,55,36,0.121,14,0.071,0.483,13.5,11.49,85.42,16.4,['兵藤'],木山　隆之
14,2020-09-05,(土),Ｇ大阪,1-4,1,4,2,0,ユアスタ,2871,曇,56,55,0.143,18,0.056,0.58,16.26,10.28,74.8,11.8,['Ａゲデス'],木山　隆之
15,2020-09-09,(水),鹿島,1-2,1,2,2,1,カシマ,3839,曇,45,37,0.109,12,0.083,0.434,9.99,7.25,74.2,13.49,['長沢'],木山　隆之
16,2020-09-13,(日),大分,0-3,0,3,2,0,ユアスタ,2191,曇のち雨,44,50,0.128,14,0.0,0.446,10.44,8.34,62.07,13.21,[''],木山　隆之
17,2020-09-02,(日),FC東京,0-1,0,1,2,1,味スタ,4981,曇,47,52,0.101,12,0.0,0.559,13.62,12.6,69.98,10.92,[''],木山　隆之
18,2020-09-23,(水),横浜FM,1-3,1,3,2,1,日産ス,3702,雨,39,36,0.066,9,0.111,0.328,8.88,7.32,129.68,24.72,['Ａゲデス'],木山　隆之
19,2020-09-27,(日),Ｃ大阪,2-3,2,3,2,0,ユアスタ,2789,曇一時雨,47,52,0.083,9,0.222,0.412,9.22,7.05,79.69,13.57,['西村x2'],木山　隆之
20,2020-10-03,(土),札幌,3-3,3,3,0,1,札幌ド,5339,屋内,49,40,0.121,13,0.231,0.361,8.94,6.3,68.97,17.41,"['Ａゲデスx2', '平岡']",木山　隆之
21,2020-10-01,(土),川崎Ｆ,0-1,0,1,2,1,等々力,8263,雨,35,29,0.073,8,0.0,0.4,10.02,7.13,81.52,20.56,[''],木山　隆之
22,2020-10-14,(水),横浜FC,0-0,0,0,0,0,ユアスタ,3714,晴,50,43,0.045,5,0.0,0.324,7.19,5.94,74.54,21.94,[''],木山　隆之
23,2020-10-18,(日),浦和,0-6,0,6,2,1,埼玉,9831,曇のち晴,56,40,0.153,18,0.0,0.594,20.46,15.44,103.35,14.95,[''],木山　隆之
24,2020-10-24,(土),名古屋,0-1,0,1,2,1,パロ瑞穂,9367,晴,5,48,0.009,1,0.0,0.388,8.03,6.21,94.07,17.09,[''],木山　隆之
30,2020-10-28,(水),神戸,2-3,2,3,2,0,ユアスタ,4071,晴,49,42,0.068,8,0.25,0.391,10.12,8.63,117.79,17.77,"['長沢', '飯尾']",木山　隆之
25,2020-10-31,(土),広島,0-0,0,0,0,0,ユアスタ,4001,晴,45,40,0.062,8,0.0,0.413,8.0,5.51,96.81,17.08,[''],木山　隆之
11,2020-11-08,(日),鳥栖,0-3,0,3,2,0,ユアスタ,5995,晴,53,50,0.043,5,0.0,0.403,8.42,6.93,82.61,14.05,[''],木山　隆之
27,2020-11-14,(土),Ｇ大阪,4-0,4,0,1,1,パナスタ,11567,晴,56,42,0.142,16,0.25,0.388,12.22,9.4,78.33,22.39,"['長沢x3', '柳']",木山　隆之
32,2020-11-18,(水),FC東京,2-2,2,2,0,0,ユアスタ,3030,曇,54,48,0.086,10,0.2,0.533,17.29,13.21,88.73,12.46,"['長沢', '松下']",木山　隆之
28,2020-11-21,(土),鹿島,1-3,1,3,2,0,ユアスタ,7487,晴,50,41,0.063,8,0.125,0.463,12.85,8.65,89.32,17.39,['長沢'],木山　隆之
29,2020-11-25,(水),鳥栖,1-0,1,0,1,1,駅スタ,3694,晴,47,42,0.133,15,0.067,0.37,12.21,7.86,80.86,23.26,['長沢'],木山　隆之
26,2020-12-01,(火),柏,0-2,0,2,2,0,ユアスタ,2720,晴,55,50,0.068,8,0.0,0.484,17.48,14.43,110.31,13.74,[''],木山　隆之
31,2020-12-06,(日),大分,2-0,2,0,1,1,昭和電ド,6289,晴,51,49,0.117,12,0.167,0.293,7.37,5.05,81.78,20.59,"['石原', '山田']",木山　隆之
33,2020-12-16,(水),清水,3-2,3,2,1,1,アイスタ,5023,晴,57,71,0.059,8,0.375,0.375,10.12,9.04,117.88,12.51,"['蜂須賀', '松下', '浜崎']",木山　隆之
34,2020-12-19,(土),湘南,0-0,0,0,0,0,ユアスタ,7356,雪のち曇,52,38,0.091,10,0.0,0.539,12.97,9.34,75.73,19.91,[''],木山　隆之
