節,開催日,曜日,相手,スコア,得点,失点,勝敗,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
1,2020-02-23,(日),FC東京,1-3,1,3,2,0,アイスタ,17549,晴,61,41,0.136,16,0.063,0.599,16.52,13.85,94.04,9.09,['ティーラシン'],ピーター　クラモフスキー
2,2020-07-04,(土),名古屋,1-2,1,2,2,0,アイスタ,0,雨,53,42,0.094,10,0.1,0.553,19.15,16.7,59.89,12.75,['金子'],ピーター　クラモフスキー
3,2020-07-08,(水),Ｃ大阪,0-2,0,2,2,1,ヤンマー,0,曇,41,40,0.113,11,0.0,0.444,15.04,10.96,82.72,13.5,[''],ピーター　クラモフスキー
4,2020-07-12,(日),Ｇ大阪,1-2,1,2,2,0,アイスタ,4131,曇,60,41,0.195,22,0.045,0.595,19.27,15.33,83.5,11.45,['立田'],ピーター　クラモフスキー
5,2020-07-18,(土),神戸,1-3,1,3,2,1,ノエスタ,3494,晴,50,50,0.106,10,0.1,0.476,16.17,14.21,83.52,13.03,['西澤'],ピーター　クラモフスキー
6,2020-07-22,(水),鳥栖,1-1,1,1,0,1,駅スタ,3117,曇のち雨,50,40,0.141,13,0.077,0.442,14.63,12.57,50.93,17.93,['Ｃジュニオ'],ピーター　クラモフスキー
7,2020-07-26,(日),大分,4-2,4,2,1,0,アイスタ,2697,雨のち雷雨のち雨,56,67,0.182,22,0.182,0.53,17.9,16.1,98.02,11.51,"['ファンソッコ', 'Ｃジュニオ', '立田', 'ヴァウド']",ピーター　クラモフスキー
8,2020-08-01,(土),浦和,1-1,1,1,0,1,埼玉,4237,晴,61,45,0.095,11,0.091,0.579,21.71,16.67,87.77,13.94,['ヴァウド'],ピーター　クラモフスキー
9,2020-08-08,(土),札幌,3-1,3,1,1,0,アイスタ,3981,晴,58,51,0.204,22,0.136,0.494,18.8,15.14,68.82,12.74,"['金子', 'Ｒアウグスト', 'Ｃジュニオ']",ピーター　クラモフスキー
10,2020-08-15,(土),仙台,0-0,0,0,0,1,ユアスタ,2718,晴,54,43,0.109,14,0.0,0.553,18.58,16.5,64.62,14.46,[''],ピーター　クラモフスキー
