節,開催日,,相手,スコア,,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
1,2.23,(日),FC東京,1-3,H,アイスタ,"17,549",晴,61,41,13.6%,16,6.3%,59.9%,16.52,13.85,94.04,9.09,ティーラシン,ピーター　クラモフスキー
2,7.4,(土),名古屋,1-2,H,アイスタ,0,雨,53,42,9.4%,10,10.0%,55.3%,19.15,16.70,59.89,12.75,金子,ピーター　クラモフスキー
3,7.8,(水),Ｃ大阪,0-2,A,ヤンマー,0,曇,41,40,11.3%,11,0.0%,44.4%,15.04,10.96,82.72,13.50,,ピーター　クラモフスキー
4,7.12,(日),Ｇ大阪,1-2,H,アイスタ,"4,131",曇,60,41,19.5%,22,4.5%,59.5%,19.27,15.33,83.50,11.45,立田,ピーター　クラモフスキー
5,7.18,(土),神戸,1-3,A,ノエスタ,"3,494",晴,50,50,10.6%,10,10.0%,47.6%,16.17,14.21,83.52,13.03,西澤,ピーター　クラモフスキー
6,7.22,(水),鳥栖,1-1,A,駅スタ,"3,117",曇のち雨,50,40,14.1%,13,7.7%,44.2%,14.63,12.57,50.93,17.93,Ｃジュニオ,ピーター　クラモフスキー
7,7.26,(日),大分,4-2,H,アイスタ,"2,697",雨のち雷雨のち雨,56,67,18.2%,22,18.2%,53.0%,17.90,16.10,98.02,11.51,"ファンソッコ,Ｃジュニオ,立田,ヴァウド",ピーター　クラモフスキー
8,8.1,(土),浦和,1-1,A,埼玉,"4,237",晴,61,45,9.5%,11,9.1%,57.9%,21.71,16.67,87.77,13.94,ヴァウド,ピーター　クラモフスキー
9,8.8,(土),札幌,3-1,H,アイスタ,"3,981",晴,58,51,20.4%,22,13.6%,49.4%,18.80,15.14,68.82,12.74,"金子,Ｒアウグスト,Ｃジュニオ",ピーター　クラモフスキー
10,8.15,(土),仙台,0-0,A,ユアスタ,"2,718",晴,54,43,10.9%,14,0.0%,55.3%,18.58,16.50,64.62,14.46,,ピーター　クラモフスキー
11,8.19,(水),横浜FM,3-4,H,アイスタ,"3,279",曇,47,34,13.7%,17,11.8%,47.9%,13.93,10.28,61.70,20.39,"西澤,金井,OG",ピーター　クラモフスキー
12,8.22,(土),横浜FC,2-3,H,アイスタ,"4,417",曇,61,52,18.4%,19,10.5%,44.2%,16.91,15.00,86.25,9.00,"金子,竹内",ピーター　クラモフスキー
13,8.29,(土),川崎Ｆ,0-5,A,等々力,"4,798",晴,43,33,7.5%,8,0.0%,48.1%,12.07,10.07,56.65,20.95,,ピーター　クラモフスキー
14,9.5,(土),柏,1-2,H,アイスタ,"4,264",曇,58,53,12.3%,14,7.1%,55.6%,18.06,12.91,82.08,11.94,Ｃジュニオ,ピーター　クラモフスキー
15,9.9,(水),広島,1-4,A,Ｅスタ,"1,948",晴,49,30,12.9%,15,6.7%,56.6%,16.23,12.63,82.46,15.26,Ｃジュニオ,ピーター　クラモフスキー
16,9.12,(土),鹿島,1-2,H,アイスタ,"4,774",晴,43,32,8.5%,11,9.1%,52.3%,13.04,9.67,70.51,13.04,ティーラシン,ピーター　クラモフスキー
24,9.16,(水),横浜FM,0-3,A,日産ス,"4,171",雨のち曇,35,20,5.2%,6,0.0%,36.3%,7.82,6.19,77.75,31.32,,ピーター　クラモフスキー
17,9.19,(土),湘南,3-0,A,ＢＭＷス,"4,170",晴,52,42,16.2%,18,16.7%,54.8%,18.56,13.82,71.38,17.04,"Ｃジュニオ,Ｊドゥトラ,西澤",ピーター　クラモフスキー
18,9.23,(水),浦和,1-2,H,アイスタ,"3,095",曇,61,64,13.8%,15,6.7%,57.1%,22.28,18.12,111.92,12.17,ティーラシン,ピーター　クラモフスキー
19,9.26,(土),名古屋,1-3,A,豊田ス,"11,002",曇,51,65,11.6%,11,9.1%,45.9%,14.92,13.00,59.22,9.48,Ｃジュニオ,ピーター　クラモフスキー
20,10.3,(土),大分,1-2,A,昭和電ド,"6,885",曇,29,59,8.2%,8,12.5%,50.4%,13.75,11.92,85.41,9.54,Ｊドゥトラ,ピーター　クラモフスキー
21,10.10,(土),広島,2-3,H,アイスタ,"3,024",雨,54,46,11.8%,14,14.3%,58.0%,19.31,14.59,98.10,11.94,"Ｊドゥトラ,後藤",ピーター　クラモフスキー
22,10.14,(水),FC東京,1-3,A,味スタ,"3,812",曇,51,47,8.7%,9,11.1%,56.2%,18.55,15.07,73.68,10.80,Ｊドゥトラ,ピーター　クラモフスキー
23,10.18,(日),鳥栖,1-1,H,アイスタ,"4,487",曇,41,30,3.9%,4,25.0%,39.4%,7.83,7.31,48.01,20.79,ヴァウド,ピーター　クラモフスキー
25,10.31,(土),柏,0-0,A,三協Ｆ柏,"2,720",晴,50,50,11.4%,14,0.0%,53.1%,15.99,13.30,109.87,14.22,,ピーター　クラモフスキー
26,11.3,(火),神戸,3-1,H,アイスタ,"6,168",晴,52,64,15.0%,17,17.6%,43.1%,16.05,12.81,84.36,13.90,"ヴァウド,エウシーニョ,金井",平岡　宏章
27,11.14,(土),Ｃ大阪,3-1,H,アイスタ,"6,076",晴,56,47,17.4%,19,15.8%,43.9%,15.56,12.71,92.57,17.06,"Ｒアウグスト,中村,Ｃジュニオ",平岡　宏章
28,11.21,(土),札幌,1-5,A,札幌ド,"5,220",屋内,45,47,13.9%,15,6.7%,50.3%,16.86,13.99,63.90,15.23,ファンソッコ,平岡　宏章
29,11.25,(水),横浜FC,3-1,A,ニッパツ,"3,165",曇,45,52,10.3%,11,27.3%,38.2%,9.72,8.11,83.44,18.85,"金子,Ｊドゥトラ,竹内",平岡　宏章
30,11.29,(日),湘南,1-1,H,アイスタ,"7,307",曇のち晴,59,61,12.8%,15,6.7%,57.0%,25.04,20.86,98.66,13.16,Ｃジュニオ,平岡　宏章
31,12.5,(土),川崎Ｆ,2-2,H,アイスタ,"8,730",晴,45,42,13.6%,15,13.3%,37.3%,13.29,10.71,71.71,18.28,"Ｃジュニオ,Ｒアウグスト",平岡　宏章
32,12.12,(土),鹿島,0-2,A,カシマ,"7,907",晴,49,39,8.9%,11,0.0%,53.4%,16.38,12.74,91.04,13.99,,平岡　宏章
33,12.16,(水),仙台,2-3,H,アイスタ,"5,023",晴,29,43,7.6%,9,22.2%,62.5%,17.01,14.76,113.79,15.03,"西澤,Ｊドゥトラ",平岡　宏章
34,12.19,(土),Ｇ大阪,2-0,A,パナスタ,"15,252",曇のち晴,47,41,10.5%,12,16.7%,39.6%,10.43,9.13,104.66,22.77,"川本,金子",平岡　宏章
