Sec,Date,Opp,OppID,Score,GF,GA,W/L,H/A,Stadium,Attendances,Weather,AGI,KAGI,CBR,Shots,SSR,Possession,AttackCBP,PassCBP,StealP,DefenceP,Scorers,HeadCoach
1,2018-02-25,kashima-antlers,3,0-0,0,0,0,0,アイスタ,19632,曇,51,41,0.101,12,0.0,0.433,12.48,9.96,98.67,17.66,[''],ヤン　ヨンソン
2,2018-03-03,vissel-kobe,15,4-2,4,2,1,1,ノエスタ,24058,曇,49,46,0.066,8,0.5,0.404,13.45,8.92,87.93,18.03,"['クリスラン', '北川', '立田', '金子']",ヤン　ヨンソン
3,2018-03-01,consadole-sapporo,1,3-1,3,1,1,1,札幌ド,19390,屋内,48,54,0.109,14,0.214,0.357,11.91,8.95,108.95,19.22,"['クリスラン', '金子', '河井']",ヤン　ヨンソン
4,2018-03-18,vegalta-sendai,2,1-1,1,1,0,0,アイスタ,13965,晴,49,41,0.07,10,0.1,0.395,9.78,8.19,106.32,24.16,['金子'],ヤン　ヨンソン
5,2018-03-31,yokohama-fa-marinos,8,0-1,0,1,2,0,アイスタ,17032,曇,57,54,0.083,11,0.0,0.436,16.12,10.95,110.77,15.43,[''],ヤン　ヨンソン
6,2018-04-07,other,0,0-0,0,0,0,1,エコパ,30598,曇,49,34,0.096,11,0.0,0.485,11.6,10.36,90.06,21.62,[''],ヤン　ヨンソン
7,2018-04-11,other,0,0-1,0,1,2,0,アイスタ,6193,曇,47,54,0.096,14,0.0,0.52,12.95,11.25,102.98,10.3,[''],ヤン　ヨンソン
8,2018-04-15,urawa-red-diamonds,4,1-2,1,2,2,1,埼玉,28295,曇,42,55,0.085,10,0.1,0.468,15.17,11.64,93.49,11.46,['金子'],ヤン　ヨンソン
9,2018-04-21,fc-tokyo,6,0-1,0,1,2,0,アイスタ,12615,晴,57,49,0.122,16,0.0,0.478,17.87,11.88,95.2,15.83,[''],ヤン　ヨンソン
10,2018-04-25,nagoya-grampus-eight,12,3-1,3,1,1,1,パロ瑞穂,9774,晴,52,44,0.056,7,0.429,0.485,16.18,13.19,113.57,14.58,"['北川', '石毛', '金子']",ヤン　ヨンソン
