,節,開催日,曜日,相手,スコア,得点,失点,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
0,1,2018-02-24,(土),長崎,2-1,2,1,0,ＢＭＷス,12148,晴,44,41,0.074,9,0.222,0.622,11.83,10.64,92.78,12.61,"['イジョンヒョプ', '石川']",チョウ　キジェ
1,2,2018-03-02,(金),川崎Ｆ,1-1,1,1,1,等々力,22475,晴,50,37,0.112,14,0.071,0.417,12.08,9.48,87.49,18.79,['松田'],チョウ　キジェ
2,3,2018-03-11,(日),名古屋,0-0,0,0,0,ＢＭＷス,12465,晴,54,36,0.058,7,0.0,0.445,13.48,10.78,110.64,16.11,[''],チョウ　キジェ
3,4,2018-03-18,(日),FC東京,0-1,0,1,1,味スタ,16568,曇,28,38,0.016,2,0.0,0.482,11.65,8.7,88.47,14.71,[''],チョウ　キジェ
4,5,2018-03-31,(土),Ｃ大阪,1-2,1,2,1,金鳥スタ,13882,晴,47,44,0.048,6,0.167,0.431,11.62,8.77,68.6,19.05,['岡本'],チョウ　キジェ
5,6,2018-04-07,(土),鹿島,2-1,2,1,0,ＢＭＷス,13947,曇のち雨,54,35,0.061,8,0.125,0.407,8.96,5.41,73.54,16.45,"['山根', 'OG']",チョウ　キジェ
6,7,2018-04-11,(水),札幌,0-1,0,1,1,札幌ド,11183,屋内,41,50,0.096,12,0.0,0.369,7.63,5.97,101.27,22.45,[''],チョウ　キジェ
7,8,2018-04-15,(日),広島,0-2,0,2,0,ＢＭＷス,10082,曇,60,48,0.098,13,0.0,0.502,18.16,12.19,70.77,10.78,[''],チョウ　キジェ
8,9,2018-04-21,(土),横浜FM,4-4,4,4,1,日産ス,19117,晴,39,30,0.093,11,0.273,0.338,6.5,5.94,84.24,28.82,"['菊地', 'アレンステバノヴィッチx2', 'OG']",チョウ　キジェ
9,10,2018-04-25,(水),Ｇ大阪,1-0,1,0,0,ＢＭＷス,8002,曇,54,53,0.182,20,0.05,0.361,9.44,6.95,75.38,14.88,['菊地'],チョウ　キジェ
10,11,2018-04-28,(土),浦和,1-0,1,0,1,埼玉,33132,晴,47,36,0.058,7,0.143,0.376,8.88,7.59,66.98,22.75,['石川'],チョウ　キジェ
11,12,2018-05-02,(水),柏,1-2,1,2,0,ＢＭＷス,8536,雨,50,44,0.08,11,0.091,0.428,10.18,7.76,65.55,11.95,['菊地'],チョウ　キジェ
12,13,2018-05-06,(日),仙台,1-3,1,3,0,ＢＭＷス,11805,晴のち曇,63,50,0.171,20,0.05,0.5,14.1,11.07,97.37,10.85,['イジョンヒョプ'],チョウ　キジェ
13,14,2018-05-12,(土),清水,2-4,2,4,1,アイスタ,14624,晴,70,52,0.119,16,0.125,0.603,23.5,17.99,83.15,11.24,"['菊地', '野田']",チョウ　キジェ
14,15,2018-05-19,(土),磐田,1-0,1,0,0,ＢＭＷス,14385,晴,25,45,0.067,9,0.111,0.414,7.59,7.01,136.99,16.41,['野田'],チョウ　キジェ
15,16,2018-07-18,(水),鳥栖,1-1,1,1,0,ＢＭＷス,9229,曇,45,40,0.085,10,0.1,0.411,10.22,6.94,70.84,20.06,['高橋'],チョウ　キジェ
16,17,2018-07-22,(日),神戸,3-0,3,0,1,ノエスタ,26146,晴,55,55,0.062,7,0.429,0.343,8.26,6.94,88.63,14.52,"['坂', '齊藤', '菊地']",チョウ　キジェ
17,19,2018-08-01,(水),柏,2-0,2,0,1,三協Ｆ柏,9846,晴,49,42,0.092,12,0.167,0.372,8.7,5.55,74.54,23.43,['山崎x2'],チョウ　キジェ
18,20,2018-08-05,(日),広島,2-2,2,2,1,Ｅスタ,11304,晴,44,37,0.093,10,0.1,0.454,12.06,9.25,64.42,17.71,"['山崎', 'OG']",チョウ　キジェ
19,21,2018-08-11,(土),横浜FM,0-1,0,1,0,ＢＭＷス,14862,曇,55,51,0.128,16,0.0,0.396,12.34,9.8,85.47,14.4,[''],チョウ　キジェ
20,22,2018-08-15,(水),仙台,1-4,1,4,1,ユアスタ,16892,雨のち曇,64,37,0.163,20,0.0,0.561,18.81,13.92,79.01,14.55,['OG'],チョウ　キジェ
21,23,2018-08-19,(日),神戸,0-2,0,2,0,ＢＭＷス,15351,晴,68,60,0.153,18,0.0,0.501,19.95,14.51,77.16,7.52,[''],チョウ　キジェ
22,24,2018-08-26,(日),FC東京,0-0,0,0,0,ＢＭＷス,13191,晴,49,43,0.095,10,0.0,0.496,13.07,8.71,43.11,14.88,[''],チョウ　キジェ
23,25,2018-08-31,(金),長崎,3-1,3,1,1,トラスタ,11557,晴,63,34,0.175,20,0.15,0.46,10.94,7.1,83.27,17.79,"['梅崎', '金子', '岡本']",チョウ　キジェ
24,26,2018-09-14,(金),鹿島,1-2,1,2,1,カシマ,10728,曇,39,43,0.077,10,0.1,0.513,11.51,8.43,75.76,17.55,['梅崎'],チョウ　キジェ
25,27,2018-09-22,(土),Ｃ大阪,1-1,1,1,0,ＢＭＷス,12173,晴,42,31,0.094,11,0.091,0.394,9.92,7.5,69.02,19.72,['大野'],チョウ　キジェ
26,18,2018-09-26,(水),川崎Ｆ,0-0,0,0,0,ＢＭＷス,8816,雨,44,41,0.063,7,0.0,0.366,9.02,7.77,60.18,18.9,[''],チョウ　キジェ
27,29,2018-10-06,(土),鳥栖,1-0,1,0,1,ベアスタ,11557,曇,44,19,0.076,10,0.1,0.442,8.0,7.16,72.58,25.79,['岡本'],チョウ　キジェ
28,30,2018-10-02,(土),札幌,2-2,2,2,0,ＢＭＷス,11982,晴のち曇,56,44,0.071,9,0.222,0.434,9.64,7.5,81.72,16.4,"['山崎', '杉岡']",チョウ　キジェ
29,28,2018-10-03,(火),磐田,0-1,0,1,1,ヤマハ,9026,晴,47,51,0.052,7,0.0,0.522,15.73,13.51,81.53,14.48,[''],チョウ　キジェ
30,31,2018-11-02,(金),清水,0-0,0,0,0,ＢＭＷス,14354,晴,67,58,0.153,21,0.0,0.573,20.99,15.56,122.92,14.99,[''],チョウ　キジェ
31,32,2018-11-01,(土),Ｇ大阪,0-1,0,1,1,吹田Ｓ,23576,晴,61,38,0.205,24,0.0,0.452,17.91,11.99,86.54,13.48,[''],チョウ　キジェ
32,33,2018-11-24,(土),浦和,2-1,2,1,0,ＢＭＷス,14711,晴時々曇,51,38,0.074,9,0.222,0.409,9.94,7.93,81.0,20.64,"['梅崎', '菊地']",チョウ　キジェ
33,34,2018-12-01,(土),名古屋,2-2,2,2,1,パロ瑞穂,19840,晴時々曇,54,43,0.08,10,0.2,0.386,9.58,6.34,76.94,18.75,"['菊地', '梅崎']",チョウ　キジェ
