節,開催日,曜日,相手,team_id,スコア,得点,失点,勝敗,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
1,2019-02-23,(土),札幌,1,2-0,2,0,1,0,ＢＭＷス,13249,曇,53,46,0.089,12,0.167,0.401,11.51,8.91,117.67,20.13,['武富x2'],チョウ　キジェ
2,2019-03-02,(土),FC東京,6,2-3,2,3,2,0,ＢＭＷス,12878,晴のち曇,51,32,0.076,9,0.111,0.501,13.87,10.59,94.51,12.66,"['武富', 'OG']",チョウ　キジェ
3,2019-03-09,(土),鹿島,3,0-1,0,1,2,1,カシマ,16659,晴,55,38,0.08,9,0.0,0.425,11.09,10.12,74.54,14.1,[''],チョウ　キジェ
4,2019-03-17,(日),仙台,2,2-1,2,1,1,0,ＢＭＷス,9290,晴,52,55,0.146,18,0.111,0.46,16.65,11.57,111.43,15.45,"['小野田', '山根']",チョウ　キジェ
5,2019-03-31,(日),清水,11,3-1,3,1,1,1,アイスタ,17169,晴,51,42,0.147,17,0.176,0.442,10.64,8.11,56.06,19.11,"['菊地', 'フレイレ', '松田']",チョウ　キジェ
6,2019-04-06,(土),磐田,0,0-2,0,2,2,0,ＢＭＷス,13282,晴,55,44,0.072,8,0.0,0.447,9.83,8.92,85.37,13.11,[''],チョウ　キジェ
7,2019-04-14,(日),松本,0,1-1,1,1,0,0,ＢＭＷス,10417,曇,53,40,0.075,10,0.1,0.532,13.03,10.11,99.3,18.63,['武富'],チョウ　キジェ
8,2019-04-19,(金),川崎Ｆ,7,0-2,0,2,2,1,等々力,19556,曇,27,46,0.087,9,0.0,0.474,13.49,13.02,90.99,13.16,[''],チョウ　キジェ
9,2019-04-28,(日),鳥栖,17,2-0,2,0,1,1,駅スタ,13280,曇のち雨,54,42,0.149,20,0.1,0.441,11.94,8.75,85.85,17.96,"['大橋', '梅崎']",チョウ　キジェ
10,2019-05-04,(土),名古屋,12,1-1,1,1,0,0,ＢＭＷス,14221,曇のち雨,51,29,0.096,13,0.077,0.433,14.19,9.46,112.64,19.03,['山崎'],チョウ　キジェ
11,2019-05-12,(日),大分,18,0-1,0,1,2,0,ＢＭＷス,11550,晴,60,55,0.167,21,0.0,0.492,17.52,14.51,102.22,9.97,[''],チョウ　キジェ
12,2019-05-17,(金),浦和,4,3-2,3,2,1,1,埼玉,23221,晴,48,30,0.091,14,0.214,0.512,11.75,9.12,99.17,14.91,"['菊地x2', '山根']",チョウ　キジェ
13,2019-05-26,(日),神戸,15,1-4,1,4,2,1,ノエスタ,18091,晴,47,47,0.084,9,0.111,0.392,10.4,8.43,92.62,15.57,['指宿'],チョウ　キジェ
