Sec,Date,Opp,OppID,Score,GF,GA,W/L,H/A,Stadium,Attendances,Weather,AGI,KAGI,CBR,Shots,SSR,Possession,AttackCBP,PassCBP,StealP,DefenceP,Scorers,HeadCoach
1,2020-02-21,urawa-red-diamonds,4,2-3,2,3,2,0,ＢＭＷス,13071,晴,57,47,0.095,12,0.167,0.553,16.7,12.44,104.47,16.32,"['石原直', '山田']",浮嶋　敏
2,2020-07-04,vegalta-sendai,2,0-1,0,1,2,0,ＢＭＷス,0,曇,50,42,0.089,11,0.0,0.581,18.34,15.48,84.95,17.31,[''],浮嶋　敏
3,2020-07-08,yokohama-fa-marinos,8,2-3,2,3,2,1,ニッパツ,0,曇,49,41,0.078,11,0.182,0.339,9.1,5.72,116.64,20.08,"['中川', '鈴木']",浮嶋　敏
4,2020-07-12,consadole-sapporo,1,0-0,0,0,0,0,ＢＭＷス,3327,雨,50,50,0.131,14,0.0,0.526,12.01,11.03,89.07,13.23,[''],浮嶋　敏
5,2020-07-18,kashiwa-reysol,5,2-3,2,3,2,1,三協Ｆ柏,2645,曇,39,49,0.088,10,0.2,0.552,13.24,10.57,73.39,16.95,"['松田', '石原直']",浮嶋　敏
6,2020-07-22,kashima-antlers,3,1-0,1,0,1,0,ＢＭＷス,3498,晴,42,47,0.083,10,0.1,0.392,8.51,6.51,97.0,19.66,['石原直'],浮嶋　敏
7,2020-07-26,kawasaki-frontale,7,1-3,1,3,2,1,等々力,4724,曇のち雷雨,29,30,0.049,5,0.2,0.416,9.75,8.68,81.76,16.1,['タリク'],浮嶋　敏
8,2020-08-01,cerezo-osaka,14,0-1,0,1,2,0,ＢＭＷス,3494,曇,48,51,0.045,4,0.0,0.48,13.51,10.74,60.5,13.7,[''],浮嶋　敏
9,2020-08-09,sanfrecce-hiroshima,16,0-1,0,1,2,1,Ｅスタ,2886,曇,31,27,0.048,5,0.0,0.454,11.94,11.37,61.35,17.22,[''],浮嶋　敏
10,2020-08-15,yokohama-fc,9,2-4,2,4,2,1,ニッパツ,2938,晴,58,50,0.147,15,0.133,0.5,19.31,14.25,93.53,8.02,"['石原直', '岡本']",浮嶋　敏
11,2020-08-19,nagoya-grampus-eight,12,0-1,0,1,2,0,ＢＭＷス,2976,晴,39,56,0.067,7,0.0,0.448,9.36,7.17,81.63,12.62,[''],浮嶋　敏
12,2020-08-23,fc-tokyo,6,0-3,0,3,2,1,味スタ,4599,晴,43,39,0.069,8,0.0,0.555,13.66,11.26,86.93,10.96,[''],浮嶋　敏
14,2020-09-05,vissel-kobe,15,1-1,1,1,0,0,ＢＭＷス,4312,曇,52,53,0.106,12,0.083,0.369,11.09,8.77,101.54,13.75,['大岩'],浮嶋　敏
15,2020-09-09,oita-trinita,18,2-2,2,2,0,1,昭和電ド,3465,晴,52,43,0.038,4,0.5,0.329,7.84,7.22,77.25,23.08,"['石原直', '大岩']",浮嶋　敏
16,2020-09-13,gamba-osaka,13,1-0,1,0,1,1,パナスタ,4788,晴,46,42,0.09,11,0.091,0.417,11.9,9.4,85.41,18.01,['大野'],浮嶋　敏
17,2020-09-19,shimizu-s-pulse,11,0-3,0,3,2,0,ＢＭＷス,4170,晴,58,48,0.079,9,0.0,0.452,12.23,10.6,89.32,8.49,[''],浮嶋　敏
18,2020-09-23,kashima-antlers,3,0-1,0,1,2,1,カシマ,3194,曇のち雨,40,44,0.07,9,0.0,0.351,8.98,6.55,92.05,20.66,[''],浮嶋　敏
19,2020-09-27,kawasaki-frontale,7,0-1,0,1,2,0,ＢＭＷス,4189,雨,46,31,0.059,6,0.0,0.427,13.44,11.65,59.98,17.59,[''],浮嶋　敏
20,2020-10-04,fc-tokyo,6,0-1,0,1,2,0,ＢＭＷス,4691,曇,42,50,0.03,4,0.0,0.523,11.38,8.51,107.9,13.96,[''],浮嶋　敏
21,2020-10-01,consadole-sapporo,1,1-2,1,2,2,1,札幌厚別,2859,曇一時雨,37,52,0.038,5,0.2,0.448,8.7,7.54,92.97,15.07,['金子'],浮嶋　敏
22,2020-10-14,cerezo-osaka,14,0-1,0,1,2,1,ヤンマー,5526,曇,53,57,0.093,10,0.0,0.457,12.83,9.66,97.97,16.5,[''],浮嶋　敏
23,2020-10-18,kashiwa-reysol,5,3-2,3,2,1,0,ＢＭＷス,5006,曇,63,53,0.069,9,0.333,0.498,12.5,9.57,105.58,12.78,"['岡本', '松田', '石原直']",浮嶋　敏
13,2020-10-21,sagan-tosu,17,0-0,0,0,0,0,ＢＭＷス,2629,曇,58,53,0.024,3,0.0,0.446,10.36,9.03,100.67,13.74,[''],浮嶋　敏
24,2020-10-25,sagan-tosu,17,2-2,2,2,0,1,駅スタ,5783,晴,46,48,0.102,11,0.182,0.389,14.41,10.16,103.41,20.44,"['茨田', '指宿']",浮嶋　敏
25,2020-10-31,yokohama-fc,9,1-0,1,0,1,0,ＢＭＷス,5328,晴,52,56,0.088,10,0.1,0.378,10.86,9.54,122.2,9.48,['指宿'],浮嶋　敏
26,2020-11-11,yokohama-fa-marinos,8,1-0,1,0,1,0,ＢＭＷス,5082,晴,39,36,0.045,6,0.167,0.378,10.52,7.96,105.97,23.45,['齊藤'],浮嶋　敏
27,2020-11-15,vissel-kobe,15,2-0,2,0,1,1,ノエスタ,11232,晴,47,46,0.116,13,0.154,0.324,12.49,9.39,89.09,18.89,"['岡本', '齊藤']",浮嶋　敏
28,2020-11-21,nagoya-grampus-eight,12,1-3,1,3,2,1,豊田ス,15480,晴,28,55,0.055,6,0.167,0.399,9.51,7.84,96.7,9.69,['坂'],浮嶋　敏
29,2020-11-25,sanfrecce-hiroshima,16,1-1,1,1,0,0,ＢＭＷス,3182,曇,44,48,0.1,13,0.077,0.395,10.1,7.58,111.49,13.84,['岡本'],浮嶋　敏
30,2020-11-29,shimizu-s-pulse,11,1-1,1,1,0,1,アイスタ,7307,曇のち晴,39,41,0.049,6,0.167,0.43,10.15,7.8,103.36,22.02,['中川'],浮嶋　敏
31,2020-12-06,gamba-osaka,13,1-2,1,2,2,0,ＢＭＷス,6461,晴,56,47,0.068,10,0.1,0.591,15.05,9.38,131.45,10.58,['中川'],浮嶋　敏
32,2020-12-12,urawa-red-diamonds,4,0-0,0,0,0,1,埼玉,14847,晴,60,57,0.122,14,0.0,0.413,16.33,12.12,83.59,15.82,[''],浮嶋　敏
33,2020-12-16,oita-trinita,18,1-2,1,2,2,0,ＢＭＷス,4517,晴,51,59,0.108,14,0.071,0.479,15.1,11.16,86.19,10.32,['金子'],浮嶋　敏
34,2020-12-19,vegalta-sendai,2,0-0,0,0,0,1,ユアスタ,7356,雪のち曇,62,48,0.158,18,0.0,0.461,13.69,10.26,87.78,14.04,[''],浮嶋　敏
