節,開催日,曜日,相手,team_id,スコア,得点,失点,勝敗,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
1,2020-02-23,(日),東京Ｖ,0,3-0,3,0,1,0,鳴門大塚,9033,晴,53,78,0.207,23,0.13,0.418,17.97,14.31,96.96,13.12,['西谷x3'],リカルド　ロドリゲス
2,2020-06-27,(土),愛媛,0,3-4,3,4,2,1,ニンスタ,0,曇,39,63,0.121,13,0.154,0.409,9.49,8.03,61.2,13.31,"['岩尾', '垣田', 'OG']",リカルド　ロドリゲス
3,2020-07-04,(土),京都,0,1-1,1,1,0,0,鳴門大塚,0,曇,27,37,0.076,7,0.143,0.508,11.31,10.8,57.03,15.7,['河田'],リカルド　ロドリゲス
4,2020-07-11,(土),琉球,0,3-1,3,1,1,1,タピスタ,1355,晴,41,33,0.191,18,0.167,0.536,16.72,13.0,50.79,15.5,"['杉森', '渡井x2']",リカルド　ロドリゲス
5,2020-07-15,(水),山口,0,4-0,4,0,1,0,鳴門大塚,1513,曇,53,53,0.196,22,0.182,0.662,19.28,17.05,77.15,10.92,"['岩尾', '垣田x2', '河田']",リカルド　ロドリゲス
6,2020-07-19,(日),福岡,0,0-1,0,1,2,0,鳴門大塚,2261,晴,43,59,0.104,11,0.0,0.727,15.45,12.53,64.75,9.08,[''],リカルド　ロドリゲス
7,2020-07-25,(土),磐田,0,2-0,2,0,1,1,ヤマハ,2505,曇,37,37,0.096,9,0.222,0.436,10.62,8.34,70.56,15.87,"['清武', '岩尾']",リカルド　ロドリゲス
8,2020-07-29,(水),北九州,0,0-2,0,2,2,1,ミクスタ,1471,曇,41,61,0.102,12,0.0,0.509,13.5,10.47,82.22,12.26,[''],リカルド　ロドリゲス
9,2020-08-02,(日),山形,0,1-0,1,0,1,0,鳴門大塚,1949,晴,53,47,0.098,10,0.1,0.637,17.42,12.08,55.04,10.58,['垣田'],リカルド　ロドリゲス
10,2020-08-08,(土),長崎,0,3-1,3,1,1,0,鳴門大塚,2415,晴,35,69,0.16,13,0.231,0.497,13.14,10.02,57.23,11.24,"['垣田', '内田', '渡井']",リカルド　ロドリゲス
11,2020-08-12,(水),町田,0,1-0,1,0,1,1,Ｇスタ,887,雨のち曇,36,52,0.082,8,0.125,0.637,13.91,13.79,51.65,13.25,['西谷'],リカルド　ロドリゲス
12,2020-08-16,(日),甲府,0,1-1,1,1,0,1,中銀スタ,2119,晴,48,53,0.174,15,0.067,0.692,25.09,21.99,58.25,8.06,['垣田'],リカルド　ロドリゲス
13,2020-08-19,(水),岡山,0,0-0,0,0,0,0,鳴門大塚,1950,晴,49,56,0.121,12,0.0,0.533,15.25,11.15,55.64,11.31,[''],リカルド　ロドリゲス
14,2020-08-23,(日),千葉,0,2-1,2,1,1,1,フクアリ,2424,曇,51,48,0.172,15,0.133,0.628,18.38,13.34,42.17,10.06,"['垣田', 'ドゥシャン']",リカルド　ロドリゲス
15,2020-08-29,(土),松本,0,3-1,3,1,1,1,サンアル,3395,晴,44,63,0.155,17,0.176,0.683,18.13,14.87,74.83,10.14,"['渡井', '岩尾', '小西']",リカルド　ロドリゲス
16,2020-09-02,(水),水戸,0,1-2,1,2,2,0,鳴門大塚,1262,雨,51,47,0.095,12,0.083,0.655,18.62,13.77,87.24,11.74,['河田'],リカルド　ロドリゲス
17,2020-09-05,(土),群馬,0,2-0,2,0,1,0,鳴門大塚,2093,晴,43,54,0.089,10,0.2,0.488,13.16,11.09,70.64,19.69,"['河田', '佐藤']",リカルド　ロドリゲス
18,2020-09-09,(水),栃木,0,1-0,1,0,1,1,栃木グ,1865,曇,51,41,0.095,11,0.091,0.705,17.14,13.51,64.18,13.44,['小西'],リカルド　ロドリゲス
19,2020-09-12,(土),金沢,0,1-1,1,1,0,0,鳴門大塚,2324,曇,42,45,0.107,11,0.091,0.703,17.26,14.21,55.47,14.41,['河田'],リカルド　ロドリゲス
20,2020-09-19,(土),新潟,0,1-0,1,0,1,1,デンカＳ,7888,晴,53,58,0.146,14,0.071,0.477,15.37,10.24,75.17,16.82,['河田'],リカルド　ロドリゲス
21,2020-09-23,(水),大宮,0,2-1,2,1,1,1,ＮＡＣＫ,1312,曇のち雨,42,41,0.115,12,0.167,0.482,12.02,11.35,67.57,20.81,"['杉森', '藤田']",リカルド　ロドリゲス
22,2020-09-26,(土),松本,0,1-1,1,1,0,0,鳴門大塚,2834,晴,48,44,0.111,11,0.091,0.64,14.94,11.82,52.38,11.58,['清武'],リカルド　ロドリゲス
23,2020-09-03,(水),長崎,0,1-0,1,0,1,1,トラスタ,3157,晴,36,40,0.099,8,0.125,0.544,13.34,10.49,57.24,12.78,['渡井'],リカルド　ロドリゲス
24,2020-10-03,(土),琉球,0,1-1,1,1,0,0,鳴門大塚,3133,晴,50,50,0.212,18,0.056,0.64,21.41,16.54,60.26,9.69,['垣田'],リカルド　ロドリゲス
25,2020-10-01,(土),愛媛,0,2-0,2,0,1,0,鳴門大塚,3541,晴,48,60,0.253,25,0.04,0.555,18.55,14.22,82.87,12.49,"['垣田', 'OG']",リカルド　ロドリゲス
26,2020-10-14,(水),岡山,0,1-1,1,1,0,1,Ｃスタ,1778,晴,47,44,0.133,15,0.067,0.508,16.03,11.8,86.78,14.26,['河田'],リカルド　ロドリゲス
27,2020-10-17,(土),甲府,0,0-1,0,1,2,0,鳴門大塚,2564,雨,50,64,0.13,13,0.0,0.568,16.8,12.88,71.75,11.84,[''],リカルド　ロドリゲス
28,2020-10-21,(水),山口,0,3-0,3,0,1,1,みらスタ,1323,曇,52,60,0.136,14,0.143,0.574,17.45,13.98,68.66,10.97,"['垣田', '西谷', 'OG']",リカルド　ロドリゲス
29,2020-10-25,(日),新潟,0,0-0,0,0,0,0,鳴門大塚,5171,晴,50,59,0.071,8,0.0,0.623,16.18,12.37,121.77,8.17,[''],リカルド　ロドリゲス
30,2020-11-01,(日),群馬,0,3-2,3,2,1,1,正田スタ,1404,曇,58,31,0.167,16,0.188,0.561,17.67,13.64,54.39,18.31,"['杉森', 'ジエゴ', '河田']",リカルド　ロドリゲス
31,2020-11-04,(水),磐田,0,3-1,3,1,1,0,鳴門大塚,3687,晴,47,43,0.099,10,0.3,0.453,10.24,9.79,86.87,16.88,"['西谷', '垣田x2']",リカルド　ロドリゲス
32,2020-11-07,(土),東京Ｖ,0,2-1,2,1,1,1,味スタ,5181,曇のち晴,53,47,0.12,11,0.182,0.566,19.08,16.06,62.91,12.85,"['清武', '岩尾']",リカルド　ロドリゲス
33,2020-11-11,(水),栃木,0,2-0,2,0,1,0,鳴門大塚,2124,晴,45,40,0.158,19,0.053,0.738,22.64,16.39,79.21,15.47,"['垣田', 'OG']",リカルド　ロドリゲス
34,2020-11-15,(日),山形,0,1-0,1,0,1,1,ＮＤスタ,4711,晴,43,42,0.074,8,0.125,0.529,12.04,9.79,79.6,18.2,['小西'],リカルド　ロドリゲス
35,2020-11-21,(土),京都,0,0-2,0,2,2,1,サンガＳ,8589,晴,48,58,0.114,12,0.0,0.698,22.72,19.79,74.3,10.58,[''],リカルド　ロドリゲス
36,2020-11-25,(水),町田,0,3-0,3,0,1,0,鳴門大塚,2349,曇,44,62,0.175,17,0.176,0.772,22.29,17.71,68.55,7.26,"['岸本', '西谷', '河田']",リカルド　ロドリゲス
37,2020-11-29,(日),金沢,0,4-3,4,3,1,1,石川西部,2106,晴,52,47,0.104,13,0.308,0.589,21.78,16.04,93.42,19.29,"['西谷', '岩尾', '垣田x2']",リカルド　ロドリゲス
38,2020-12-02,(水),北九州,0,4-1,4,1,1,0,鳴門大塚,3057,晴,52,53,0.117,13,0.308,0.397,12.09,9.35,81.01,16.68,"['岸本', '渡井', '垣田', '浜下']",リカルド　ロドリゲス
39,2020-12-06,(日),水戸,0,0-1,0,1,2,1,Ｋｓスタ,3325,晴時々曇,55,48,0.155,18,0.0,0.576,18.32,13.47,84.2,11.67,[''],リカルド　ロドリゲス
40,2020-12-13,(日),千葉,0,0-0,0,0,0,0,鳴門大塚,6328,曇,32,57,0.043,5,0.0,0.674,14.94,12.58,80.82,8.37,[''],リカルド　ロドリゲス
41,2020-12-16,(水),大宮,0,1-0,1,0,1,0,鳴門大塚,5529,晴,41,57,0.061,7,0.143,0.722,17.54,13.79,84.66,6.92,['垣田'],リカルド　ロドリゲス
42,2020-12-02,(日),福岡,0,0-1,0,1,2,1,ベススタ,8864,晴,49,52,0.08,11,0.0,0.649,15.19,12.09,89.27,13.11,[''],リカルド　ロドリゲス
