節,開催日,曜日,相手,team_id,スコア,得点,失点,勝敗,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
1,2019-02-23,(土),名古屋,12,0-4,0,4,2,0,駅スタ,18382,晴,45,37,0.073,9,0.0,0.426,9.2,6.56,105.98,17.15,[''],ルイス　カレーラス
2,2019-03-02,(土),神戸,15,0-1,0,1,2,1,ノエスタ,25172,晴,53,56,0.057,6,0.0,0.353,9.7,8.26,65.41,10.96,[''],ルイス　カレーラス
3,2019-03-01,(日),FC東京,6,0-2,0,2,2,1,味スタ,27937,曇,44,44,0.051,7,0.0,0.457,9.14,8.26,91.21,17.08,[''],ルイス　カレーラス
4,2019-03-17,(日),磐田,0,1-0,1,0,1,0,駅スタ,14624,晴,57,40,0.092,11,0.091,0.5,12.49,8.34,80.05,12.37,['Ｉクエンカ'],ルイス　カレーラス
5,2019-03-29,(金),横浜FM,8,0-0,0,0,0,1,日産ス,20688,曇,43,50,0.043,6,0.0,0.344,7.01,6.09,126.73,18.58,[''],ルイス　カレーラス
6,2019-04-06,(土),仙台,2,0-3,0,3,2,1,ユアスタ,11235,晴,42,46,0.085,10,0.0,0.594,13.97,10.41,54.67,14.92,[''],ルイス　カレーラス
7,2019-04-14,(日),川崎Ｆ,7,0-1,0,1,2,0,駅スタ,14463,雨,54,52,0.07,9,0.0,0.437,10.88,8.63,77.86,14.67,[''],ルイス　カレーラス
8,2019-04-02,(土),松本,0,0-1,0,1,2,1,サンアル,16367,晴,52,48,0.084,11,0.0,0.652,18.54,13.27,70.65,7.64,[''],ルイス　カレーラス
9,2019-04-28,(日),湘南,10,0-2,0,2,2,0,駅スタ,13280,曇のち雨,58,46,0.076,10,0.0,0.559,11.17,8.73,87.85,16.34,[''],ルイス　カレーラス
10,2019-05-04,(土),大分,18,0-2,0,2,2,1,昭和電ド,24516,晴,50,53,0.036,4,0.0,0.428,13.32,10.91,99.24,11.43,[''],金　明輝
