,節,開催日,曜日,相手,スコア,得点,失点,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
0,1,2020-02-22,(土),川崎Ｆ,0-0,0,0,1,等々力,21117,曇,43,29,0.05,5,0.0,0.41,8.34,7.12,70.89,16.16,[''],金　明輝
1,2,2020-07-04,(土),大分,0-2,0,2,1,昭和電ド,0,曇,42,64,0.13,13,0.0,0.5,13.38,11.0,60.85,10.68,[''],金　明輝
2,3,2020-07-08,(水),神戸,0-1,0,1,0,駅スタ,0,曇,42,52,0.122,12,0.0,0.352,8.44,6.37,77.6,15.76,[''],金　明輝
3,4,2020-07-12,(日),広島,0-0,0,0,0,駅スタ,2694,曇のち雨,37,52,0.053,6,0.0,0.557,13.16,11.02,95.57,14.78,[''],金　明輝
4,5,2020-07-18,(土),名古屋,0-1,0,1,1,豊田ス,4827,晴,42,46,0.096,10,0.0,0.493,10.86,9.81,77.86,11.49,[''],金　明輝
5,6,2020-07-22,(水),清水,1-1,1,1,0,駅スタ,3117,曇のち雨,60,50,0.163,16,0.063,0.558,18.01,12.52,86.94,10.14,['原川'],金　明輝
6,7,2020-07-26,(日),Ｃ大阪,1-1,1,1,0,駅スタ,3413,曇,59,55,0.172,15,0.067,0.458,13.55,10.75,52.37,12.67,['石井'],金　明輝
7,8,2020-08-01,(土),FC東京,3-2,3,2,1,味スタ,4760,晴,45,39,0.133,14,0.214,0.488,13.15,9.67,77.4,14.74,"['石井', '森下', '趙東建']",金　明輝
8,9,2020-08-08,(土),鹿島,0-2,0,2,1,カシマ,3913,曇,45,51,0.05,6,0.0,0.547,11.91,11.44,88.21,13.62,[''],金　明輝
9,14,2020-09-05,(土),横浜FC,3-0,3,0,0,駅スタ,3265,曇,57,53,0.137,14,0.214,0.509,15.19,12.63,112.47,12.28,"['金森', '林', '小屋松']",金　明輝
10,15,2020-09-09,(水),浦和,2-2,2,2,1,埼玉,4398,晴,55,43,0.097,11,0.182,0.488,13.93,12.32,86.82,17.13,"['趙東建', '林']",金　明輝
11,16,2020-09-13,(日),柏,2-1,2,1,0,駅スタ,4165,晴,47,42,0.107,12,0.167,0.549,15.38,11.34,67.77,17.91,"['林', '原川']",金　明輝
12,12,2020-09-16,(水),札幌,0-2,0,2,0,駅スタ,2592,曇,38,42,0.051,6,0.0,0.504,13.05,10.3,78.74,18.23,[''],金　明輝
13,17,2020-09-19,(土),横浜FM,1-3,1,3,0,駅スタ,4925,曇,50,41,0.104,12,0.083,0.547,18.9,15.54,109.51,17.48,['林'],金　明輝
14,18,2020-09-23,(水),神戸,3-4,3,4,1,ノエスタ,2719,曇,46,56,0.096,9,0.333,0.591,18.61,16.71,66.06,8.43,"['金森', '原川', '林']",金　明輝
