節,開催日,曜日,相手,スコア,得点,失点,勝敗,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
1,2019-02-23,(土),仙台,0-0,0,0,0,1,ユアスタ,18567,晴,51,53,0.082,10,0.0,0.617,19.0,16.5,81.44,10.15,[''],オズワルド　オリヴェイラ
2,2019-03-02,(土),札幌,0-2,0,2,2,0,埼玉,41109,晴,49,52,0.117,16,0.0,0.473,13.98,10.22,94.96,10.1,[''],オズワルド　オリヴェイラ
3,2019-03-09,(土),松本,1-0,1,0,1,1,サンアル,18922,晴,48,55,0.048,7,0.143,0.486,8.51,6.3,117.12,13.58,['興梠'],オズワルド　オリヴェイラ
4,2019-03-17,(日),Ｃ大阪,2-1,2,1,1,1,ヤンマー,21022,曇,44,42,0.113,11,0.182,0.402,10.57,9.46,65.29,17.62,"['興梠', '杉本']",オズワルド　オリヴェイラ
5,2019-03-03,(土),FC東京,1-1,1,1,0,0,埼玉,39055,曇,49,56,0.092,11,0.091,0.632,19.37,17.85,74.78,10.0,['森脇'],オズワルド　オリヴェイラ
6,2019-04-05,(金),横浜FM,0-3,0,3,2,0,埼玉,32555,晴,49,49,0.081,11,0.0,0.439,11.41,8.46,96.07,13.75,[''],オズワルド　オリヴェイラ
7,2019-04-14,(日),Ｇ大阪,1-0,1,0,1,1,パナスタ,27870,雨,53,49,0.117,13,0.077,0.445,10.89,8.91,87.75,15.51,['エヴェルトン'],オズワルド　オリヴェイラ
8,2019-04-02,(土),神戸,1-0,1,0,1,0,埼玉,54599,晴,48,43,0.049,6,0.167,0.293,6.0,5.11,100.79,20.39,['興梠'],オズワルド　オリヴェイラ
9,2019-04-28,(日),清水,2-0,2,0,1,1,アイスタ,18246,曇,35,63,0.092,10,0.2,0.533,17.29,15.0,104.41,16.17,"['マウリシオ', '興梠']",オズワルド　オリヴェイラ
10,2019-05-03,(金),磐田,0-1,0,1,2,0,埼玉,53361,晴,50,42,0.094,10,0.0,0.573,17.27,16.14,80.26,13.19,[''],オズワルド　オリヴェイラ
11,2019-05-12,(日),名古屋,0-2,0,2,2,1,豊田ス,30839,晴,40,37,0.049,5,0.0,0.362,7.05,7.05,72.9,15.58,[''],オズワルド　オリヴェイラ
12,2019-05-17,(金),湘南,2-3,2,3,2,0,埼玉,23221,晴,70,52,0.124,17,0.118,0.488,17.68,13.0,131.26,14.73,"['長澤', 'Ａナバウト']",オズワルド　オリヴェイラ
13,2019-05-26,(日),広島,0-4,0,4,2,0,埼玉,33235,晴,53,41,0.101,11,0.0,0.603,21.39,19.41,47.79,9.5,[''],オズワルド　オリヴェイラ
14,2019-06-01,(土),川崎Ｆ,1-1,1,1,0,1,等々力,24578,晴のち曇,43,41,0.075,8,0.125,0.39,11.22,8.12,105.48,13.57,['森脇'],大槻　毅
15,2019-06-15,(土),鳥栖,2-1,2,1,1,0,埼玉,28081,雨のち曇,45,46,0.136,15,0.133,0.542,11.96,10.89,51.86,13.73,"['宇賀神', '興梠']",大槻　毅
17,2019-06-03,(日),大分,0-2,0,2,2,1,昭和電ド,14519,屋内,58,70,0.12,11,0.0,0.437,13.12,9.65,66.93,8.53,[''],大槻　毅
18,2019-07-06,(土),仙台,1-0,1,0,1,0,埼玉,28904,曇,59,62,0.142,16,0.063,0.62,21.01,19.09,85.9,10.37,['興梠'],大槻　毅
19,2019-07-13,(土),横浜FM,1-3,1,3,2,1,日産ス,33673,雨,43,43,0.048,5,0.0,0.36,9.21,7.55,70.85,16.05,['OG'],大槻　毅
20,2019-07-02,(土),磐田,3-1,3,1,1,1,エコパ,23060,曇,45,50,0.128,12,0.25,0.548,18.79,14.73,52.96,14.56,"['興梠', '橋岡', '長澤']",大槻　毅
16,2019-07-31,(水),鹿島,1-1,1,1,0,0,埼玉,37265,晴,54,44,0.132,14,0.071,0.564,19.68,15.63,82.12,13.37,['興梠'],大槻　毅
21,2019-08-04,(日),名古屋,2-2,2,2,0,0,埼玉,37238,晴,53,46,0.183,20,0.1,0.58,23.81,19.56,106.94,11.37,"['興梠', '関根']",大槻　毅
22,2019-08-01,(土),札幌,1-1,1,1,0,1,札幌ド,35531,屋内,45,43,0.097,10,0.1,0.602,17.64,15.09,83.56,15.33,['エヴェルトン'],大槻　毅
23,2019-08-17,(土),神戸,0-3,0,3,2,1,ノエスタ,22513,晴,46,55,0.115,11,0.0,0.475,15.58,12.82,67.29,10.0,[''],大槻　毅
24,2019-08-23,(金),松本,1-2,1,2,2,0,埼玉,27038,曇,50,52,0.155,16,0.063,0.617,18.86,14.55,66.67,12.3,['ファブリシオ'],大槻　毅
25,2019-09-01,(日),湘南,1-1,1,1,0,1,ＢＭＷス,13569,晴,43,36,0.06,6,0.167,0.497,11.5,8.86,55.68,18.52,['興梠'],大槻　毅
26,2019-09-13,(金),Ｃ大阪,1-2,1,2,2,0,埼玉,22640,晴,50,63,0.128,14,0.071,0.483,14.31,11.17,80.19,10.78,['興梠'],大槻　毅
27,2019-09-28,(土),鳥栖,3-3,3,3,0,1,駅スタ,14099,晴のち雨,56,46,0.168,20,0.15,0.418,12.37,10.67,90.68,16.68,"['武藤', '長澤', '杉本']",大槻　毅
28,2019-10-06,(日),清水,2-1,2,1,1,0,埼玉,34131,晴,47,59,0.126,13,0.154,0.609,18.8,16.06,92.77,11.74,"['興梠', '橋岡']",大槻　毅
29,2019-10-18,(金),大分,0-1,0,1,2,0,埼玉,19698,雨,49,72,0.175,17,0.0,0.507,19.07,16.76,83.45,8.2,[''],大槻　毅
31,2019-10-29,(火),広島,1-1,1,1,0,1,Ｅスタ,6710,晴,34,45,0.076,8,0.125,0.415,11.17,9.73,103.76,17.53,['岩波'],大槻　毅
30,2019-11-01,(金),鹿島,0-1,0,1,2,1,カシマ,14439,晴,49,42,0.109,12,0.0,0.492,10.68,9.74,67.32,16.0,[''],大槻　毅
32,2019-11-05,(火),川崎Ｆ,0-2,0,2,2,0,埼玉,21817,晴,42,49,0.093,10,0.0,0.461,14.43,12.07,93.61,14.22,[''],上野　優作
33,2019-11-03,(土),FC東京,1-1,1,1,0,1,味スタ,40202,晴,52,36,0.061,8,0.125,0.579,15.91,13.35,89.15,17.32,['マルティノス'],大槻　毅
34,2019-12-07,(土),Ｇ大阪,2-3,2,3,2,0,埼玉,47188,曇,51,48,0.135,13,0.154,0.472,16.53,14.43,80.94,12.86,"['柏木', 'ファブリシオ']",大槻　毅
