節,開催日,曜日,相手,team_id,スコア,得点,失点,勝敗,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
1,2020-02-21,(金),湘南,10,3-2,3,2,1,1,ＢＭＷス,13071,晴,53,43,0.086,11,0.273,0.447,13.8,10.34,86.99,16.55,"['興梠', 'レオナルド', '関根']",大槻　毅
2,2020-07-04,(土),横浜FM,8,0-0,0,0,0,0,埼玉,0,曇,38,28,0.125,14,0.0,0.318,6.33,5.1,78.4,22.77,[''],大槻　毅
3,2020-07-08,(水),仙台,2,2-1,2,1,1,1,ユアスタ,0,曇,56,48,0.149,17,0.118,0.543,19.32,14.95,98.53,15.23,"['レオナルド', '興梠']",大槻　毅
4,2020-07-12,(日),鹿島,3,1-0,1,0,1,0,埼玉,3094,晴,51,55,0.048,6,0.167,0.417,7.74,7.08,88.5,20.06,['エヴェルトン'],大槻　毅
5,2020-07-18,(土),FC東京,6,0-2,0,2,2,1,味スタ,4705,曇,54,42,0.086,9,0.0,0.546,18.01,14.34,71.78,10.79,[''],大槻　毅
6,2020-07-22,(水),柏,5,0-4,0,4,2,0,埼玉,4127,曇のち雨,53,67,0.13,17,0.0,0.556,20.38,19.41,97.12,8.14,[''],大槻　毅
7,2020-07-26,(日),横浜FC,9,2-0,2,0,1,1,ニッパツ,2580,晴,57,41,0.133,13,0.154,0.458,14.2,11.96,77.09,12.63,"['レオナルド', 'エヴェルトン']",大槻　毅
8,2020-08-01,(土),清水,11,1-1,1,1,0,0,埼玉,4237,晴,55,39,0.106,12,0.083,0.421,12.95,10.02,105.01,18.8,['レオナルド'],大槻　毅
9,2020-08-08,(土),名古屋,12,2-6,2,6,2,1,豊田ス,4956,曇,46,53,0.113,11,0.182,0.491,17.94,15.44,83.3,9.57,['レオナルドx2'],大槻　毅
10,2020-08-15,(土),広島,16,1-0,1,0,1,0,埼玉,4287,晴,29,18,0.033,3,0.333,0.343,6.16,5.27,42.24,26.02,['レオナルド'],大槻　毅
11,2020-08-19,(水),Ｇ大阪,13,3-1,3,1,1,1,パナスタ,4721,晴,45,43,0.093,10,0.3,0.375,13.12,12.57,69.58,16.25,"['関根', 'レオナルド', '武藤']",大槻　毅
12,2020-08-23,(日),神戸,15,1-2,1,2,2,0,埼玉,4435,晴,47,49,0.112,13,0.077,0.494,14.7,12.16,74.91,11.2,['トーマスデン'],大槻　毅
13,2020-08-29,(土),大分,18,2-1,2,1,1,0,埼玉,4316,晴,45,42,0.101,10,0.2,0.489,14.0,13.27,74.85,16.04,"['レオナルド', '橋岡']",大槻　毅
14,2020-09-05,(土),Ｃ大阪,14,0-3,0,3,2,1,ヤンマー,4793,曇,60,59,0.149,15,0.0,0.537,19.93,16.09,78.51,9.54,[''],大槻　毅
15,2020-09-09,(水),鳥栖,17,2-2,2,2,0,0,埼玉,4398,晴,57,45,0.162,18,0.111,0.512,17.91,14.61,83.98,8.14,"['興梠', '武藤']",大槻　毅
16,2020-09-13,(日),札幌,1,4-3,4,3,1,1,札幌ド,4449,屋内,47,29,0.078,8,0.5,0.389,11.57,8.92,60.98,26.2,"['杉本x2', '槙野', '柴戸']",大槻　毅
17,2020-09-02,(日),川崎Ｆ,7,0-3,0,3,2,0,埼玉,6357,晴,43,37,0.071,8,0.0,0.423,11.66,10.1,82.51,11.84,[''],大槻　毅
